Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Turkish (TR)
Ushiromiya Kyrie,"""...How long has this rumor about Father's mistress been around?"" ","""...How long has this rumor about Father's mistress been around?""",[=UP],「…その、お父様の愛人の噂はいつ頃から？」,[=JP],"""...Как давно прошёл слух о любовнице отца?""","""...Há quanto tempo esse rumor sobre a amante do pai está circulando?""",「…這個關於爸的情婦的謠傳是從什麼時候開始的？」,「…这个关于爸的情妇的谣传是从什么时候开始的？」,"""... Da quanto tempo circola questo pettegolezzo sull'amante di nostro Padre?""","""...Babamın metresi hakkındaki bu söylenti ne zamandır ortalıkta dolaşıyor?"""
Ushiromiya Rudolf,"""As soon as we moved to this island, about 30 years ago. ","""As soon as we moved to this island, so about thirty years ago.""",[=ST],「この島に引っ越してきた当初からだから、かれこれ３０年くらい前だな。,「この島に引っ越してきた当初からだから、かれこれ３０年くらい前だな」,"""Как только мы переехали на этот остров, 30 лет назад.""","""Logo quando ele se mudou para esta ilha, cerca de trinta anos atrás.""",「因為是從當初搬到這個島時起開始的，所以大致是三十年前左右吧。」,「因为是从当初搬到这个岛时起开始的，所以大致是三十年前左右吧。」,"""Non appena ci siamo trasferiti su quest'isola, circa 30 anni fa.","""Biz bu adaya taşındıktan hemen sonra, yani yaklaşık otuz yıl önceden beri."""
Ushiromiya Rudolf,"After all, it probably would've been impossible for him to have a hidden mansion built while we were here. People and materials would have to be going in and out. It would've been exposed quickly."" ","""Think about it, it would've been impossible for him to have a hidden mansion constructed once we came here. People and materials would have to be going in and out. We'd have found out in no time.""","Anyway, it probably would have been impossible for him to have a hidden mansion constructed while we were here. People and materials would have to be going in and out. It would have been exposed quickly.",何しろ、隠し屋敷の工事なんて、俺たちが島に来ちまったら無理だろ。人とか機材の出入りがあるもんな。すぐにバレちまうさ。,「何しろ、隠し屋敷の工事なんて、俺たちが島に来ちまったら無理だろ。人とか機材の出入りがあるもんな。すぐにバレちまうさ」,"""В таком случае для него было невозможно построить тайный особняк, когда мы находились здесь. Людей и материалы должны привозить и увозить. Подобное бы быстро раскрылось.""","""Pensando sobre isso, seria impossível para ele construir uma mansão secreta quando viemos para cá. Pessoas e materiais deveriam estar por toda a parte.{n}Nós teríamos encontrado em algum momento.""",「畢竟，秘密宅邸的工程，等我們來到這個島上時就沒法幹了。人和器材都要出入。會馬上暴露的。」,「毕竟，秘密宅邸的工程，等我们来到这个岛上时就没法干了。人和器材都要出入。会马上暴露的。」,"Ad ogni modo, probabilmente sarebbe stato impossibile per lui far costruire una villa nascosta mentre noi eravamo qui. Persone e materiali avrebbero fatto avanti e indietro. Sarebbe stato scoperto subito.","""Bir düşünün, biz buraya geldikten sonra gizli bir malikane inşa ettirmesi imkansız olurdu. İnsanların ve malzemelerin girip çıkması gerekirdi. Kısa sürede anlardık."""
Ushiromiya Rudolf,"""So, if it was possible, it happened before we moved here. ...It probably could've been built along with this mansion when we were still living in Odawara."" ","""So, if this was possible, it would have had to have happened before we moved here. ...It probably could have been built along with this mansion when we were still living in Odawara."""," Therefore, if it was possible, it happened before we moved here. ...It probably could have been built along with this mansion when we were still living in Odawara.""",だから、可能だとしたら、俺たちが引っ越してくる以前。…多分、俺たちがまだ小田原に住んでいた頃に、この屋敷の工事と一緒に済ましていたんだろうよ。」,「だから、可能だとしたら、俺たちが引っ越してくる以前。…多分、俺たちがまだ小田原に住んでいた頃に、この屋敷の工事と一緒に済ましていたんだろうよ」,"""Получается, такая возможность имелась до нашего переезда сюда. ...Вероятно, он был построен вместе с этим особняком, когда мы ещё жили в Одавара.""","""Então, se isso é possível, teria ocorrido antes de nos mudarmos para cá. ...Deve ter sido construído ao mesmo tempo que essa mansão, na época que ainda vivíamos em Odawara.""",「所以，可能的話，應該是在我們搬過來之前。…多半是在我們還住在小田原的時候，就與這大屋的工程一起辦完了吧。」,「所以，可能的话，应该是在我们搬过来之前。…多半是在我们还住在小田原的时候，就与这大屋的工程一起办完了吧。」,"Pertanto, nel caso fosse possibile, sarebbe successo prima che ci trasferissimo qui. ... Probabilmente può essere stata costruita insieme a questa villa mentre vivevamo ancora a Odawara.""","""Yani, eğer böyle bir şey varsa, bunun biz buraya taşınmadan önce gerçekleşmiş olması gerek. ...Muhtemelen biz hala Odawara'da yaşarken bu malikane ile birlikte inşa edilmiş olabilir."""
Ushiromiya Eva,"""Since Father had to set up a double life with his family and his mistress, it's probably reasonable to assume that he had it all planned from the beginning. And his relationship with that mistress probably went back to the days when we lived in Odawara."" ","""It's probably appropriate to assume that he had the plan laid out from the beginning to set up a double life with his family and his mistress. And his relationship with that mistress probably went back to the days when we lived in Odawara.""","""Since Father had to set up a double life with his family and his mistress, it's probably appropriate to assume that he had it all planned from the beginning. And his relationship with that mistress probably went back to the days when we lived in Odawara.""",「お父様は、家族生活と愛人との生活の２つを両立させようと、最初から想定していたと考えるのが妥当なんでしょうねぇ。多分、愛人との関係は小田原時代にまで遡るでしょうし。」,「お父様は、家族生活と愛人との生活の２つを両立させようと、最初から想定していたと考えるのが妥当なんでしょうねぇ。多分、愛人との関係は小田原時代にまで遡るでしょうし」,"""Поскольку отец жил двойной жизнью со своей семьёй и со своей любовницей, из этого следует, что он планировал всё это с самого начала И его отношения с возлюбленной начались в те дни, когда мы жили в Одавара.""","""Provavelmente é apropriado assumirmos que ele havia um plano estabelecido desde o princípio de construir uma vida dupla aqui com sua família e sua amante. E sua relação com essa amante provavelmente retomou os dias em que vivíamos em Odawara.""",「按爸一開始就算好了，要將家庭生活與偷情生活兩全其美來想，會比較妥當吧。爸與情婦的關係，十有八九能追溯到小田原時代。」,「按爸一开始就算好了，要将家庭生活与偷情生活两全其美来想，会比较妥当吧。爸与情妇的关系，十有八九能追溯到小田原时代。」,"""Dato che nostro Padre si era creato una doppia vita con la sua famiglia e la sua amante, sarebbe probabilmente appropriato ipotizzare che aveva programmato tutto sin dall'inizio. E la sua relazione con quell'amante probabilmente risale ai giorni in cui vivevamo a Odawara.""","""Muhtemelen en başından beri ailesi ve metresiyle ikili bir hayat kurmayı planladığını varsaymak yanlış olmaz. Ve metresiyle olan ilişkisi muhtemelen Odawara'da yaşadığımız günlere kadar uzanıyordu."""
Ushiromiya Krauss,"""Probably. If, as Father says, she is the source of the vast amount of gold he used to gain the funds that resurrected the Ushiromiya family, we could probably conclude that they had a close relationship since Odawara. ","""Probably. If, as Father says, she is the source of the vast amount of gold that he used to gain the funds which resurrected the Ushiromiya family, we could probably conclude that they had a close relationship since Odawara at least.""","""Probably. If, as Father says, she is the source of the vast amount of gold that he used to gain the funds which resurrected the Ushiromiya family, we could probably conclude that they had a close relationship since Odawara. ",「だろうな。親父殿が言うように、右代宮家復興の軍資金となった莫大な黄金が、彼女によってもたらされたとするなら、小田原時代にはもう親交があったと見るべきだろう。,「だろうな。親父殿が言うように、右代宮家復興の軍資金となった莫大な黄金が、彼女によってもたらされたとするなら、小田原時代にはもう親交があったと見るべきだろう」,"""Может быть. Если, как говорит отец, она является источником огромного количества золота, которое он использовал как средство для воскрешения семьи Уширомия, мы можем заключить, что у них были близкие отношения, начиная с Одавара.""","""Provavelmente. Se, como ele diz, ela é a fonte da vasta quantia de ouro que ele usou para arrecadar os fundos que ressuscitaram a família Ushiromiya, nós poderíamos concluir que ele tinha uma relação próxima desde a época da Odawara, no mínimo.""",「是啊。如果按父親大人所說，是因為她才得到了，成為復興右代宮家的資金的那筆巨額黃金的話，應該將此看做，在小田原時代，兩人就已經有深交了吧。」,「是啊。如果按父亲大人所说，是因为她才得到了，成为复兴右代宫家的资金的那笔巨额黄金的话，应该将此看做，在小田原时代，两人就已经有深交了吧。」,"""Forse. Se, come dice nostro Padre, lei è la fonte della grande quantità di oro che è stata usata per ottenere i fondi con lo scopo di resuscitare la famiglia Ushiromiya, potremmo probabilmente concludere che avevano una relazione intima sin da Odawara.","""Muhtemelen. Eğer Babamın dediği gibi, Ushiromiya ailesini yeniden ayağa kaldıran parayı elde etmek için kullandığı büyük miktardaki altının kaynağı o ise, muhtemelen en azından Odawara'dan beri yakın bir ilişkileri olduğu sonucuna varabiliriz."""
Ushiromiya Krauss,"...A relationship trusting enough for her to lend him a vast quantity of gold. I can't even imagine how old that relationship must have been."" ","""......A relationship trusting enough for her to lend him a vast quantity of gold. I can't even imagine how old that relationship must have been.""","......A relationship trusting enough for her to lend him a vast quantity of gold. I can't even imagine how old that relationship must have been.""",……莫大な黄金を貸し付けられるだけの信頼関係だ。どれほどの古い縁か、想像もつかんね。」,「……莫大な黄金を貸し付けられるだけの信頼関係だ。どれほどの古い縁か、想像もつかんね」,"""......Отношения доверительные достаточно, чтобы одолжить ему огромное количество золота. Я не могу себе даже представить, насколько длительными были эти отношения.""","""......Um relacionamento confiável o bastante para ela emprestar a ele uma vasta quantia de ouro. Eu não consigo nem imaginar o quão antiga essa relação deve ser.""",「……這可是肯借出巨額黃金的信賴關係。有多深的交情，可是想都沒法想。」,「……这可是肯借出巨额黄金的信赖关系。有多深的交情，可是想都没法想。」,"... Una relazione di cui lei si fidava abbastanza da prestargli una enorme quantità d'oro. Non riesco neanche ad immaginare quanto potesse essere vecchio quel rapporto.""","""......Ona büyük miktarda altın ödünç verecek kadar güvene dayalı bir ilişki. Bu ilişkinin ne kadar eski olduğunu hayal bile edemiyorum."""
Ushiromiya Natsuhi,"""......Perhaps Father gave her some kind of valuable advice for succeeding in business. It's natural to think that, out of a sense of gratitude for that, this person gave Father the gold. ",""".........Most likely, she gave Father some invaluable advice for achieving success in business. It's natural to think that, out of a sense of gratitude for that, he described it as if this person had given him gold.""",""".........Possibly, after achieving success in business, Father gave her some kind of valuable advice. It's natural to think that, out of a sense of gratitude for that, this person gave Father the gold.",「………恐らく、お父様が事業で成功する上で、何か貴重な助言をしてくれたのでしょう。それに恩を感じ、その人物が黄金を与えてくれたというような言い方をしたと考えるのが自然です。,「………恐らく、お父様が事業で成功する上で、何か貴重な助言をしてくれたのでしょう。それに恩を感じ、その人物が黄金を与えてくれたというような言い方をしたと考えるのが自然です」,""".........Быть может, что после достижения успеха на коммерческом поприще, отец дал ей какой‐нибудь ценный совет. Естественно думать, что из благодарности за это тот человек дал отцу золото.""",""".........Como se ela tivesse dado algum conselho inestimável para ele para alcançar o sucesso em seus negócios. É natural pensar que, fora de um sentido de gratidão, ele a descrevia como uma pessoa que o deu o ouro.""",「………恐怕是在使爸事業獲得成功的方面上，提供了什麼重要的建議吧。按爸銘感恩情，將這說成是此人給了他黃金，這麼來想就很自然了。」,「………恐怕是在使爸事业获得成功的方面上，提供了什么重要的建议吧。按爸铭感恩情，将这说成是此人给了他黄金，这么来想就很自然了。」,"""... Forse, dopo aver raggiunto successo negli affari, nostro Padre le aveva dato qualche consiglio prezioso. È naturale pensare che, per senso di gratitudine, questa persona gli diede l'oro.",""".........Büyük olasılıkla Babama iş hayatında başarıya ulaşması için paha biçilmez tavsiyeler vermiştir. Bunun için duyduğu minnettarlık duygusuyla, bunu sanki bu kişi ona altın vermiş gibi betimlediğini düşünmek doğaldır."""
Ushiromiya Natsuhi,"If you think about it that way, it's obvious that they would have a close relationship after that. Rather than a festering relationship with a mistress, it was probably a relationship of gratitude to the person who saved the Ushiromiya family from its crisis."" ","""If you think about it that way, it's obvious that they would have a close relationship after that. Rather than a debauched relationship with a mistress, it was probably a relationship of gratitude to the person who saved the Ushiromiya family from crisis."""," If you think about it that way, it's obvious that they would have a close relationship after that. Rather than a festering relationship with a mistress, it was probably a relationship of gratitude to the person who saved the Ushiromiya family from crisis.""",そうと考えれば、その後も親交があったのは当然でしょう。それは恐らく、愛人という爛れた関係ではなく、右代宮家の危機を救った恩人としてに違いありません。」,「そうと考えれば、その後も親交があったのは当然でしょう。それは恐らく、愛人という爛れた関係ではなく、右代宮家の危機を救った恩人としてに違いありません」,"""Если размышлять в таком ключе, то становится очевидно, что они будут иметь близкие отношения после этого. Вместо гнилых отношений с любовницей, это, вероятно, были построенные на благодарности отношения с человеком, спасшим семью Уширомия от кризиса.""","""Se você pensar dessa forma, fica evidente que eles tinham uma relação próxima depois disso. Mais do que uma bacântica relação com sua amante, provavelmente era uma relação de gratidão à pessoa que salvou a família Ushiromiya da crise.""",「這麼一想，之後仍有親密往來也是當然的事。這恐怕並非是與情婦的糜爛關係，而無疑是將她當成了救右代宮家於水火之中的恩人。」,「这么一想，之后仍有亲密往来也是当然的事。这恐怕并非是与情妇的糜烂关系，而无疑是将她当成了救右代宫家于水火之中的恩人。」,"Se si ragiona in questa maniera, è ovvio che il loro stretto rapporto si sia creato dopo ciò. Piuttosto che una sporca relazione con una amante, era probabilmente un rapporto di gratitudine con la persona che aveva salvato la famiglia Ushiromiya dalla crisi.""","""Bu şekilde düşünürseniz, bundan sonra yakın bir ilişkileri olacağı açıktır. Bir metresle yaşanan ahlaksız bir ilişkiden ziyade, muhtemelen Ushiromiya ailesini krizden kurtaran kişiye duyulan bir minnettarlık ilişkisiydi."""
Ushiromiya Hideyoshi,"""...I don't know if what Natsuhi-san's saying has a ring of truth to it or not. But, even in that case, isn't building a hidden mansion and havin' her live in it going a bit too far? Doesn't that mean they felt something a bit more than gratitude?"" ","""......That way of looking at it might have some sense to it too. But, even in that case, isn't building a hidden mansion and havin' her live in it going a little too far? Doesn't that mean that there were some emotions in play beyond gratitude?""","""......I don't know whether what Natsuhi-san's saying has a ring of truth to it or not. But, even in that case, isn't building a hidden mansion and havin' her live in it going a little too far? Doesn't that mean that there were some emotions in play beyond gratitude?""",「……夏妃さんの言うのも、一理あるかもわからんな。だが、仮にそうでも、隠し屋敷を作って住まわせるってのは、ちょいと行き過ぎた話やろなぁ。恩だけでは量れん感情があったんとちゃうか。」,「……夏妃さんの言うのも、一理あるかもわからんな。だが、仮にそうでも、隠し屋敷を作って住まわせるってのは、ちょいと行き過ぎた話やろなぁ。恩だけでは量れん感情があったんとちゃうか」,"""......Я не знаю, есть или нет хоть крупицы истины в словах Нацухи‐сан. Но если допустить такой случай, не перебор ли это — строить тайный особняк для неё? Не получается ли, что тут примешались эмоции, выходящие за грань благодарности?""","""......Olhando dessa forma, isso também acaba fazendo certo sentido. Mas, em qualquer caso, construir uma mansão escondida e viver suas vidas assim não é um pouco demais? Isso não significa que havia algumas emoções em jogo além dessa gratidão?""",「……夏妃姐說的或許也有道理吶。但是，就算假定如此，造個秘密宅邸讓她住，就有點做過頭了吶。這裡面是不是有些，無法光以感恩來衡量的感情呀？」,「……夏妃姐说的或许也有道理呐。但是，就算假定如此，造个秘密宅邸让她住，就有点做过头了呐。这里面是不是有些，无法光以感恩来衡量的感情呀？」,"""... Non so se in quello che dice Natsuhi-san ci sia o meno un fondo di verità. {n}Ma, anche in quel caso, costruire una villa segreta e farla vivere lì non è un po' troppo? Non significa forse che c'erano altri sentimenti in gioco oltre la gratitudine?""","""......Natsuhi-san'ın söylediklerinde doğruluk payı olup olmadığını bilemiyorum. Ancak, bu durumda bile, gizli bir malikane inşa etmek ve onun içinde yaşamasını sağlamak biraz fazla ileri gitmek değil mi? Bu, minnettarlığın ötesinde bazı duyguların devrede olduğu anlamına gelmez mi?"""
Ushiromiya Rudolf,"""Well, this is all just speculation. ...In the first place, no one's ever found that hidden mansion. ","""Well, this is all speculation. ......In the first place, no one has ever found that hidden mansion.""","""Well, this is all speculation. ......In the first place, no one has ever found that hidden mansion. ",「まぁ、全ては憶測だ。……第一、その隠し屋敷は誰も見つけたことがねぇ。,「まぁ、全ては憶測だ。……第一、その隠し屋敷は誰も見つけたことがねぇ」,"""Ну, всё это лишь догадки. ......Во‐первых, никто так и не нашёл этот тайный особняк.""","""Bem, tudo isso é apenas especulação. ......Em primeiro lugar, ninguém nunca encontrou essa mansão secreta.""",「不過，這全都是臆測。……再說了，誰都沒有找到過那棟秘密宅邸。」,「不过，这全都是臆测。……再说了，谁都没有找到过那栋秘密宅邸。」,"""Beh, son tutte ipotesi. ... In primo luogo, nessuno ha mai trovato la villa nascosta.","""Yani, bunların hepsi bir spekülasyon. ......İşin aslı, hiç kimse o gizli malikaneyi bulamadı."""
Ushiromiya Rudolf,"...Aniki, you were planning on expanding this island into a resort, right? As you were doing that, you didn't manage to stumble on it by chance, did you? Maybe you even bumped into some gold there, too."" ","""...Aniki, you're planning on expanding this island into a resort, right? You might stumble onto it by chance in the process, who knows? Maybe you'd even unexpectedly find some gold there, too.""","...Aniki was planning on expanding this island into a resort, right? As you were doing that, you didn't manage to stumble on it by chance, did you? Or maybe unexpectedly find some gold there, too?""",…兄貴はこの島をリゾート開発する気なんだろ？　その際にひょっこり見付かるかもしれねぇぜ？　案外、そこに黄金もあったりするかもな。」,「…兄貴はこの島をリゾート開発する気なんだろ？　その際にひょっこり見付かるかもしれねぇぜ？　案外、そこに黄金もあったりするかもな」,"""...Аники, ты планировал расширить этот остров до курорта, верно? Когда ты это делал, не мог ли ты случайно натолкнуться на него, так? Или может быть неожиданно нашёл немного золота тоже?""","""...Aniki, você está planejando expandir essa ilha transformando ela em um resort, certo? Você pode acabar tendo a chance de tropeçar nela no processo, não acha? Talvez você até acabe achando um pouco de ouro lá.""",「…大哥是想把這島開發成休養地吧？到時候說不定就突然找著了哦？搞不好，那兒或許還有黃金呢。」,「…大哥是想把这岛开发成休养地吧？到时候说不定就突然找着了哦？搞不好，那儿或许还有黄金呢。」,"... Aniki stava progettando di trasformare quest'isola in un resort, no? Mentre lo facevi, non ti è capitato di inciamparci per caso, eh? E forse trovarci inaspettatamente dell'oro?""","""...Aniki, bu adayı bir tatil köyüne dönüştürmeyi planlıyorsun, değil mi? Bu süreçte belki tesadüfen bulursun, kim bilir? Belki orada beklenmedik bir şekilde altını bile bulabilirsin."""
Ushiromiya Krauss,"""...Hahahaha. Do you think Rokkenjima is Treasure Island or something?"" ","""...Hahahaha. Do you think Rokkenjima is Treasure Island or something?""",[=UP],「…はははは。お前は六軒島を宝島か何かだとでも思っているのかね？」,[=JP],"""...Ха‐ха‐ха‐ха. Ты считаешь Роккенджиму островом сокровищ или чем‐то в этом роде?""","""...Hahahaha. Você acha que Rokkenjima é a Ilha do Tesouro ou algo assim?""",「…哈哈哈哈。你是不是把六軒島當成了什麼寶島啊？」,「…哈哈哈哈。你是不是把六轩岛当成了什么宝岛啊？」,"""... Hahahaha. Pensi che Rokkenjima sia l'Isola del Tesoro o qualcosa di simile?""","""...Hahahaha. Rokkenjima'nın Hazine Adası olduğunu falan mı düşünüyorsun?"""
Ushiromiya Eva,"""Don't play dumb. ...We know that, although you say you're opening a resort, you have really been planning to investigate the entire island, right? Judging by all that trouble and confusion we were talking about earlier, you haven't been very successful, have you?"" ","""Don't play dumb. ...Although you say that you're opening a resort, we know that it's just a cover for a full‐scale investigation of the entire island, okay? Although, it sounds as if, due to all that trouble and confusion we were talking about earlier, you haven't been able to carry it out, of course?""","""Don't play dumb. ...We know that, although you say that you are opening a resort, you have really been planning to investigate the entire island, right? Judging by all that trouble and confusion we were talking about earlier, you haven't been very successful, have you?""",「惚けないでよ。…兄さんがリゾート開発と称して、島の全域調査を計上しようとしてたのを知ってるのよぅ？例のトラブルのごたごたで出来なくなっちゃったそうだけどね？」,「惚けないでよ。…兄さんがリゾート開発と称して、島の全域調査を計上しようとしてたのを知ってるのよぅ？　例のトラブルのごたごたで出来なくなっちゃったそうだけどね？」,"""Не прикидывайся дураком. ...Мы знаем, что, хотя ты и открываешь курорт, ты намеревался исследовать весь остров, верно? Судя по обсуждаемым нами ранее всем этим неприятностям и беспорядкам, ты не добился больших успехов, не так ли?""","""Não banque o idiota. ...Apesar de você ter dito que vai abrir um resort, nós sabemos que é só uma fachada para sua investigação em larga escala da ilha toda, certo? Contudo, isso soa como se, devido a todos os problemas e confusões que estávamos falando antes, você não teve muito sucesso nisso, não é mesmo?""",「少裝傻。…我可是知道哥假稱開發休養地，想要對整個島展開調查的喲？不過就是因那場糾紛攪局，搞得沒法進行了呢？」,「少装傻。…我可是知道哥假称开发休养地，想要对整个岛展开调查的哟？不过就是因那场纠纷搅局，搞得没法进行了呢？」,"""Non fare il finto tonto. ... Sappiamo che, nonostante tu dica che stai aprendo un resort, in realtà avevi intenzione di setacciare l'intera isola, vero? A giudicare da tutta la confusione di cui stavamo parlando poco fa, non hai avuto molto successo, giusto?""","""Salağa yatma. ...Her ne kadar bir tatil köyü açacağını söylesen de, bunun tüm adada yapılacak kapsamlı bir araştırma için sadece bir kılıf olduğunu biliyoruz, tamam mı? Daha önce konuştuğumuz tüm o sorun ve karmaşaya bakılırsa, henüz pek başarılı olamamışsın, değil mi?"""
Ushiromiya Krauss,"""I don't know what you're talking about, but it's a misunderstanding. Isn't it perfectly natural that investigating this island would be the first step in turning it into a resort?"" ","""I don't know what you're talking about, but you misunderstand. It is perfectly natural that investigating this island would be the first step in turning it into a resort.""","""I don't know what you're talking about, it's a misunderstanding. Isn't it perfectly natural that investigating this island would be the first step in turning it into a resort?""",「何だか知らんが、誤解だな。島の調査はリゾート化の第一段階として、極めて当然のことだ。」,「何だか知らんが、誤解だな。島の調査はリゾート化の第一段階として、極めて当然のことだ」,"""Я не знаю, о чём ты говоришь, это недоразумение. Разве не естественно, что исследование острова будет первым шагом на пути его превращения в курорт?""","""Eu não sei do que está falando, mas você deve ter se confundido.{n}É perfeitamente natural que investigar esta ilha seja o primeiro passo para transformá‐la em um resort.""",「雖然不知道怎麼回事，但你是誤會了呢。對島進行調查是休養地化的第一階段中，極其理所當然的事。」,「虽然不知道怎么回事，但你是误会了呢。对岛进行调查是休养地化的第一阶段中，极其理所当然的事。」,"""Non so di cosa tu stia parlando, è un malinteso. Non è perfettamente logico che controllare l'isola sia il primo passo per farne una località turistica?""","""Neyden bahsettiğinizi bilmiyorum, ama yanlış anladınız. Bu adayı araştırmanın, onu bir tatil köyüne dönüştürmenin ilk adımı olması son derece doğal değil mi?"""
,"Krauss tried to play dumb, but it was plainly obvious to his siblings, who knew him so well. ","Krauss tried to play dumb, but it was plainly obvious to his siblings, who knew him so well.",[=UP],蔵臼は惚けてみせるが、彼をよく知る兄弟たちにとってそれはとても白々しいものだった。,[=JP],"Краусс прикинулся, что ничего не знает, но для хорошо знавших его братьев и сестёр это было очевидно.","Krauss tentou bancar o bobo, mas estava óbvio para seus irmãos, que o conheciam muito bem.",雖然藏臼一副不知情的樣子，但在十分了解他的弟弟妹妹們看來，實在是假的不得了。,虽然藏臼一副不知情的样子，但在十分了解他的弟弟妹妹们看来，实在是假的不得了。,"Krauss provò a fare il finto tonto, ma era chiaramente ovvio ai suoi fratelli, che lo conoscevano così bene.","Krauss salağa yatmaya çalışsa da, onu çok iyi tanıyan kardeşleri için her şey apaçık ortadaydı."
,...Krauss was definitely sure of the existence of a hidden mansion. ,...Krauss was definitely sure of the existence of a hidden mansion.,[=UP],…蔵臼は間違いなく、隠し屋敷の存在を確信しているのだ。,[=JP],...Краусс был уверен в существовании тайного особняка.,...Krauss definitivamente tinha certeza sobre a existência de uma mansão secreta.,…毫無疑問，藏臼確信秘密宅邸的存在。,…毫无疑问，藏臼确信秘密宅邸的存在。,... Krauss era di certo sicuro dell'esistenza di una villa nascosta.,...Krauss gizli bir malikanenin varlığından kesinlikle emindi.
,"And under the pretense of opening a resort, he had been closely investigating the island, searching for a clue as to the location of the hidden gold. ","And under the pretense of opening a resort, he had been investigating the island in detail, searching for a clue as to the location of the hidden gold."," And under the pretense of opening a resort, he had been closely investigating the island, searching for a clue as to the location of the hidden gold.",それで、リゾート開発と称して島を詳しく調べ、黄金の隠し場所の手掛かりを見つけようとしているのだ。,[=JP],И под видом открытия курорта он внимательно исследовал остров в поисках улик о местоположении запрятанного золота.,"E, sob a premissa de abrir um resort, ele investigou a ilha minuciosamente, procurando por pistas sobre a localização do ouro.",而且，他還假稱開發休養地，想要通過對島展開詳細調查，找出藏金地點的線索。,而且，他还假称开发休养地，想要通过对岛展开详细调查，找出藏金地点的线索。,"E sotto la scusa di aprire un resort, aveva setacciato attentamente l'isola, cercando indizi per l'ubicazione dell'oro nascosto.","Ve bir tatil köyü açma bahanesiyle adayı detaylı bir şekilde araştırıyor, saklı altının yerine dair bir ipucu arıyordu."
,"They couldn't tell whether that conviction was just him overthinking things, or whether it was based on some physical proof. ","They couldn't tell whether that conviction was just him over‐thinking things, or whether it was based on some physical proof."," They couldn't tell whether that conviction was just him over-thinking things, or whether it was based on some physical proof.",その確信は、単なる思い込みなのか、それとも具体的な証拠があってのことなのかはわからない。,[=JP],"Единственно они не могли сказать, основывалось ли его убеждение на чрезмерных размышлениях на эту тему, либо на каких‐то реальных доказательствах.","Eles não podiam dizer se aquela convicção era apenas ele pensando demais nas coisas, ou que era baseada em alguma prova física.",這份確信，是單純地想多了，還是有具體的證據做支撐呢，這就不知道了。,这份确信，是单纯地想多了，还是有具体的证据做支撑呢，这就不知道了。,"Non potevano dire se quella convinzione era semplicemente una sua ossessione, o se si basava su prove concrete.",Bu inancın sadece onun fazla düşünmesinden mi kaynaklandığını yoksa fiziksel bir kanıta mı dayandığını bilemiyorlardı.
,"...Still, if Krauss, with all his guile, was sure, that was enough proof for the other siblings to be sure too... ","......However, if Krauss, with all his guile, was convinced, then the other siblings were similarly convinced that there must be a sufficient basis for it...","......Still, if Krauss, with all his guile, was sure, that was enough proof for the other siblings to be sure, too...",……しかし、悪知恵の働く蔵臼がそれを確信している以上、それに足る根拠があるに違いないと兄弟たちもまた確信していた…。,[=JP],"......И тем не менее, если Краусс со своими хитростью и лукавством был в этом уверен, то это являлось достаточным доказательством для подпитки уверенности остальных...","......Entretanto, se Krauss, com toda a sua astúcia, estava convencido, então os outros irmãos estariam similarmente convencidos de que havia base suficiente para tal...",……然而，只要詭計多端的藏臼如此確信，那其他几兄妹也會認為大哥肯定有足夠的根據，而同樣如此確信…。,……然而，只要诡计多端的藏臼如此确信，那其他几兄妹也会认为大哥肯定有足够的根据，而同样如此确信…。,"... Eppure se Krauss, con tutta la sua astuzia, ne era sicuro, era una prova sufficiente per rendere sicuri anche i fratelli...","......Ancak, eğer Krauss tüm kurnazlığına rağmen bundan eminse, bu diğer kardeşlerin de emin olması için yeterli bir kanıttı..."
