Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR)
,"The demon Grandfather had summoned and introduced as Gaap...took a glance at me, and then grinned as though she'd figured something out on her own.","The demon Grandfather had summoned and introduced as Gaap... took a glance at me, and then grinned as though she'd figured something out on her own. ","The demon Grandfather had summoned and introduced as Gaap...took a glance at me, and then grinned as though figuring something out on her own.",祖父さまにガァプと紹介されて呼び出された悪魔は、俺を一瞥してから、勝手に何かを納得したかのようににやっと笑う。,[=JP],"Демон, призванная дедушкой и представленная как Гаап, бросила на меня взгляд, а затем ухмыльнулась, словно сделав для себя какой‐то вывод.","O demônio que o vovô invocou e apresentou como Gaap...olhou de relance para mim, e sorriu maliciosamente, como se tivesse descoberto algo por conta própria.",被爷爷召唤出来，据介绍是叫噶普的恶魔，瞥了我一眼后，犹如顾自想通了什么般地撇嘴一笑。,被爺爺召喚出來，據介紹是叫噶普的惡魔，瞥了我一眼後，猶如顧自想通了什麼般地撇嘴一笑。,"Il demone che il Nonno aveva evocato e presentato come Gaap... mi diede un'occhiata, e poi sogghignò come se avesse capito qualcosa.",[=UP],"La demonio que el abuelo había invocado y presentado como Gaap... me lanzó una mirada, y sonrió como imaginándose algo por su cuenta.",ﺍﻟﺸﻴﻄﺎﻥ ﺍﻟﺬﻱ ﺍﺳﺘﺪﻋﺎﻩ ﺟﺪﻱ ﻭﻗﺪﻣﻪ ﻋﻠﻰ ﺃﻧﻪ ﻗﺎﺏ...ﺃﻟﻘﺖ ﻧﻈﺮﺓ ﻋﻠﻲّ، ﺛﻢ ﺍﺑﺘﺴﻤﺖ ﺍﺑﺘﺴﺎﻣﺔ ﻋﺮﻳﻀﺔ ﻭﻛﺄﻧﻬﺎ ﺍﻛﺘﺸﻔﺖ ﺷﻴﺌﺎً ﺑﻨﻔﺴﻬﺎ.
,"......Honestly, I felt that smile was repulsive.",...That smile felt openly obscene. ,"......It felt like an honestly unpleasant smile.",……率直に、嫌らしい笑いだと感じた。,[=JP],......И улыбка её была по‐честному неприятной.,"......Honestamente, eu pude sentir a repulsividade daquele sorriso.",……不掺半点水分的下流笑容。,……不摻半點水分的下流笑容。,... Sembrò un sorriso sinceramente sgradevole.,[=UP],... Era una sonrisa realmente desagradable.,......ﺑﺼﺮﺍﺣﺔ، ﺷﻌﺮﺕ ﺃﻥ ﺗﻠﻚ ﺍﻻﺑﺘﺴﺎﻣﺔ ﻛﺎﻧﺖ ﺑﻐﻴﻀﺔ.
Ushiromiya Battler,"""Looks like she's Beato's friend. ......Which means she must be an extremely unsavory character. Anyway, they were saying something or other about a closed circle, but what does that mean?""","""I guess she's Beato's friend. ...Which means she's gotta be a creep among creeps. By the way, they were saying something about a closed circle or whatever, but what does that mean?"" ","""Looks like she's Beato's friend.  ......Which means she must be an extremely unsavory character.  So, they were saying something about a closed circle or whatever, but what does that mean?""",「ベアトの友人らしいな。……ってことは輪を掛けてロクでもねぇヤツってわけだ。しかし、クローズドサークルが何とかって言ってやがったが、どういう意味だ？」,[=JP],"""Похоже, что это подруга Беато. ......А значит — крайне сомнительная личность. Итак, в разговоре они упомянули некий 'замкнутый круг'. Что означает это понятие?""","""Parece que ela é amiga da Beato. ......O que significa que ela deve ser uma personagem extremamente desagradável. De qualquer forma, elas estão falando algo sobre círculos fechados, mas o que isso quer dizer?""",「那人好像是贝阿朵的朋友。……如此说来，那她可算是个比贝阿朵更不上道的一丘之貉。说来，贝阿朵刚才讲的 closed circle 什么的，是什么意思？」,「那人好像是貝阿朵的朋友。……如此說來，那她可算是個比貝阿朵更不上道的一丘之貉。說來，貝阿朵剛才講的 closed circle 什麼的，是什麼意思？」,"""Sembra che lei sia un'amica di Beato. ... Il che significa che deve essere un personaggio estremamente disgustoso. Quindi, stavano dicendo qualcosa su un circolo chiuso o roba del genere, ma cosa significa?""",[=UP],"""Parece que es amiga de Beato. Por lo que debe ser una persona muy desagradable. Y bien, estaban hablando de algo de un círculo cerrado o algo así, ¿pero qué es eso?""","""ﻳﺒﺪﻭ ﺃﻧﻬﺎ ﺻﺪﻳﻘﺔ ﺑﻴـﺎﺗﻮ. ......ﻭﻫﺬﺍ ﻳﻌﻨﻲ ﺃﻧﻬﺎ ﺃﺳﻮﺃ ﻣﻨﻬﺎ ﺑﻜﺜﻴﺮ. ﻋﻠﻰ ﺃﻱ ﺣﺎﻝ، ﻛﻦ ﻳﺘﺤﺪﺛﻦ ﻋﻦ ﺩﺍﺋﺮﺓ ﻣﻐﻠﻘﺔ ﺃﻭ ﺷﻲﺀ ﻣﻦ ﻫﺬﺍ ﺍﻟﻘﺒﻴﻞ، ﻟﻜﻦ ﻣﺎﺫﺍ ﻳﻌﻨﻲ ﺫﻟﻚ؟"""
Ushiromiya Ange,"""Serial murder mystery novels that occur in places isolated from the outside world, like Rokkenjima is now, are sometimes called closed circles. Since it's isolated from the outside, it's like a circle that's closed. ......Therefore, in general, the characters and suspects are limited.""","""Serial murder mystery novels that occur in places isolated from the outside world, like Rokkenjima is now, are sometimes called closed circles. Since such a place is isolated from the outside, it's like a circle that's closed. ...Therefore, in general, the characters and suspects are limited in number."" ","""Serial murder mystery novels that occur in places isolated from the outside world, like Rokkenjima is now, are sometimes called closed circles.  Since it's isolated from the outside, it's like a circle that's closed.  ......Therefore, in general, the characters and suspects are limited.",「今の六軒島のような、外界から途絶された場所で起こる連続殺人ミステリーは、クローズドサークルとも呼ばれるわ。外界からの途絶、つまりは閉じられた輪の世界というわけ。……ゆえに、登場人物と容疑者は限定されるのが一般的。,「今の六軒島のような、外界から断絶された場所で起こる連続殺人ミステリーは、クローズドサークルとも呼ばれるわ。外界からの断絶、つまりは閉じられた輪の世界というわけ。……ゆえに、登場人物と容疑者は限定されるのが一般的」,"""Серийные убийства в детективных романах, происходящие в местах, изолированных от окружающего мира, совсем как Роккенджима сейчас, иногда называют 'замкнутым кругом'. Поскольку место изолировано от окружающего мира, его можно сравнить с кругом, который замкнут. ......Таким образом, в общем и целом набор персонажей и подозреваемых ограничен.""","""Romances de mistério envolvendo assassinatos em série que ocorrem em locais isolados do resto do mundo, assim como Rokkenjima está agora, costumam ser chamados de círculos fechados. Por estar isolada do resto do mundo, é como se fosse círculo fechado. ......Portanto, resumindo, os personagens e suspeitos são limitados.""",「描写如现在的六轩岛般，在与外界隔绝的场所发生连续杀人的推理剧，别称暴风雪山庄。与外界隔绝就代表着，是个密闭的环之世界。……故，一般可限定登场人物与嫌疑人。」,「描寫如現在的六軒島般，在與外界隔絕的場所發生連續殺人的推理劇，別稱暴風雪山莊。與外界隔絕就代表著，是個密閉的環之世界。……故，一般可限定登場人物與嫌疑人。」,"""I romanzi del mistero con omicidi seriali che avvengono in posti isolati dal mondo esterno, come è Rokkenjima ora, sono qualche volta chiamati circoli chiusi. Dato che è isolata dall'esterno, è come un cerchio che è chiuso. ... Pertanto, in generale, i personaggi e i sospetti sono limitati.",[=UP],"""En las novelas de misterio, los asesinatos que ocurren en zonas aisladas del mundo exterior, como Rokkenjima, suelen llamarse círculos cerrados. Al estar aislado del exterior, es como un círculo que está cerrado... Por tanto, en general, los personajes y sospechosos son limitados.""","""ﺭﻭﺍﻳﺎﺕ ﺟﺮﺍﺋﻢ ﺍﻟﻘﺘﻞ ﺍﻟﻤﺘﺴﻠﺴﻠﺔ ﺍﻟﺘﻲ ﺗﺤﺪﺙ ﻓﻲ ﺃﻣﺎﻛﻦ ﻣﻌﺰﻭﻟﺔ ﻋﻦ ﺍﻟﻌﺎﻟﻢ ﺍﻟﺨﺎﺭﺟﻲ، ﻣﺜﻞ ﺭﻭﻛﻴﻨﺠﻴﻤﺎ ﺍﻵﻥ، ﺗﺴﻤﻰ ﺃﺣﻴﺎﻧﺎً ﺩﻭﺍﺋﺮ ﻣﻐﻠﻘﺔ. ﺑﻤﺎ ﺃﻧﻬﺎ ﻣﻌﺰﻭﻟﺔ ﻋﻦ ﺍﻟﺨﺎﺭﺝ، ﻓﻬﻲ ﻛﺪﺍﺋﺮﺓ ﺃُﻏﻠِﻘَﺖ. ......ﻟﺬﻟﻚ، ﺑﺸﻜﻞ ﻋﺎﻡ، ﺗﻜﻮﻥ ﺍﻟﺸﺨﺼﻴﺎﺕ ﻭﺍﻟﻤﺸﺘﺒﻪ ﺑﻬﻢ ﻣﺤﺪﻭﺩﻳﻦ."""
Ushiromiya Ange,"""Having new possible suspects added on one after another from outside the circle goes against the etiquette of mystery novels. ......Basically, the witch is probably trying to desecrate {y:0:Human}{n:0:human}s and the mystery genre.""","""Having new suspect candidates added on one after another from outside the circle goes against the etiquette of mystery novels. ...In other words, the witch is probably trying to desecrate Humans and the mystery genre itself."" ","Having new suspect candidates added on one after another from outside the circle goes against the etiquette of mystery novels.  ......In other words, the witch is probably trying to desecrate humans and the mystery genre.""",にもかかわらず、新しい容疑者候補が次々に輪の外から追加されていくのは、ミステリーの作法に反する。……つまり、ニンゲンとミステリーに対する、魔女の冒涜ってつもりなんでしょうよ。」,「にもかかわらず、新しい容疑者候補が次々に輪の外から追加されていくのは、ミステリーの作法に反する。……つまり、ニンゲンとミステリーに対する、魔女の冒涜ってつもりなんでしょうよ」,"""Вводить новых подозреваемых одного за другим извне круга означает грубо нарушать этикет детективных романов. ......Другими словами, ведьма наверняка вознамерилась осквернить {y:0:Люд}{n:0:люд}ей и детективный жанр.""","""Ter possíveis novos suspeitos adicionados um após o outro, vindos de fora desse círculo vai contra as etiquetas dos livros de mistério. ......Basicamente, a bruxa provavelmente está tentando profanar os {y:0:Humanos}{n:0:humanos} e o gênero de mistérios.""",「不过若是无视这些，从环外一个一个地追加新的准嫌疑人，那就违反了推理剧的规矩。……总而言之，那是魔女对人类与推理剧的亵渎吧。」,「不過若是無視這些，從環外一個一個地追加新的准嫌疑人，那就違反了推理劇的規矩。……總而言之，那是魔女對人類與推理劇的褻瀆吧。」,"Aggiungere nuovi candidati sospetti uno dopo l'altro dall'esterno del circolo va contro il galateo del romanzo del mistero. ... In altre parole, la strega sta provando probabilmente a dissacrare gli umani e il genere del mistero.""",[=UP],"""Que aparezcan nuevos sospechosos uno tras otro de fuera del círculo va contra la etiqueta de las novelas de misterio. En otras palabras, probablemente la bruja pretenda profanar a los humanos y al género del misterio.""","""ﺇﺿﺎﻓﺔ ﻣﺸﺘﺒﻪ ﺑﻬﻢ ﺟﺪﺩ ﻣﺤﺘﻤﻠﻴﻦ ﻭﺍﺣﺪﺍً ﺗﻠﻮ ﺍﻵﺧﺮ ﻣﻦ ﺧﺎﺭﺝ ﺍﻟﺪﺍﺋﺮﺓ ﻳﺘﻌﺎﺭﺽ ﻣﻊ ﺁﺩﺍﺏ ﺭﻭﺍﻳﺎﺕ ﺍﻟﻐﻤﻮﺽ. ......ﺑﺸﻜﻞ ﺃﺳﺎﺳﻲ، ﺭﺑﻤﺎ ﺗﺤﺎﻭﻝ ﺍﻟﺴﺎﺣﺮﺓ ﺗﺪﻧﻴﺲ {y:0:ﺍﻟﺒﺸﺮ}{n:0:ﺍﻟﺒﺸﺮ} ﻭﺗﺼﻨﻴﻒ ﺍﻟﻐﻤﻮﺽ."""
Gaap,""".........So you are Gretel? I see, you look like a wise kid, ......*giggle*. I like that kind of kid. ......Their tongues just melt in the mouth.""","""......You're Gretel? I see, you look like a wise kid. ...*giggle* I love kids like you. ...You taste so sweet and tantalizing."" ",""".........You're Gretel?  I see, you look like a wise kid, ......*giggle*.  I like that kind of kid.  ......Their taste is so sweet and tantalizing.""",「………あなたがグレーテル？なるほど、賢い子みたいね、……くす。そういう子は好きよ。……舌が甘くてとろけるから。」,「………あなたがグレーテル？　なるほど、賢い子みたいね、……くす。そういう子は好きよ。……舌が甘くてとろけるから」,""".........Так ты Гретель? Понятно, ты выглядишь мудрым ребёнком, ......*хи‐хи*. Мне нравятся такие дети. ......У них такой сладкий и дразнящий вкус.""",""".........Então você é a Gretel, né? Entendo, parece ser uma criança inteligente, ......*risos*. Eu gosto de crianças assim. ......Sua língua é tão doce que chega a derreter.""",「………你是格莱泰尔？原来如此，看来是个聪明的孩子呢，……嘻。我喜欢这种孩子哟。……因为，她们的舌头又甜又销魂。」,「………你是格萊泰爾？原來如此，看來是個聰明的孩子呢，……嘻。我喜歡這種孩子喲。……因為，她們的舌頭又甜又銷魂。」,"""... Tu sei Gretel? Capisco, sembri una ragazza saggia... *giggle*. Mi piacciono questo tipo di ragazzi. ... Il loro gusto è così dolce e allettante.""",[=UP],"""... ¿Eres Gretel? Ya veo, pareces una niña muy sabia... *carcajada*. Me gusta esa clase de niños. Su sabor es tan dulce y tentador.""",""".........ﺇﺫﻥ ﺃﻧﺖِ ﻏﺮﻳﺘﻞ؟ ﻓﻬﻤﺖ، ﺗﺒﺪﻳﻦ ﻃﻔﻠﺔ ﺣﻜﻴﻤﺔ، ......*ﺿﺤﻚ*. ﺃﻧﺎ ﺃﺣﺐ ﻫﺬﺍ ﺍﻟﻨﻮﻉ ﻣﻦ ﺍﻷﻃﻔﺎﻝ. ......ﺃﻟﺴﻨﺘﻬﻦ ﺗﺬﻭﺏ ﻓﻲ ﺍﻟﻔﻢ."""
Ushiromiya Ange,"""Gross. ......Keep the jokes to just your clothing.""","""Gross. ...Keep the jokes to your clothing."" ","""Gross.  ......Keep the jokes to your clothing.""",「気色悪い。……冗談は服だけにしておいて。」,「気色悪い。……冗談は服だけにしておいて」,"""Какая гадость. ......Шути про свой гардероб.""","""Que nojo. ......Mantenha suas piadas para suas roupas.""",「恶心。……玩笑请仅限于服装。」,「噁心。……玩笑請僅限於服裝。」,"""Che volgare. ... Tieni le battute per il tuo abbigliamento.""",[=UP],"""Qué asco... Deja las bromas para tu ropa.""","""ﻣﻘﺰﺯﺓ. ......ﺍﺣﺘﻔﻈﻲ ﺑﻨﻜﺎﺗﻚِ ﻟﻤﻼﺑﺴﻚِ ﻓﻘﻂ."""
Gaap,"""It's Devilish Pretty's newest, ""Jack the Ripper: Christmas Blood"". ......Sorry for having a style that a country bumpkin from the {y:0:Human}{n:0:human} world can't understand.""","""It's Devilish Pretty's newest, ""Jack the Ripper: Christmas Blood"". Sorry for having a style that a country bumpkin from the Human world couldn't understand, okay?"" ","""It's <Devilish Pretty>'s newest, <Jack the Ripper, Christmas Blood>.  Sorry for having a style that a country bumpkin from the human world couldn't understand, okay?""",「デヴィリッシュプリティの最新作、ジャックザリッパー・クリスマスブラッド。……ニンゲン界の田舎娘には理解できないセンスでごめんね？」,[=JP],"""Это последний писк моды. Уж извини, что сельскому увальню из мира {y:0:Люд}{n:0:люд}ей вроде тебя не дано понять стиль демонов.""","""É o mais novo lançamento da Devilish Pretty, ""{i:Jack the Ripper Christmas Blood}"". ......Desculpe por ter um estilo que garotas do interior do mundo {y:0:Humano}{n:0:humano} não conseguem compreender.""",「这是邪恶之美的最新作，开膛手杰克·血腥圣诞哦。……时尚到了人界乡下妹无法理解，真是不好意思呢？」,「這是邪惡之美的最新作，開膛手杰克·血腥聖誕哦。……時尚到了人界鄉下妹無法理解，真是不好意思呢？」,"""È il nuovo di {p:0:＜}Devilish Pretty{p:0:＞}, {p:0:＜}Jack tè Ripper, Christmas Blood{p:0:＞}. Scusa tanto se ho uno stile che una zotica campagnola del mondo umano non può comprendere, ok?""",[=UP],"""Es el nuevo <{ruby:Belleza Diabólica:Devilish Pretty}>, <{ruby:Jack el Destripador, Navidad Sangrienta:Jack the Ripper, Christmas Blood}>. Perdón por tener un estilo que una humana pueblerina no puede entender, ¿bien?""","""ﺇﻧﻪ ﺃﺣﺪﺙ ﺇﺻﺪﺍﺭﺍﺕ ""ﺩﻳﻔﻴﻠﺶ ﺑﺮﻳﺘﻲ""، ""ﺟﺎﻙ ﺍﻟﺴﻔﺎﺡ: ﺩﻣﺎﺀ ﻋﻴﺪ ﺍﻟﻤﻴﻼﺩ"". ......ﺁﺳﻔﺔ ﻻﻣﺘﻼﻛﻲ ﺃﺳﻠﻮﺑﺎً ﻻ ﻳﺴﺘﻄﻴﻊ ﻗﺮﻭﻱ ﻣﻦ ﻋﺎﻟﻢ {y:0:ﺍﻟﺒﺸﺮ}{n:0:ﺍﻟﺒﺸﺮ} ﻓﻬﻤﻪ."""
Ushiromiya Ange,"""......Well, I can at least tell it's breathable. Why don't you add a gap down your head while you're at it? Might help your brain cells breathe a bit as well.""","""...At least we know it's well-ventilated. Why don't you add a gap to the head part as well? Let a little air into your brain."" ","""......At least we know it's breathable.  Why don't you add a gap to the head part as well?  That might help the breathability you're so worried about.""",「……通気性がいいのだけは理解できたわ。ついでに頭にも切れ目をいれたら？　脳みその通気性もよくなるかもね。」,「……通気性がいいのだけは理解できたわ。ついでに頭にも切れ目をいれたら？　脳みその通気性もよくなるかもね」,"""......Что ж, по крайней мере, он проветриваем. Почему бы тебе не добавить пробел в головной части? Это может придать проветриваемости, о которой ты так переживаешь.""","""......Bem, ao menos posso ver que é bem ventilada. Por que não adiciona um decote na sua cabeça também? Pode ser que ajude a ventilar seu cérebro.""",「……通气性好这一点是已经理解了。顺便在脑袋上也开条缝如何？也许能让大脑的通气性也得到改善哦？」,「……通氣性好這一點是已經理解了。順便在腦袋上也開條縫如何？也許能讓大腦的通氣性也得到改善哦？」,"""... Almeno sappiamo che è traspirante. Perché non aggiungi una apertura anche nella parte della testa? Potrebbe aiutare la traspirabilità di cui pare ti preoccupi tanto.""",[=UP],"""... Al menos podemos ver que deja que el aire circule bien por tu cuerpo. ¿Qué tal si añades un agujero a la cabeza? Necesitamos airear un poco tu cerebro.""","""......ﺣﺴﻨﺎً، ﻳﻤﻜﻨﻨﻲ ﻋﻠﻰ ﺍﻷﻗﻞ ﺃﻥ ﺃﻗﻮﻝ ﺇﻧﻪ ﻳﺴﻤﺢ ﺑﻤﺮﻭﺭ ﺍﻟﻬﻮﺍﺀ. ﻟﻢَ ﻻ ﺗﻀﻴﻔﻴﻦ ﻓﺠﻮﺓ ﻓﻲ ﺭﺃﺳﻚِ ﻭﺃﻧﺖِ ﻓﻲ ﻃﺮﻳﻘﻚِ؟ ﻗﺪ ﺗﺴﺎﻋﺪ ﺧﻼﻳﺎ ﺩﻣﺎﻏﻚِ ﻋﻠﻰ ﺍﻟﺘﻨﻔﺲ ﻗﻠﻴﻼً ﺃﻳﻀﺎً."""
{f:5:Beatrice},"""Gaap is always sensitive to the fashions of the netherworld! But this year's fads truly are bold. I think I'll order something sometime...!""","""Gaap is always sensitive to the fashions of the spirit world! But this year's fad truly is bold. I think I'll order one sometime...!"" ","""Gaap is always sensitive to the fashions of the spirit world!  But this year's fad truly is bold.  I think I'll order one sometime...!""",「ガァプは魔界の流行にいつも敏感でな！　しかし今年の流行りも実に大胆だ。妾も一度ぜひ取り寄せてみるとしよう…！」,[=JP],"""Гаап всегда внимательно следит за модами мира духов! Но мода этого года такая дерзкая. Может, мне тоже один себе заказать?""","""A Gaap sempre foi muito sensitiva em relação à moda do outro mundo! Mas este ano a moda anda bem ousada. Acho que também vou encomendar um...!""",「噶普对魔界的流行一直很敏感！不过，今年的流行实在是大胆呢。妾身下次也一定要去订购一套…！」,「噶普對魔界的流行一直很敏感！不過，今年的流行實在是大膽呢。妾身下次也一定要去訂購一套…！」,"""Gaap è sempre sensibile alle mode del mondo spirituale! Ma la mania di quest'anno è davvero sfacciata. Credo che proverò ad ordinarne uno...!""",[=UP],"""¡Gaap siempre está informada sobre las modas del mundo de los espíritus! Pero la gama de este año es verdaderamente llamativa. ¡Puede que compre una!...""","""ﻗﺎﺏ ﺩﺍﺋﻤﺎً ﺣﺴﺎﺳﺔ ﻟﻤﻮﺿﺎﺕ ﺍﻟﻌﺎﻟﻢ ﺍﻟﺴﻔﻠﻲ! ﻟﻜﻦ ﺻﻴﺤﺎﺕ ﻫﺬﺍ ﺍﻟﻌﺎﻡ ﺟﺮﻳﺌﺔ ﺣﻘﺎً. ﺃﻋﺘﻘﺪ ﺃﻧﻨﻲ ﺳﺄﻃﻠﺐ ﺷﻴﺌﺎً ﻓﻲ ﻭﻗﺖ ﻣﺎ...!"""
Gaap,"""For you, Riiche, I'd recommend {nobr:Ali‐Gray}—Alice and the Graveyard. Let's go to {c:86EF9C:666} sometime soon to look at the clothes. You should come over to the netherworld every now and then.""","""For you, Riiche, I'd recommend Ali-Gray, <Alice and the Graveyard>. Let's go to 666 sometime soon to look at the clothes. You really should drop by the spirit world every now and then."" ","""For you, Riiche, I'd recommend Ali-Gray, <Alice and the Graveyard>.  Let's go to 666 sometime soon to look at the clothes.  You should head over to the spirit world every now and then.""",「リーチェにはアリグレがお勧めね、アリスアンドザグレイブヤード。今度一緒に６６６にお洋服見に行きましょうよ。たまには魔界にもいらっしゃいな。」,「リーチェにはアリグレがお勧めね、アリスアンドザグレイブヤード。今度一緒に６６６にお洋服見に行きましょうよ。たまには魔界にもいらっしゃいな」,"""Тебе, Риче, я бы порекомендовала Али‐Грей — <Alice and the Graveyard>. Давай как‐нибудь сгоняем в {c:86EF9C:666} и подберём себе шмоток. Тебе следует иногда заглядывать в мир духов.""","""Para você, Riiche, eu recomendaria {nobr:Ali‐Gray}—Alice and the Graveyard.{n}Vamos dar uma passada na {c:86EF9C:666} qualquer dia desses para olhar umas roupas. Você deveria dar uma passada no submundo de vez em quando.""",「对莉～切，我推荐爱丽格雷，爱丽丝与墓园。下次一起去 666 看洋装吧？偶尔也该去下魔界呀。」,「對莉～切，我推薦愛麗格雷，愛麗絲與墓園。下次一起去 666 看洋裝吧？偶爾也該去下魔界呀。」,"""A te, Riiche, consiglierei Ali-Gray, {p:0:＜}Alice and tè Graveyard{p:0:＞}. Andiamo a 666 qualche volta, prossimamente, per dare un'occhiata ai vestiti. Dovresti venire nel mondo spirituale ogni tanto.""",[=UP],"""Para ti, Riiche, recomendaría <{nobr:Ali‐Gray}—{ruby:Alicia y el cementerio:Alice and the Graveyard}>. Vayamos alguna vez a {c:86EF9C:666} para mirar un poco de ropa. Deberías visitar el mundo de los espíritus de vez en cuando.""","""ﺑﺎﻟﻨﺴﺒﺔ ﻟﻚِ ﻳﺎ ﺭﻳﺘﺸﻲ، ﺃﻭﺻﻲ ﺑـ{nobr:ﺁﻟﻲ-ﻗﺮﺍﻱ}—ﺃﻟﻴﺲ ﻭﺍﻟﻤﻘﺒﺮﺓ. ﻟﻨﺬﻫﺐ ﺇﻟﻰ {c:86EF9C:666} ﻗﺮﻳﺒﺎً ﻹﻟﻘﺎﺀ ﻧﻈﺮﺓ ﻋﻠﻰ ﺍﻟﻤﻼﺑﺲ. ﻳﺠﺐ ﺃﻥ ﺗﺄﺗﻲ ﺇﻟﻰ ﺍﻟﻌﺎﻟﻢ ﺍﻟﺴﻔﻠﻲ ﺑﻴﻦ ﺍﻟﺤﻴﻦ ﻭﺍﻵﺧﺮ."""
{f:5:Beatrice},"""When this game is over, I'll be sure to do that. *cackle*cackle*!""","""When this game is over, I'll be sure to do that. *cackle*cackle*!"" ","""When this game is over, I'll be sure to do that.  *cackle*cackle*!""",「このゲームを終えたら、ぜひそうしようぞ。くっくっくっく！」,[=JP],"""Когда завершится эта игра, так и поступлю. *хи‐хи*хи‐хи*!""","""Terei certeza de ir quando este jogo acabar. *gargalhada*gargalhada*!""",「等这盘游戏结束后，一定奉陪。呵呵呵呵！」,「等這盤遊戲結束後，一定奉陪。呵呵呵呵！」,"""Quando questo gioco sarà finito, lo farò di sicuro. *cackle*cackle*!""",[=UP],"""Lo haré cuando este juego acabe. ¡*carcajada*carcajada*!""","""ﻋﻨﺪﻣﺎ ﺗﻨﺘﻬﻲ ﻫﺬﻩ ﺍﻟﻠﻌﺒﺔ، ﺳﺄﻓﻌﻞ ﺫﻟﻚ ﺑﺎﻟﺘﺄﻛﻴﺪ. *ﻗﻬﻘﻬﺔ*ﻗﻬﻘﻬﺔ*!"""
Gaap,""".........Still, your two opponents are pretty cute, Riiche. I'll bet this kid has figured out the meaning of the corpses with their heads half smashed. .........Do you get it, girl......?""","""......Still, your two opponents are pretty cute, Riiche."" ""It looks like this kid has figured out the meaning of the corpses with their heads half smashed. ......Know what that is, girl...?"" ",""".........Still, your two opponents are pretty cute, Riiche.It looks like this kid has figured out the meaning of the corpses with their heads half smashed.  .........Get iit, girl......?""",「………それにしても。リーチェの対戦相手のお二人はなかなか可愛いわ。この子なら、頭部半壊死体にどういう意味があるか、察しが付きそうね。………わかるぅ、お嬢ちゃん……？」,[=JP],""".........И всё‐таки какие у тебя симпатичные оппоненты, Риче. Судя по всему, девочка просекла, зачем разносить жертвам лишь половину лица. .........Ведь поняла, девочка?""",""".........Mesmo assim, seus oponentes são mesmo fofos, Riiche. Eu aposto que essa criança já descobriu o significado dos cadáveres com as cabeças parcialmente esmagadas. .........Não entendeu, garotinha......?""",「………话说回来。莉～切的两个对局敌手，都颇为可爱呢。这孩子的话，也许是能察觉到，头部半毁的尸体是有着什么意义的哦。………想明白了没，小妹妹……？」,「………話說回來。莉～切的兩個對局敵手，都頗為可愛呢。這孩子的話，也許是能察覺到，頭部半毀的屍體是有著什麼意義的哦。………想明白了沒，小妹妹……？」,"""... Comunque, i tuoi due avversari sono piuttosto carini, Riiche. Sembra che questa ragazza abbia capito il significato dei cadaveri con la loro testa mezza distrutta. ... Capiiito, ragazza...?""",[=UP],"""... De todas formas, tus oponentes son bastante lindos, Riiche. Parece que esta niña se ha dado cuenta del significado de que los cadáveres tengan la cabeza medio aplastada. ¿Verdaaaad, niña?...""",""".........ﻋﻠﻰ ﺃﻱٍ، ﺧﺼﻤﺎﻙِ ﻟﻄﻴﻔﺎﻥ ﺟﺪﺍً ﻳﺎ ﺭﻳﺘﺸﻲ. ﺃﺭﺍﻫﻦ ﺃﻥ ﻫﺬﻩ ﺍﻟﻄﻔﻠﺔ ﻗﺪ ﺍﻛﺘﺸﻔﺖ ﻣﻌﻨﻰ ﺍﻟﺠﺜﺚ ﺍﻟﺘﻲ ﺗﻬﺸﻤﺖ ﻧﺼﻒ ﺭﺅﻭﺳﻬﺎ. .........ﺃﻓﻬﻤﺘﻲ ﻳﺎ ﺻﻐﻴﺮﺓ......؟"""
Ushiromiya Battler,"""......Just now, she told me to remember the first game. ......What did that mean...?""","""...Just now, she told me to remember the first game. ...What did that mean...?"" ","""......Just now, she told me to remember the first game.  ......What did that mean...?""",「……さっきこいつは、一番最初のゲームを思い出せと言ったな。……どういう意味だ…？」,[=JP],"""......Совсем недавно она посоветовала мне припомнить первую игру. ......Что она имела в виду?""","""......Agora pouco, ela me disse para lembrar do primeiro jogo. ......O que ela quis dizer...?""",「……刚才那家伙说了，去回忆下最早的第一盘游戏。……这话是什么意思…？」,「……剛才那傢伙說了，去回憶下最早的第一盤遊戲。……這話是什麼意思…？」,"""... Proprio ora, mi ha detto di ricordare il primo gioco. ... Che cosa significa...?""",[=UP],"""... Hace un momento, me dijo que recordara el primer juego. ¿Qué significaba eso?...""","""......ﻟﻠــــﺘﻮ، ﻗﺎﻟﺖ ﻟﻲ ﺃﻥ ﺃﺗﺬﻛﺮ ﺍﻟﻠﻌﺒﺔ ﺍﻷﻭﻟﻰ. ......ﻣﺎ ﺍﻟﺬﻱ ﻛﺎﻧﺖ ﺗﻌﻨﻴﻪ ﺑﺬﻟﻚ...؟"""
