Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
Furudo Erika,"""As usual, she's stamping things, stamping things, sealing things, approving things, and {i:sometimes} even signing things.""","""As usual, she's stamping things, stamping things, sealing things, approving things, and sometimes even signing things. "" ","""As usual, she's stamping things, stamping things, sealing things, approving things, and sometimes even signing things."" ",「相変わらず、ハンコとハンコと決済印と認印と、たまーにサインの日々だそうで。 ,「相変わらず、ハンコとハンコと決済印と認印と、たまーにサインの日々だそうで」,"""Как обычно, она штампует, штампует, запечатывает, утверждает, а {i:иногда} даже подписывает.""","""O de sempre, carimbando coisas, carimbando coisas, selando coisas, aprovando coisas e, {i:à vezes}, até assinando coisas.""",[=UP],「還是老樣子，蓋章和蓋章和已決定印章和確認印章和，偶爾也會有簽字的日子。」,「还是老样子，盖章和盖章和已决定印章和确认印章和，偶尔也会有签字的日子。」,[=UP],[=UP],[=UP]
Furudo Erika,"""She humbly asks me to stir up a crime in her district, since she would get assigned to it personally.""","She humbly asks us to stir up a crime in her district, since she would get assigned to it personally."" ","She humbly asks us to stir up a crime in her district, since she would get assigned to it personally.""",自分がじきじきに出動するから、自分の管区でぜひ事件を起こしてほしいデスって書いてあります。」,「自分がじきじきに出動するから、自分の管区でぜひ事件を起こしてほしいデスって書いてあります」,"""Она смиренно просит нас переполошить преступность в её округе, так как её отправят лично.""","""Ela humildemente me pediu para provocar um crime na sua jurisdição, já que ela seria pessoalmente designada.""",[=UP],「還寫著自己會親自出動的，請務必在她的管區裡引發案件。」,「还写着自己会亲自出动的，请务必在她的管区里引发案件。」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""Well, why don't you? Crime sounds fun.""","""Well, why don't we? Crime sounds fun."" ","""Well, why don't we? Crime sounds fun.""",「起こしてやったら？　事件。」,「起こしてやったら？　事件」,"""Почему бы и нет? Преступление — это интересно.""","""Então, por que não vai? Crimes parecem divertidos.""",[=UP],「給她弄一起吧？案件。」,「给她弄一起吧？案件。」,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""They do say crimes occur wherever the detective goes.""","""They say crimes occur wherever the detective goes."" ","""They say crimes occur wherever the detective goes.""",「探偵が行くとこ事件ありって言うもんね。」,「探偵が行くとこ事件ありって言うもんね」,"""Говорят, что они случаются везде, куда приходит детектив.""","""Dizem que crimes acontecem quando há um detetive por perto.""",[=UP],「所謂偵探去的地方就會有案件嘛。」,「所谓侦探去的地方就会有案件嘛。」,[=UP],[=UP],[=UP]
Furudo Erika,"""Well, one of these days. If I feel like it, I might drop by to bully her. Oh, and there's also something here about the Chiester Sisters.""","""One of these days. If I feel like it, I might drop by to bully her. Oh, and there's also something here about the Chiester Sisters Corps."" ","""Well, one of these days. If I feel like it, I might drop by to bully her. Oh, and there's also something here about the Siesta Sisters.""",「まぁ、その内。気が向いたらイジメに行ってあげてもいいかもです。あぁ、あとシエスタ姉妹兵たちのことも書いてあります。」,「まぁ、その内。気が向いたらイジメに行ってあげてもいいかもです。あぁ、あとシエスタ姉妹兵たちのことも書いてあります」,"""Что ж, однажды. Если захочу, может, и загляну поиздеваться над ней. О, здесь ещё есть кое‐что о Сёстрах чиестах.""","""Bem, algum dia desses. Se eu sentir vontade, eu passo lá para provocá‐la. Ah, tem alguma coisa sobre as Irmãs Chiester também.""",[=UP],「嘛，到時候再說。有興趣的話就去欺負她好了。啊啊，還寫了謝絲塔姐妹兵們的事。」,「嘛，到时候再说。有兴趣的话就去欺负她好了。啊啊，还写了谢丝塔姐妹兵们的事。」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},""".........Wait. I don't want to hear it all at once. Let's hold off a bit for dramatic effect. .........Okay, that'll do it.""","""......Wait. I don't want to hear it all at once. You've gotta pause a bit for dramatic effect. ......Okay, that'll do it."" ",[=UP],「………待って。一度に聞きたくないわ。少しはもったいぶらなきゃ。……さぁ、出来た。」,「………待って。一度に聞きたくないわ。少しはもったいぶらなきゃ。……さぁ、出来た」,""".........Подожди. Я не хочу слушать всё сразу. Отложим ненадолго для драматического эффекта. .........Всё, готово.""",""".........Espera. Não quero ouvir em seguida. Vamos segurar para criar um efeito dramático. .........Certo, faremos isso.""",[=UP],「………等等。我不想一次聽完。得稍微擺點架子。……來，完成了。」,「………等等。我不想一次听完。得稍微摆点架子。……来，完成了。」,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""Ah, I finally grew my right arm back! Do the left one now, please!""","""Ah, I finally grew my right arm back! Do the left one now, please!"" ",[=UP],「あぁ、やっと右腕が生えたわ！　次っ、左腕をお願いね！」,[=JP],"""А‐а, наконец‐то моя правая рука вернулась! А теперь левую, пожалуйста!""","""Ah, meu braço esquerdo finalmente cresceu de novo! Falta o esquerdo agora, por favor!""",[=UP],「啊啊，終於右手復活了！下一個，左手拜託你了！」,「啊啊，终于右手复活了！下一个，左手拜托你了！」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""Let's have some tea first. ......Erika, bring in a can of black tea and the pot of dried plums.""","""Let's have some tea first. ...Erika, bring in a can of black tea and the pot of dried plums."" ",[=UP],「その前にお茶にしましょ。……ヱリカ、紅茶の缶と、梅干の壷を用意してちょうだい。」,「その前にお茶にしましょ。……ヱリカ、紅茶の缶と、梅干の壷を用意してちょうだい」,"""Давай сначала выпьем чай. ......Эрика, принеси банку чёрного чая и горшочек с черносливом.""","""Vamos tomar um chá antes. ......Erika, traga a lata de chá e o pote de umeboshi.""",[=UP],「在那之前先喝茶吧。……繪梨花，去準備紅茶罐子和梅乾的壺。」,「在那之前先喝茶吧。……绘梨花，去准备红茶罐子和梅干的壶。」,[=UP],[=UP],[=UP]
Furudo Erika,"""Yes, my master!""","""Yes, my master!"" ",[=UP],「はいっ、我が主！」,[=JP],"""Да, госпожа!""","""Sim, minha mentora!""",[=UP],「是，我主！」,[=CHT],[=UP],[=UP],[=UP]
,"With this particular journey over and done with, the Voyager witches rested their wings.","With this particular journey over and done with, the Voyager witches rested their wings. ",[=UP],航海者の魔女たちは、一つの旅を終えて、その翼を休める。,[=JP],"Закончив данное путешествие, Странствующие ведьмы опустили крылья.","Com esta jornada especial chegando ao fim, as bruxas Viajantes descansam suas asas.",[=UP],航海者的魔女們，結束了一趟旅程，在讓她們的翅膀歇息。,航海者的魔女们，结束了一趟旅程，在让她们的翅膀歇息。,[=UP],[=UP],[=UP]
,...It was all so that they could leave on a new journey in search of the next fragment.,...It was all so that they could leave on a new journey in search of the next Fragment. ,...It was all so that they could leave on a new journey in search of the next Fragment.,また次なるカケラを探しに、新しい旅に出るために。,[=JP],"...Всё ради того, чтобы начать новое путешествие в поисках следующего фрагмента.",...É tudo para que possam partir em uma nova jornada em busca do próximo Fragmento.,[=UP],為了尋找下一個碎片，開始新的旅程。,为了寻找下一个碎片，开始新的旅程。,[=UP],[=UP],[=UP]
,"A short break between trips, backdropped by the pleasant scent of black tea......","A short break between trips, backdropped by the pleasant scent of black tea... "," A short break between trips, backdropped by the pleasant scent of black tea......",今だけは紅茶の香りを楽しみながら、ひと時の休憩……。,[=JP],Короткий перерыв между поездками с приятным ароматом чёрного чая на заднем плане......,"Um curto intervalo entre as viagens, aproveitando o aroma do chá preto......",[=UP],現在就先享受著紅茶的香味，稍事休息……。,现在就先享受着红茶的香味，稍事休息……。,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""Where are you going this time?""","""Where are you going this time?"" ",[=UP],「今度はどこへ行く？」,[=JP],"""Куда отправишься на этот раз?""","""Para onde vai dessa vez?""",[=UP],「下次去哪裡？」,「下次去哪里？」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""......If you go north, I'm heading south.""","""...If you go north, I'm heading south."" ",[=UP],「……あんたが北へ行くなら私は南へ。」,「……あんたが北へ行くなら私は南へ」,"""......Если ты на север, я на юг.""","""......Se vai para o norte, eu seguirei para o sul.""",[=UP],「……你往北走的話我就往南。」,「……你往北走的话我就往南。」,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""Then if you go east, I'm heading west.""","""Then if you go east, I'm heading west."" ",[=UP],「じゃあ、ベルンが東へ行くなら、私は西へ行くわ。」,「じゃあ、ベルンが東へ行くなら、私は西へ行くわ」,"""Тогда, если ты на восток, я на запад.""","""Então se for para leste, eu vou para oeste.""",[=UP],「那，貝倫去東邊的話，我就去西邊。」,「那，贝伦去东边的话，我就去西边。」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""......I hope we can find another charming tale like this one.""","""...I hope we can find another charming tale like this one."" ",[=UP],「……また、こんな愉快な物語を見つけられるといいわね。」,「……また、こんな愉快な物語を見つけられるといいわね」,"""......Надеюсь, мы найдём ещё одну очаровательную историю, похожую на эту.""","""......Espero que possamos encontrar outro conto tão charmoso quanto esse.""",[=UP],「……要是，還能找到這樣愉快的故事就好了。」,「……要是，还能找到这样愉快的故事就好了。」,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""Next time, I hope you aren't playing the villain, Bern.""","""Next time, I hope you aren't playing the villain again, Bern."" ","""Next time, I hope you aren't playing the villain again, Bern.""",「今度は、ベルンが憎まれ役じゃないといいわねー。」,「今度は、ベルンが憎まれ役じゃないといいわねー」,"""В следующий раз, я надеюсь, ты не станешь снова играть злодейку, Берн.""","""Na próxima, espero que não faça o papel de vilã, Bern.""",[=UP],「下次，貝倫要不是被憎恨的那邊就好了呢——」,「下次，贝伦要不是被憎恨的那边就好了呢——」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""You think so? Being the bad guy was pretty fun.""","""You do? Being the bad guy was pretty fun."" ",[=UP],「あら。悪役も楽しかったわよ。」,「あら。悪役も楽しかったわよ」,"""Считаешь? Быть злодейкой было забавно.""","""É mesmo? Ser do mal é bem divertido.""",[=UP],「啊啦。演壞人也很有趣哦。」,「啊啦。演坏人也很有趣哦。」,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""......I wonder...what kind of tale we'll find next.""","""...I wonder...what kind of tale we'll find next."" ",[=UP],「……次は、どんな物語を見つけられるかしらね。」,「……次は、どんな物語を見つけられるかしらね」,"""......Интересно, какую историю мы найдём следующей.""","""......Eu me pergunto...que tipo de conto encontraremos a seguir.""",[=UP],「……下次，會找到什麼樣的故事呢。」,「……下次，会找到什么样的故事呢。」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""And what kind of tale we'll next meet in.""","""And what kind of tale we'll next meet in."" ",[=UP],「そして、どんな物語で再会できるのかしら。」,「そして、どんな物語で再会できるのかしら」,"""И в какой истории мы встретимся в следующий раз.""","""E que tipo de conto encontraremos depois.""",[=UP],「然後，會在怎樣的故事中再會呢。」,「然后，会在怎样的故事中再会呢。」,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""The sea of fragments is tiny to a pair who love each other.""","""To a pair of lovers, the sea of Fragments is tiny."" ","""To a pair of lovers, the sea of Fragments is tiny.""",「愛し合う二人に、カケラの海は狭いわ。」,「愛し合う二人に、カケラの海は狭いわ」,"""Влюблённым и море фрагментов по колено.""","""O mar de Fragmentos é pequeno para um par que se ama.""",[=UP],「對相愛的兩人來說，碎片之海是很狹窄的。」,「对相爱的两人来说，碎片之海是很狭窄的。」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""Children of Paradise.""","""Children of Paradise."" ",[=UP],「天井桟敷。」,「天井桟敷」,"""Дети райка.""","""{ruby:O Boulevard do Crime:Les Enfants du Paradis}.""",[=UP],「《天堂之子》。」,[=CHT],[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""The sea of fragments is pretty huge.""","""The sea of Fragments is pretty huge."" ","""The sea of Fragments is pretty huge.""",「カケラの海は広大だわ。」,「カケラの海は広大だわ」,"""Морю фрагментов нет конца.""","""O mar de Fragmentos é bem grande.""",[=UP],「碎片之海可廣大了。」,「碎片之海可广大了。」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""Ghost in the Shell.""","""Ghost in the Shell."" ",[=UP],「殻の中の幽霊。」,「殻の中の幽霊」,"""Призрак в доспехах.""","""O Fantasma Da Máquina.""",[=UP],「《殻中幽靈》。」,「《壳中幽灵》。」,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""We'll meet again. When something else cries.""","""We'll meet again. When something else cries."" ",[=UP],「いつか会えるわよ。また何かのなく頃に。」,「いつか会えるわよ。また何かのなく頃に」,"""Мы снова встретимся. Когда заплачет что‐нибудь ещё.""","""Nos veremos em breve. Quando algo mais chorar.""",[=UP],「總能再會的。還在什麼的鳴泣之時裡。」,「总能再会的。还在什么的鸣泣之时里。」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},""".........Sounds good. Let's do that.""","""......Sounds good. Let's do that."" ",[=UP],「………いいじゃない。それにしましょ。」,「………いいじゃない。それにしましょ」,""".........Хорошо звучит. Давай скажем.""",""".........Parece bom. Faremos assim.""",[=UP],「………挺好嘛。就這樣吧。」,「………挺好嘛。就这样吧。」,[=UP],[=UP],[=UP]
,"{a:c:""""We will meet again. When something else cries.""""}","{a:c: """"We will meet again. When something else cries."""" } ","{a:c: """"We will meet again. When something else cries.""""} ",{a:c:「「いつか会えるわ。また何かのなく頃に。」」},{a:c:「「いつか会えるわ。また何かのなく頃に」」},"{a:c:""""Мы снова встретимся. Когда заплачет что‐нибудь ещё.""""}","{a:c:""""Vamos nos reencontrar... quando algo mais chorar.""""}",[=UP],{a:c:「「總能再會的。還在什麼的鳴泣之時裡。」」},{a:c:「「总能再会的。还在什么的鸣泣之时里。」」},[=UP],[=UP],[=UP]
,{a:c: Ahhahahahahahahahahaha......},{a:c: Ahhahahahahahahahahaha...... } ,{a:c: Ahhahahahahahahahahaha......} ,{a:c:あっははははははははははは……。},[=JP],{a:c: Аха‐ха‐ха‐ха‐ха‐ха‐ха......},[=UP],[=UP],{a:c:啊哈哈哈哈哈哈哈哈哈哈哈哈……。},[=CHT],[=UP],[=UP],[=UP]
,{a:c: The happy voices of the witches faded into the distance.},{a:c: The happy voices of the witches faded into the distance. } ,{a:c: The happy voices of the witches faded into the distance.} ,{a:c:魔女たちの楽しそうな声が遠退いていく。。},[=JP],{a:c: Счастливые голоса ведьм исчезли вдали.},{a:c: As alegres vozes das bruxas desapareceram à distância.},[=UP],{a:c:魔女們快樂的聲音逐漸遠去。},{a:c:魔女们快乐的声音逐渐远去。},[=UP],[=UP],[=UP]
,"{a:c: So long, everyone.{n} See you again, when something else cries.}","{a:c: So long, everyone. {n}See you again, when something else cries. } ","{a:c: So long, everyone.{n} See you again, when something else cries.} ",{a:c:さよなら、みんな。{n}また何かの、なく頃に。},[=JP],"{a:c: До встречи.{n} Увидимся снова, когда заплачет что‐нибудь ещё.}","{a:c: Vamos nos reencontrar, pessoal.{n} Quando algo mais chorar.}",[=UP],{a:c:再見了，各位。{n}還在什麼的，鳴泣之時裡。},{a:c:再见了，各位。{n}还在什么的，鸣泣之时里。},[=UP],[=UP],[=UP]
