Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT)
{f:5:Bernkastel},"""What about the endless possibilities of manipulating the chain lock from the outside? We don't know if there are secret doors, ways to kill from a distance, chances of suicide, or even whether these are complete closed rooms in the first place."" ","""What about the endless possibilities of manipulating the chain lock from the outside? We don't know if there are secret doors, ways to kill from a distance, chances of suicide, or even whether these are complete locked rooms in the first place.""","""What about the endless possibilities of manipulating the chain lock from the outside? We don't know if there are secret doors, ways to kill from a distance, chances of suicide, or even whether these are complete closed rooms in the first place.""",「チェーンロックを外側から細工する無限の可能性は？　隠し扉の有無、遠隔殺人の有無、あるいは自殺の可能性だって。そもそも密室が成立しているのかさえ、わからないというのに。」,「チェーンロックを外側から細工する無限の可能性は？　隠し扉の有無、遠隔殺人の有無、あるいは自殺の可能性だって。そもそも密室が成立しているのかさえ、わからないというのに」,"""Что насчёт бесконечных возможностей управлять цепным замком извне? Мы же не знаем, в первую очередь, есть ли скрытые двери, способы убить на расстоянии, вероятность самоубийств, или даже действительно ли это совершенные закрытые комнаты.""","""E quanto às infinitas possibilidades de manipulação de uma corrente pelo lado de fora? Nós não sabemos se existem portas secretas, formas de matar à distância, chances de suicídio ou até mesmo se são realmente quartos fechados completos.""",「那，從外側對鏈條鎖做手腳的無限的可能性呢？有沒有暗門，有沒有遠距離殺人，還有自殺的可能性也是有的哦。說到底，連密室是否成立都不知道。」,「那，从外侧对链条锁做手脚的无限的可能性呢？有没有暗门，有没有远距离杀人，还有自杀的可能性也是有的哦。说到底，连密室是否成立都不知道。」,"""Che mi dici delle infinite possibilità di manipolare la serratura della catena dall'esterno? Non sappiamo se ci sono porte segrete, modi per uccidere a distanza, possibilità di suicidio, o persino se sono, in primo luogo, camere chiuse complete.""",[=UP]
{f:5:Lambdadelta},"""...I already know, since I'm looking at Battler's game board from the underside, but these are perfect closed rooms. They can only be constructed from the inside, and there exists no method by which to construct, deconstruct, or interfere with them from the outside."" ","""......I have a behind‐the‐scenes view of Battler's game board, so I can tell you this: these are perfect locked rooms. They can only be constructed from the inside, and there's no way to construct, deconstruct, or interfere with them from the outside.""","""......I already know, since I'm looking at Battler's game board from the underside, but these are perfect closed rooms. They can only be constructed from the inside, and there exists no method by which to construct, deconstruct, or interfere with them from the outside.""",「……私は戦人のゲーム盤、裏から見てるから知ってるけど。これは完璧な密室よ。密室は内部からのみ構築され、外部からは構築も解除も干渉も一切できない。」,「……私は戦人のゲーム盤、裏から見てるから知ってるけど。これは完璧な密室よ。密室は内部からのみ構築され、外部からは構築も解除も干渉も一切できない」,"""......Я смотрю на игровую доску Баттлера с обратной стороны и уже знаю, но эти закрытые комнаты идеальны. Их можно создать только изнутри, и нет способа образовать их, открыть или вмешаться в них извне.""","""......Eu tenho a visão dos bastidores do tabuleiro do Battler, por isso posso dizer uma coisinha: são quartos fechados perfeitos. Eles só podem ser construídos por dentro, e não há como construir, desconstruir ou interferir neles pelo lado de fora.""",「……我因為是從裏側看戰人的棋盤，所以知道哦。這是完美的密室喲。密室只靠從內側的方法所構築，從外側一概無法進行構築、解除、干涉。」,「……我因为是从里侧看战人的棋盘，所以知道哦。这是完美的密室哟。密室只靠从内侧的方法所构筑，从外侧一概无法进行构筑、解除、干涉。」,"""... Lo so già, perché sto guardando il piano di gioco di Battler dalla parte inferiore, ma queste sono stanze chiuse perfette. Possono essere costruite solo dall'interno, e non esiste alcun metodo con cui costruirle, distruggerle, o interferire con esse dall'esterno.""",[=UP]
{f:5:Bernkastel},"""Can you say that in red?"" ","""Can you say that in red?""",[=UP],「それ、赤で言える？」,[=JP],"""Можешь сказать красным?""","""Pode dizer isso em vermelho?""",「這個，能用紅字講嗎？」,「这个，能用红字讲吗？」,"""Puoi dirlo in rosso?""",[=UP]
{f:5:Lambdadelta},"""That'd be a little too rude to Battler, so no. If you do love me, you must see my words as red truth already, right...?"" ","""That'd be a little too rude to Battler, so no. If you do love me, you must see my words as red truth, right...?""",[=UP],「さすがにそれは戦人に悪いから遠慮するわー。ベルンが私を愛してるんだったら、私の発言も赤き真実で見えるはずよ…？」,[=JP],"""Это будет чуточку грубо по отношению к Баттлеру, так что нет. Если ты меня любишь, нужно смотреть на мои слова как на красную правду, верно?..""","""Isso seria um pouco rude com o Battler, logo não posso. Se você me ama, deveria ver minhas palavras como verdades vermelhas, certo...?""",「這個就實在太對不起戰人了，所以不講～。貝倫你若愛著我，那你應該能把我的發言也看成為紅色真實喲…？」,「这个就实在太对不起战人了，所以不讲～。贝伦你若爱着我，那你应该能把我的发言也看成为红色真实哟…？」,"""Sarebbe un po' sgarbato nei confronti di Battler, quindi no. Se mi ami sul serio, devi vedere le mie parole come delle verità rosse, giusto...?""",[=UP]
{f:5:Bernkastel},"""......Then the closed rooms are perfect. In other words, this is an illusion of a crime."" ",""".........Then the locked rooms are perfect. In other words, this is an illusion of a crime.""",""".........Then the closed rooms are perfect. In other words, this is an illusion of a crime.""",「………なら、密室は完璧。つまりこれは、事件錯覚ってことになるわ。」,「………なら、密室は完璧。つまりこれは、事件錯覚ってことになるわ」,""".........Тогда закрытые комнаты совершенны. В общем, это иллюзия преступления.""",""".........Então os quartos fechados são perfeitos. Ou seja, esta é a ilusão de um crime.""",「………那麼，密室就是完美的呢。這也就是說，此乃屬於事件錯覺。」,「………那么，密室就是完美的呢。这也就是说，此乃属于事件错觉。」,"""... Allora, le stanze chiuse sono perfette. In altre parole, questa è l'illusione di un crimine.""",[=UP]
{f:5:Lambdadelta},"""It does seem that way. If so, these are all trick closed rooms. ...Doesn't this mean that everyone got so pissed at Erika bragging about detectives and stuff that they joined together and set up a fake murder to make fun of her? Oh, is that the right answer? I'm, like, a super detective~"" ","""It does seem that way. If so, these locked rooms are all a ruse. ......I guess the whole Ushiromiya family got so fed up with Erika prattling on about being a detective and not knowing when to shut up......that they all joined together and set up a fake murder to make fun of her, or something? Wait, is that the right answer? I'm, like, a {i:super} great detective{p:0:☆}""","""It does seem that way. If so, these are all trick closed rooms. ......Doesn't this mean that everyone got so pissed at Erika bragging about detectives and stuff that they joined together and set up a fake murder to make fun of her? Oh, is that the right answer? I'm, like, a super detective☆""",「そうなるわね。だとしたらこれは全部、狂言密室だわ。……大方、ヱリカがあまりに空気読めずに探偵探偵と騒ぐものだから、右代宮家みんなで結託して、狂言殺人を披露してからかってみたってことじゃない？　あら、これ正解？　私ってば超ォ名探偵ぇ☆」,[=JP],"""Похоже на то. Выходит, все эти закрытые комнаты — фарс. ......Всех так достало хвастовство Эрики насчёт детективов и прочего, что они сговорились и создали фальшивые убийства, чтобы посмеяться над ней? О, я права? Да я прямо {i:супер} детектив{p:0:☆} ""","""Funciona da mesma forma. Se for, então os quartos fechados não passam de uma encenação. ......Eu acho que toda a família Ushiromiya ficou de saco cheio de tanto ouvir a Erika tagarelar sobre ser uma detetive e não saber quando calar a boca......que eles resolveram se juntar e armar mortes falsas para debochar dela ou algo parecido? Espera, essa é a resposta correta? Eu sou, tipo, uma {i:superdetetive}{p:0:☆}""",「是會成這樣呢。那麼，這就全部都是假密室。……會不會大概是因為，繪梨花過於不懂配合場合氣氛“偵探偵探”地瞎吵吵，所以右代宮家全體團結一致，演了一場假殺人地逗她玩？啊呀，這是答對了？我真是個超～名偵探☆」,「是会成这样呢。那么，这就全部都是假密室。……会不会大概是因为，绘梨花过于不懂配合场合气氛“侦探侦探”地瞎吵吵，所以右代宫家全体团结一致，演了一场假杀人地逗她玩？啊呀，这是答对了？我真是个超～名侦探☆」,"""Sembra proprio così. In questo caso, queste sono tutte camere chiuse con inganno. ... Non significherà mica che tutti si sono incazzati talmente tanto con Erika perché si vantava di essere un detective e cose così che si sono coalizzati e hanno preparato degli omicidi falsi per prenderla in giro? Oh, è la risposta giusta? Cioè, sono un super detective{p:0:☆}""",[=UP]
{f:5:Bernkastel},"""Unfortunately, ...this isn't a fake. The victims really have been killed."" ","""Unfortunately, ......this isn't a ruse. The victims have been thoroughly killed.""","""Unfortunately, ......this isn't a fake. The victims really have been killed.""",「それが困ったことに、……これは狂言じゃないのよ。犠牲者はきっちり殺されてるわ。」,「それが困ったことに、……これは狂言じゃないのよ。犠牲者はきっちり殺されてるわ」,"""К сожалению...... это не фарс. Жертвы действительно были убиты.""","""Infelizmente, ......não é encenação. As vítimas foram realmente mortas.""",「可惜頭疼的是，……這並非是場騙局喲。犧牲者是好好地被殺了哦。」,「可惜头疼的是，……这并非是场骗局哟。牺牲者是好好地被杀了哦。」,"""Sfortunatamente... non è un falso. Le vittime sono state davvero uccise.""",[=UP]
{f:5:Lambdadelta},"""Huh?! And you don't mean by 24:00 on the second day, right?"" ","""Huh?! And you're not talking about ""at midnight on the second day""?""","""Huh?! You don't mean by 24:00 on the second day, right?""",「えー？！　２日目の２４時の時点で、とかじゃなくて？」,[=JP],"""Э?! В смысле, к полуночи второго дня?""","""Hã?! E você não se refere a ""meia‐noite do segundo dia""?""",「哎——？！不是說，在第 2 天 24 點什麼的？」,「哎——？！不是说，在第 2 天 24 点什么的？」,"""Eeh?! Non vorrai dire alle 24:00 del secondo giorno, giusto?""",[=UP]
{f:5:Bernkastel},"""No detective proclamation has been made, but she's very accurate when examining corpses. She's good enough that I could give her examinations the red truth."" ","""No detective proclamation has been made, but she is very accurate when examining corpses. I could almost even give her examinations the red truth.""",[=UP],「探偵宣言を出してこそいないけど、彼女の検死は極めて正確よ。私が赤き真実を与えられるくらいにね。」,「探偵宣言を出してこそいないけど、彼女の検死は極めて正確よ。私が赤き真実を与えられるくらいにね」,"""Провозглашение детективом не введено, но при осмотре трупов она очень точна. Я почти что могу дать её проверкам красную правду.""","""Nenhuma proclamação do detetive foi feita, mas ela foi muito precisa ao examinar os cadáveres. Eu quase posso sublimar a investigação dela com a verdade vermelha.""",「雖並沒拿出偵探宣言，但她的驗屍極其正確。正確到，我能給予紅色真實哦。」,「虽并没拿出侦探宣言，但她的验尸极其正确。正确到，我能给予红色真实哦。」,"""Non è stata fatta nessuna proclamazione del detective, ma lei è molto precisa nell'esaminare i cadaveri. Potrei persino dare la verità rossa alle sue verifiche.""",[=UP]
{f:5:Lambdadelta},"""So? Does that mean that they were definitely dead when Erika examined their corpses?"" ","""So what does that mean? That they were definitely dead when Erika examined their corpses?""","""So? Does that mean that they were definitely dead when Erika examined their corpses?""",「それで？　ヱリカの検死時に間違いなく死亡してたってことになるの？」,[=JP],"""И? Значит, они точно были мертвы, когда Эрика осматривала их трупы?""","""O que isso quer dizer? Que eles estavam definitivamente mortos quando a Erika examinou seus cadáveres?""",「所以呢？在繪梨花驗屍時，他們毫無疑問是死了嗎？」,「所以呢？在绘梨花验尸时，他们毫无疑问是死了吗？」,"""E allora? Significa che quando Erika ha esaminato i loro corpi, erano morti sul serio?""",[=UP]
{f:5:Bernkastel},"""Yes, that's right. Totally."" ","""Yes, that's right. Well and truly.""","""Yes, that's right. Totally.""",「えぇ、そうよ。それはもう、がっつりと。」,「えぇ、そうよ。それはもう、がっつりと」,"""Да, именно. Абсолютно точно.""","""Sim, isso mesmo. Completamente.""",「嗯，是喲。都已是，死得不能再死了。」,「嗯，是哟。都已是，死得不能再死了。」,"""Già, è così. Assolutamente.""",[=UP]
{f:5:Lambdadelta},"""But you won't say it in red for her, riiight? *giggle* And that poor Erika must want it so bad."" ","""But you won't say it in red for her, riiight? *giggle*, and that poor Erika must want it so baaad.""","""But you won't say it in red for her, ri-ght? *giggle*, and that poor Erika must want it so ba-d.""",「でも、赤き真実では言ってあげないのねー。くすくす、ヱリカはその赤が、喉から手が出るほど欲しいだろうにー。」,「でも、赤き真実では言ってあげないのねー。くすくす、ヱリカはその赤が、喉から手が出るほど欲しいだろうにー」,"""Но ты же не скажешь это красным, да‐а?*хи‐хи*, а эта бедная Эрика наверняка та‐ак хочет.""","""Mas você não disse isso em vermelho pra ela, disseeee? *risos*, e a coitadinha da Erika deve estar querendo muuuito isso.""",「但是呢，你是不會用紅色真實講給她聽的吧～。呵呵，明明繪梨花對這句紅字，都渴望到要從喉嚨口伸出手來了～。」,「但是呢，你是不会用红色真实讲给她听的吧～。呵呵，明明绘梨花对这句红字，都渴望到要从喉咙口伸出手来了～。」,"""Ma non lo dirai in rosso per lei, gius-to? *giggle*, e quella povera Erika deve volerlo così tan-to.""",[=UP]
{f:5:Bernkastel},"""Well, she isn't even the detective this time around. I won't give her any red. *giggle*giggle*."" ","""Well, she isn't even a detective this time around. I won't give her any red. *giggle*giggle*.""","""Well, she isn't the detective this time around. I won't give her any red. *giggle*giggle*.""",「だって今回のあいつ、探偵でさえないもの。赤き真実なんてあげないわ。くすくすくすくす。」,「だって今回のあいつ、探偵でさえないもの。赤き真実なんてあげないわ。くすくすくすくす」,"""В этот раз она не детектив. Я не дам ей никакого красного. *хи‐хи*хи‐хи*.""","""Bem, ela sequer é uma detetive dessa vez. Não vou dar nenhum vermelho para ela. *risos*risos*.""",「畢竟，這次那傢伙是連偵探都不是哦。才不會給她什麼紅色真實呢。呵呵呵呵。」,「毕竟，这次那家伙是连侦探都不是哦。才不会给她什么红色真实呢。呵呵呵呵。」,"""Beh, stavolta non è il detective. Non le donerò alcun rosso. *giggle*giggle*.""",[=UP]
{f:5:Lambdadelta},"""Still, ...that makes it incredible. This time, ...Battler's really made a perfect closed room!"" ","""But then, .......if that's all true, that's amazing! This time, ......Battler's really made a perfect locked‐room murder!""","""However, ......that makes it incredible. This time, ......Battler's really made a perfect closed room!""",「しかし、……となるとスゴイじゃない。戦人の今回のこれ、……完璧な密室殺人だわ！」,[=JP],"""Но всё‐таки...... невероятно. В этот раз...... Баттлер и впрямь создал совершенную закрытую комнату!""","""Mas então, .......se é tudo verdade, é mesmo incrível! Dessa vez, ......o Battler realmente fez um perfeito assassinato de quarto fechado!""",「不過，……如此說來，這不就不得了了嘛。戰人本次的這個，……是完美的密室殺人啊！」,「不过，……如此说来，这不就不得了了嘛。战人本次的这个，……是完美的密室杀人啊！」,"""Tuttavia... ciò lo rende incredibile. Questa volta... Battler ha davvero creato una perfetta camera chiusa!""",[=UP]
{f:5:Bernkastel},"""...Oh, yes, I believe you're right."" ","""......Oh, perhaps he has.""","""......Oh, is that so?""",「……あら。そうなるわ？」,[=JP],"""......О, в самом деле?""","""......Ora, é mesmo?""",「……啊呀。會成這樣？」,「……啊呀。会成这样？」,"""... Oh, è così?""",[=UP]
{f:5:Lambdadelta},"""Will Erika be okay? It looks like an ordinary closed room murder at a glance, ......but this one is pretty nasty. Won't this load be a bit too heavy for Erika without her detective's authority...?"" ","""Will Erika be alright? It looks like an ordinary locked‐room murder at a glance, ......but this one is secretly pretty nasty. Won't this be a bit too much for Erika without her detective's authority...?""","""Will Erika be alright? It looks like an ordinary closed room murder at a glance, ......but this one is pretty nasty. Won't this load be a bit too heavy for Erika without her detective's authority...?""",「ヱリカ、大丈夫ゥ？　一見、フツーの密室殺人だけど。……地味にかなりヤバイ密室だわ、これ。探偵権限さえないヱリカにはちょっと、荷が重いんじゃない…？」,[=JP],"""Эрика справится? На первый взгляд это напоминает обычные убийства в закрытой комнате...... но они очень мерзкие. Не будет ли этот груз слишком тяжёл для Эрики без её полномочия детектива?..""","""Será que a Erika vai ficar bem? De relance, parece um assassinato de quarto fechado mundano, ......mas esse em especial é bem desagradável. Será que não vai ser um pouco demais para Erika, sem a autoridade de detetive dela...?""",「繪梨花，能行嗎？儘管，乍一看是普通的密室殺人。……但這可是個，不起眼的相當不妙的密室哦。對連偵探權限都沒有的繪梨花來說，擔子會不會稍有點太重了…？」,「绘梨花，能行吗？尽管，乍一看是普通的密室杀人。……但这可是个，不起眼的相当不妙的密室哦。对连侦探权限都没有的绘梨花来说，担子会不会稍有点太重了…？」,"""Andrà tutto bene per Erika? A prima vista sembra un normale omicidio a stanza chiusa... ma questo è davvero tosto. Questo carico non sarà troppo pesante per Erika, senza la sua autorità di detective...?""",[=UP]
{f:5:Bernkastel},"""She is a self-proclaimed detective. I'm sure she'll pull through. ......If Battler and Beato are defeated by a mere Human who isn't even a detective, they'd fall apart in the most exquisite way, don't you think?"" ","""She is a self‐proclaimed ""great detective"". I'm sure she'll pull through. .........If Battler and Beato are defeated by a mere {y:0:Human}{n:0:human} who isn't even a detective, they'll fall apart in the most exquisite way, don't you think?""","""She is a self-proclaimed detective. I'm sure she'll pull through. .........If Battler and Beato are defeated by a mere human who isn't even a detective, they'd fall apart in the most exquisite way, don't you think?""",「自称名探偵だもの。きっとヱリカはやってくれるわ。………探偵ですらない、ニンゲン風情に打ち破られたら、戦人もベアトも、最っ高にザマぁないくらいに粉々でしょう？」,[=JP],"""Она самопровозглашённый детектив. Как‐нибудь прорвётся. .........Если Баттлера и Беато одолеет обычный {y:0:Челове}{n:0:челове}к, который даже не детектив, они падут самым изысканным образом, не считаешь?""","""Ela se autoproclama uma ""grande detetive"". Tenho certeza que vai dar um jeito. .........Se o Battler e a Beato forem derrotados por uma mera {y:0:Humana}{n:0:humana} que sequer é um detetive, eles iriam desabar da forma mais vergonhosa possível, não concorda?""",「畢竟是，自稱名偵探啊。繪梨花，一定能搞定的。………如果被連偵探都不是的小小人類所擊敗，戰人也好貝阿朵也罷，均是會出醜出到極點地一敗塗地吧？」,「毕竟是，自称名侦探啊。绘梨花，一定能搞定的。………如果被连侦探都不是的小小人类所击败，战人也好贝阿朵也罢，均是会出丑出到极点地一败涂地吧？」,"""Si autodefinisce un detective. Sono sicura che uscirà da questa difficoltà. {n}Se Battler e Beato vengono sconfitti da una mera umana che non è nemmeno un detective, crollerebbero nel modo più squisito, non trovi?""",[=UP]
{f:5:Lambdadelta},"""...And even if Erika loses, you get to play by throwing her into the worst Fragment and knocking her into the depths of oblivion?"" ","""......And even if Erika loses, we get to play by throwing her into the worst fragment and casting her into the depths of oblivion, right?""","""......And even if Erika loses, you get to play by throwing her into the worst Fragment and knocking her into the depths of oblivion?""",「……それに、万一、ヱリカが負けても、最悪のカケラにブチ込んで忘却の深遠に叩き込んで遊ぶから、それはそれで面白そうだし？」,[=JP],"""......А даже если Эрика проиграет, ты сможешь играть, бросая её в худший фрагмент и пинком отправляя в глубины забвения?""","""......E mesmo que a Erika perca, nós ainda vamos nos divertir com ela nos piores Fragmento possíveis e largá‐la nas profundezas do esquecimento, né?""",「……再者，哪怕萬一，繪梨花輸了，也是能把她打入最糟的碎片扔進忘卻深淵地玩，那樣也有那樣的樂趣吧？」,「……再者，哪怕万一，绘梨花输了，也是能把她打入最糟的碎片扔进忘却深渊地玩，那样也有那样的乐趣吧？」,"""... E anche se sarà Erika a perdere, tu giocherai con lei gettandola nel Frammento peggiore e rinchiudendola nelle profondità dell'oblio?""",[=UP]
{f:5:Bernkastel},"""Exactly. No matter how it turns out, it won't be boring."" ","""Exactly. No matter how the chips fall, it won't be boring for us.""","""Exactly. No matter how we fall, it won't be boring.""",「そういうこと。私たちはどっちに転んでも、退屈しないわ。」,「そういうこと。私たちはどっちに転んでも、退屈しないわ」,"""Именно. Как бы мы ни проиграли, скучно не будет.""","""Exatamente. Não importa como as fichas caiam, não será chato para nós.""",「就是這麼回事。我們不管哪個結果，都是不會感到無聊。」,「就是这么回事。我们不管哪个结果，都是不会感到无聊。」,"""Esattamente. In qualunque modo cadremo, non sarà noioso.""",[=UP]
{f:5:Lambdadelta},"""You really are heartless, aren't you? ...Well, wringing out this black cat like a towel and licking up every last drop is bliss to me!"" ","""You really don't have one tear to shed or a drop of blood in your veins, do you? ...Still, wringing that black cat out like a towel and licking up the single drop that comes out is what brings me joy!""","""You really are heartless, aren't you? ...Well, wringing out this black cat like a towel and licking up every last drop is my only bliss!""",「あんたってば、……ホントーに血も涙もないわね。…ま、そんな黒猫を雑巾のように絞って、一滴だけ滴る雫を舐める時が、私の至福なわけだけど！」,[=JP],"""Ты такая бессердечная. ...Впрочем, выжимать эту чёрную кошку, как полотенце, и вылизывать до последней капли — моё единственное блаженство!""","""Você realmente não tem uma lágrima para derramar ou uma única gota de sangue em suas veias, tem? ...Mesmo assim, torcer aquele gato preto igual uma toalha e lamber a única gota que sai dele é o que me traz a alegria!""",「你這人呀，……真是沒血沒淚呢。…不過，在將這種黑貓如擰抹布般，擰出、舔食那只此一滴的汁水之時，即是我至高無上的幸福！」,「你这人呀，……真是没血没泪呢。…不过，在将这种黑猫如拧抹布般，拧出、舔食那只此一滴的汁水之时，即是我至高无上的幸福！」,"""Sei davvero senza cuore, non è così? ... Beh, la mia unica beatitudine sta nello strizzare questo gatto nero come un asciugamano e leccarne ogni ultima goccia!""",[=UP]
{f:5:Bernkastel},"""Beato's game board did entertain me for quite some time, ...but we've already wrung everything we can from it."" ","""Beato's game board did entertain me for quite some time, ......but we've already wrung everything we can from it.""",[=UP],「ベアトのゲーム盤でも、さんざん遊ばせてもらってるけど。……もう何も出て来やしないくらいに絞り尽くしたわ。」,「ベアトのゲーム盤でも、さんざん遊ばせてもらってるけど。……もう何も出て来やしないくらいに絞り尽くしたわ」,"""Игровая доска Беато некоторое время развлекала меня...... но мы уже выжали из неё всё возможное.""","""O tabuleiro da Beato realmente me entreteve por um bom tempo, ......mas eu já espremi tudo que podia dele.""",「雖然貝阿朵的棋盤，也是被我們大玩特玩。……不過，已擰乾到，什麼都不會出來了。」,「虽然贝阿朵的棋盘，也是被我们大玩特玩。……不过，已拧干到，什么都不会出来了。」,"""Il gioco di Beato mi ha intrattenuto per un bel po' di tempo... ma abbiamo già strizzato tutto ciò che potevamo da esso.""",[=UP]
{f:5:Bernkastel},"""...It'll be over with this game. So, in the end, we really must let Battler and Erika bet everything in one final face-off."" ","""......It'll be over with this game. So if we're going to cap it off properly, we really must let Erika and Battler bet everything in one final face‐off.""","""......It'll be over with this game. So, in the end, we really must let Battler and Erika bet everything in one final face-off.""",「……このゲームもこれでおしまいなのよ。だから最後に相応しく、ヱリカ・戦人、互いの破滅を賭けた一騎打ち、くらいには盛り上がってくれなきゃね。」,「……このゲームもこれでおしまいなのよ。だから最後に相応しく、ヱリカ・戦人、互いの破滅を賭けた一騎打ち、くらいには盛り上がってくれなきゃね」,"""......Всё закончится на этой игре. Поэтому под конец мы обязаны позволить Баттлеру и Эрике поставить всё на последнюю схватку.""","""......Tudo acabará neste jogo. Por isso, para encerrar isso de forma adequada, nós realmente precisamos deixar que a Erika e o Battler apostem tudo em um confronto final.""",「……這個遊戲也是到此結束了喲。所以不來個與最後相稱的，“繪梨花、戰人，賭上彼此破滅的單挑”級別的高潮，可不成。」,「……这个游戏也是到此结束了哟。所以不来个与最后相称的，“绘梨花、战人，赌上彼此破灭的单挑”级别的高潮，可不成。」,"""... Finirà tutto con questo gioco. Perciò, alla fine, dobbiamo davvero lasciare che Battler ed Erika scommettano tutto in uno scontro finale.""",[=UP]
{f:5:Lambdadelta},"""...Tch. And I wanted to play with you forever in this game. ...What a shame."" ","""......Booo. I wanted to play this game with you forever. ......What a shame.""","""......Sheesh. And I wanted to play with you forever in this game. ......What a shame.""",「……ちぇー。このゲームで、無限にあんたと遊ぼうと思ったのに。……残念だわ。」,「……ちぇー。このゲームで、無限にあんたと遊ぼうと思ったのに。……残念だわ」,"""......Тьфу ты. А я хотела играть с тобой в эту игру вечно. ......Как жаль.""","""......Tch. Eu queria jogar este jogo com você pra sempre. ......Que pena.""",「……切——。虧我還以為，以這個遊戲能無限地與你玩下去呢。……可惜啊。」,「……切——。亏我还以为，以这个游戏能无限地与你玩下去呢。……可惜啊。」,"""... Accidenti. E io che volevo giocare con te per sempre in questo gioco. {n}Che peccato.""",[=UP]
{f:5:Bernkastel},"""Come now. I've spent plenty of time with you already. ...Go find me another interesting game. If you do, I'll play with you again..."" ","""Come now. I've spent plenty of time with you already. ......Go find me another interesting game board. If you do, I'll play with you again...""","""Come now. I've spent plenty of time with you already. ......Go find me another interesting game. If you do, I'll play with you again...""",「とんでもない。充分にあんたに付き合わされたわよ。……また面白そうなゲーム盤を見つけてらっしゃい。そしたら、また遊んであげる…。」,「とんでもない。充分にあんたに付き合わされたわよ。……また面白そうなゲーム盤を見つけてらっしゃい。そしたら、また遊んであげる…」,"""Ну хватит. Я и так провела с тобой достаточно времени. ......Найдёшь меня в другой интересной игре. Если сможешь, я сыграю с тобой снова...""","""Vamos. Eu já passei muito tempo brincando com você. ......Me encontre logo outro tabuleiro interessante. Se conseguir, eu brinco com você de novo...""",「哪裡的話。我已陪得夠久了喲。……再去找來，別的好玩的棋盤吧。然後，我會再陪你玩的…」,「哪里的话。我已陪得够久了哟。……再去找来，别的好玩的棋盘吧。然后，我会再陪你玩的…」,"""Oh, andiamo. Ormai ho già trascorso con te un sacco di tempo. ... Vai a trovarmi un altro gioco interessante. Se lo fai, giocherò nuovamente con te...""",[=UP]
{f:5:Lambdadelta},"""Ah, ......yes, you really don't let me get bored. ...That's okay, {f:5:Bernkastel}. Seeing your face twist with anguish is the one forbidden honey I've found for myself."" ","""Ahhhh..................you really don't ever let me get bored. ......Be like this forever, {f:5:Bernkastel}. Seeing your face twist with anguish is the one forbidden honey I've found for myself.""","""Ah, .........yes, you really don't let me get bored. ......That's alright, Bernkastel. Seeing your face twist with anguish is the one forbidden honey I've found for myself.""",「あぁ………、……本当にあんたは私を飽きさせないわ。……それでいいのよ、ベルンカステル。そんなあんたの表情を苦悶に歪めることだけが、私が覚えてしまった唯一の禁断の蜜なのだから。」,「あぁ………、……本当にあんたは私を飽きさせないわ。……それでいいのよ、ベルンカステル。そんなあんたの表情を苦悶に歪めることだけが、私が覚えてしまった唯一の禁断の蜜なのだから」,"""A......... да, ты и впрямь не даёшь заскучать. ......Всё хорошо, {f:5:Бернкастель}. Видеть твоё искривлённое в муках лицо — тот самый найденный мной запретный мёд.""","""Ahhhh..................você realmente nunca me deixa entediada. ......Continue assim para sempre, {f:5:Bernkastel}. Ver seu rosto se contorcendo de angústia é um mel proibido que eu encontrei e o tenho só para mim.""",「啊——………，……你真是不會令我膩味呢。……就這樣好了喲，貝倫卡斯泰露。畢竟，只有令這樣的你的表情痛苦扭曲，是我所嘗到的唯一的禁斷之蜜。」,「啊——………，……你真是不会令我腻味呢。……就这样好了哟，贝伦卡斯泰露。毕竟，只有令这样的你的表情痛苦扭曲，是我所尝到的唯一的禁断之蜜。」,"""Ah... già, tu non mi fai proprio annoiare. ... Va bene, Bernkastel. Vedere la tua faccia torcersi dall'angoscia è il miele proibito che ho trovato solo per me.""",[=UP]
,{f:5:Lambdadelta} had guaranteed that it was a perfect closed room. {f:5:Bernkastel} had guaranteed that it was a perfect murder. ,{f:5:Lambdadelta} had guaranteed that it was a perfect locked room.{n}{f:5:Bernkastel} had guaranteed that it was a perfect murder.,Lambdadelta had guaranteed that it was a perfect closed room. Bernkastel had guaranteed that it was a perfect murder.,ラムダデルタは、完全な密室であることを保証する。ベルンカステルは、完全な殺人であることを保証する。,ラムダデルタは、完全な密室であることを保証する。{n}ベルンカステルは、完全な殺人であることを保証する。,"{f:5:Лямбдадельта} гарантировала, что это совершенная закрытая комната.{n}{f:5:Бернкастель} гарантировала, что это совершенное убийство.",{f:5:Lambdadelta} garantiu que era um quarto fechado perfeito.{n}{f:5:Bernkastel} garantiu que era um assassinato perfeito.,拉姆達戴露塔，對此乃不折不扣的密室予以了保證。{n}貝倫卡斯泰露，對此乃不折不扣的殺人予以了保證。,拉姆达戴露塔，对此乃不折不扣的密室予以了保证。{n}贝伦卡斯泰露，对此乃不折不扣的杀人予以了保证。,Lambdadelta aveva garantito che era una stanza chiusa perfetta. Bernkastel aveva garantito che era un omicidio perfetto.,[=UP]
