Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Spanish (ES)
Ushiromiya Battler,"""What do you mean by a ""truth""...?""","""What do you mean by a ""truth""...?"" ","""What do you mean by a 'truth'...?""",「“真実”とは…？」,[=JP],"""Правду?..""","""Ao que se refere ao mencionar uma ""verdade""...?""",「“真实”是指…？」,「“真實”是指…？」,"""Che vuoi dire con ‘verità’...?""","""¿Qué quieres decir con una ""verdad""?..."""
Dlanor,"""........................... ......For example, ......there are Lady {f:5:Erika}'s duct tape {f:5:seals}.""","""......... ...For example, ...there are Lady {f:5:Erika}'s packing tape {f:5:seals}."" ",""".....................For example, ......there are Lady Erika's duct tape SEALS.""",「………………………。……例えばデスガ、……ヱリカ卿の、ガムテープの封印デス。」,「………………………。……例えばデスガ、……ヱリカ卿の、ガムテープの封印デス」,""".....................К примеру, печати леди {f:5:Эрики} из клейкой {f:5:ленты}.""","""........................... ......Por exemplo, ......os selos de fita kraft da Lady {f:5:Erika}.""",「………………………。……比如，……艾莉卡卿的胶带封印。」,「………………………。……比如，……艾莉卡卿的膠帶封印。」,"""... Per esempio... ci sarebbero i sigilli di nastro adesivo di Lady ERIKA.""","""... Por ejemplo, están los {f:5:sellos} de cinta adhesiva de Lady {f:5:Erika}."""
Ushiromiya Battler,"""Ah, ......those.""","""Ah, ...those."" ",[=UP],「あぁ、……あれか。」,「あぁ、……あれか」,"""A...... те самые.""","""Ah, ......aquilo.""",「啊——，……那个啊。」,「啊——，……那個啊。」,"""Ah... quelli.""","""Ah, aquellos."""
Dlanor,"""Lady {f:5:Bernkastel} has already acknowledged that those seals are equivalent in value to the red {f:5:truth}. Therefore, I am authorized to draw the Red Key for truths pertaining to those {f:5:seals}.""","""Lady {f:5:Bernkastel} has already acknowledged that those seals are equivalent in value to the red {f:5:truth}. Therefore, I am permitted to draw the red key, at least for truths pertaining to those {f:5:seals}."" ","""Lady Bernkastel has already acknowledged that those seals are equivalent in value to the red TRUTH. Therefore, I am permitted to draw the red key only for truths pertaining to those SEALS.""",「あの封印はすでに、ベルンカステル卿によって、赤き真実と同等の価値があると認められていマス。よって、封印にかかわる真実に限っては、赤鍵の抜刀が許されマス。」,「あの封印はすでに、ベルンカステル卿によって、赤き真実と同等の価値があると認められていマス。よって、封印にかかわる真実に限っては、“赤鍵”の抜刀が許されマス」,"""Леди {f:5:Бернкастель} уже признала их по ценности равными красной {f:5:правде}. Поэтому я могла использовать красный ключ только для правды, относящейся к этим {f:5:печатям}.""","""A Lady {f:5:Bernkastel} já reconheceu aqueles selos como tendo um valor equivalente a uma verdade {f:5:vermelha}. Portanto, eu tenho autorização para sacar a Chave Vermelha para verdades que digam respeito a esses {f:5:selos}.""",「那个封印，已通过贝伦卡斯泰露卿，被承认为与红色真实具有同等的价值。故，在仅限于和封印有关的真实上，可拔刀“红键”。」,「那個封印，已通過貝倫卡斯泰露卿，被承認為與紅色真實具有同等的價值。故，在僅限於和封印有關的真實上，可拔刀“紅鍵”。」,"""Lady Bernkastel ha già riconosciuto che quei sigilli hanno un valore pari alla verità ROSSA. Per cui, mi è permesso estrarre la chiave rossa soltanto per le verità che concernono quei SIGILLI.""","""Lady {f:5:Bernkastel} ya ha reconocido que aquellos sellos son equivalentes en valor a la {f:5:verdad} roja. Por lo tanto, me permiten blandir la Llave roja solo para verdades que pertenecen a aquellos {f:5:sellos}."""
Ushiromiya Battler,"""Those caused me a lot of trouble last time, so I had all the sticky duct tape removed from the game board this time around.""","""Those caused me a lot of trouble last time, so I had all the sticky packing tape removed from the game board this time around."" ",[=UP],「前回、さんざん苦しめられたからな。今回は、粘着力のあるガムテープを、ゲーム盤から全て取り除かせてもらった。」,「前回、さんざん苦しめられたからな。今回は、粘着力のあるガムテープを、ゲーム盤から全て取り除かせてもらった」,"""Тогда они доставили мне немало хлопот, поэтому на этот раз пришлось убрать с игровой доски всю клейкую ленту.""","""Esses selos me causaram vários problemas da última vez, por isso fiz questão de remover todas as fitas do tabuleiro desta vez.""",「毕竟上盘，是大受其苦呢。所以这次，我从棋盘彻底清除了，所有有粘力的胶带。」,「畢竟上盤，是大受其苦呢。所以這次，我從棋盤徹底清除了，所有有粘力的膠帶。」,"""Quelli mi hanno causato un sacco di problemi l'ultima volta, quindi questa volta ho fatto rimuovere ogni nastro adesivo appiccicoso dal campo da gioco.""","""Aquello me causó muchos problemas la última vez, así que esta vez me deshice de toda esa pegajosa cinta adhesiva en este tablero."""
Dlanor,"""......A splendid {f:5:move}.""","""...A splendid {f:5:move}."" ","""......A splendid MOVE.""",「……見事な一手デス。」,「……見事な一手デス」,"""......Великолепный {f:5:ход}.""","""......Um esplêndido {f:5:movimento}.""",「……漂亮的一步棋。」,[=CN],"""... Una splendida MOSSA.""","""... Un {f:5:movimiento} espléndido."""
Ushiromiya Battler,"""............Erika was proud to be able to call herself the detective, wasn't she?""","""......Erika was proud to be able to call herself the detective, wasn't she?"" ",""".........Erika was proud to be able to call herself the detective, wasn't she?""",「…………ヱリカは、探偵と名乗ることに、誇りを持ってたな。」,「…………ヱリカは、探偵と名乗ることに、誇りを持ってたな」,""".........Наверное, Эрика гордилась тем, что могла называть себя детективом?""","""............A Erika estava orgulhosa de se nomear como detetive, não estava?""",「…………绘梨花，是对自称侦探，感到骄傲吧？」,「…………繪梨花，是對自稱偵探，感到驕傲吧？」,"""... Erika era orgogliosa di potersi chiamare detective, vero?""","""... Erika estaba orgullosa de ser capaz de llamarse a sí misma detective, ¿no es así?"""
Dlanor,"""{f:5:Yes}... ......Though her only goal was to irresponsibly reveal mysteries, ......it was a matter of pride for {f:5:her}.""","""{f:5:Yes}... ...Though her only goal was to irresponsibly solve riddles, ...it was a matter of pride for {f:5:her}."" ","""YES... ......Though her only goal was to irresponsibly solve riddles, ......it was a matter of pride for HER.""",「ハイ…。……謎を無責任に暴くだけが目的とはイエ、……彼女には誇りデス。」,「ハイ…。……謎を無責任に暴くだけが目的とはイエ、……彼女には誇りデス」,"""{f:5:Да}......... Хотя её единственная цель — безответственное решение загадок...... для {f:5:неё} это предмет гордости.""","""{f:5:Sim}... ......Embora seu único objetivo fosse revelar os mistérios de forma irresponsável, ......era uma questão de orgulho para {f:5:ela}.""",「是的…。……虽说仅以不负责任地揭穿谜团为目的，……但对她来说是骄傲。」,「是的…。……雖說僅以不負責任地揭穿謎團為目的，……但對她來說是驕傲。」,"""SÌ... anche se il suo solo obiettivo era risolvere gli enigmi irresponsabilmente... era una questione d'onore per LEI.""","""{f:5:Sí}... Aunque su único objetivo fuese revelar los misterios de forma irresponsable... era un asunto de orgullo para {f:5:ella}."""
Ushiromiya Battler,"""Then, she must really be suffering now that she can't make that proclamation.""","""Then she must really be suffering now that she can't make that proclamation."" ",[=UP],「それが、宣言できないってのは、かなり、……悔しいことだろうな。」,「それが、宣言できないってのは、かなり、……悔しいことだろうな」,"""Наверняка она очень страдает из‐за того, что не может объявить себя детективом.""","""Então, ela deve ter sofrido bastante agora que não pode fazer sua proclamação.""",「不能宣言这个，乃是相当的……心里不是滋味吧？」,「不能宣言這個，乃是相當的……心裡不是滋味吧？」,"""Allora, deve star soffrendo molto ora che non può fare quella proclamazione.""","""Entonces, realmente debe estar sufriendo ahora que no puede hacer aquella proclamación."""
Dlanor,"""...............Only she could tell you {f:5:that}.""","""......Only she could tell you {f:5:that}."" ",""".........Only she could tell you THAT.""",「……………それを、当人以外が語ることは出来マセン。」,「……………それを、当人以外が語ることは出来マセン」,""".........Только она {f:5:вправе} об этом говорить.""","""...............Apenas ela pode lhe dizer {f:5:isso}.""",「……………这个问题，除本人外无法回答。」,「……………這個問題，除本人外無法回答。」,"""... Solo lei potrebbe dire QUESTO.""","""... Solo ella podría decirle {f:5:eso}."""
Ushiromiya Battler,""".................................""","""........."" ","""..................""",「……………………………。」,「……………………………」,[=OG],[=UP],[=JPC],[=JPC],"""...""",[=ITA]
,"Battler took a deep breath, then hung his head in thought for a time.","Battler took a deep breath, then hung his head in thought for a time. ",[=UP],戦人は深く溜息をつきながら、しばらくの間、俯いて考える。,[=JP],Баттлер глубоко вздохнул и в раздумьях опустил голову.,Battler suspirou profundamente e ficou com a cabeça baixa por um tempo.,战人边长叹一口气，边低头沉思了一小段时间。,戰人邊長嘆一口氣，邊低頭沉思了一小段時間。,"Battler prese un profondo respiro, poi abbassò il capo per un po' immerso nei suoi pensieri.",Battler respiró hondo y luego bajó la cabeza pensando durante un rato.
,"......Erika was his enemy, but she was the player on the {y:0:Human}{n:0:human} side, and without her, there would be no game.","...Erika was his enemy, but she was the player on the Human side, and without her, there would be no game. ","......Erika was his enemy, but she was the player on the human side, and without her, there would be no game.",……彼にとってヱリカは敵だが、ニンゲン側のプレイヤーであり、彼女が存在するからこそ、ゲームが成立するのである。,[=JP],"......Эрика — его враг, но также она игрок со стороны {y:0:Люд}{n:0:люд}ей, и без неё игры бы не было.","......Erika era sua inimiga, mas ela era um jogador do lado {y:0:Humano}{n:0:humano}, e sem ela não haveria jogo.",……虽然对他来说绘梨花是敌人，但绘梨花是人类方的棋手，正因有她存在，游戏才得以成立。,……雖然對他來說繪梨花是敵人，但繪梨花是人類方的棋手，正因有她存在，遊戲才得以成立。,"... Erika era sua nemica, ma lei era la giocatrice della fazione umana, e senza di lei non ci sarebbe stata partita.","... Erika era su enemiga, pero ella era el jugador en el lado {y:0:Humano}{n:0:humano} y, sin ella, no habría ningún juego."
,It had been the same way with the old Beato.,It had been the same with the old Beato. , It had been the same way with the old Beato.,かつてのベアトも、そうだった。,[=JP],То же самое относилось и к прежней Беато.,Havia sido o mesmo com a antiga Beato.,以前的贝阿朵，也亦是如此。,以前的貝阿朵，也亦是如此。,Era stato lo stesso con la vecchia Beato.,Había sido de la misma manera con la vieja Beato.
,"Battler had one‐sidedly viewed Beato as the enemy. However, though Beato had thought of him as the opposing player, she hadn't considered him to be an enemy on a personal level.","Battler had one-sidedly viewed Beato as an enemy. However, though Beato had thought of him as her opponent, she hadn't considered him an enemy on a personal level. "," Battler had one-sidedly viewed Beato as the enemy. However, though Beato had thought of him as the opposing player, she hadn't personally considered him an enemy.",戦人は一方的にベアトを敵視していた。だがベアトは彼を、敵プレイヤーだとは思っても、彼個人までも敵視していたわけではない。,[=JP],"Баттлер односторонне видел в ней врага. Беато рассматривала его как противостоящего игрока, но лично она не считала его врагом.","Battler só possuía uma visão unilateral de Beato como sendo sua inimiga. Porém, embora Beato pensasse nele como o jogador adversário, ela não o considerava como um inimigo pessoal.",战人在单方面地敌视贝阿朵。而贝阿朵是尽管把他当成了敌方棋手，但并未去敌视他这个个人。,戰人在單方面地敵視貝阿朵。而貝阿朵是儘管把他當成了敵方棋手，但並未去敵視他這個個人。,"Battler vedeva Beato unilateralmente come nemica. Tuttavia, anche se Beato pensava a lui come giocatore avversario, personalmente non lo considerava un nemico.","Battler había visto unilateralmente a Beato como el enemigo. Sin embargo, aunque Beato hubiera pensado en él como el jugador contrario, ella no le había considerado personalmente un enemigo."
,......I will fight my rival ruthlessly in accordance with the rules.,"...In accordance with the rules, I must fight my rival ruthlessly. ","......In accordance with the rules, I must fight my rival ruthlessly.",……俺は、ゲームのライバルに、そのルールに則り、冷酷に戦う。,[=JP],"......Согласно правилам, я должен быть беспощаден со своим противником.","......Eu irei enfrentar minha rival de forma impiedosa, de acordo com as regras.",……我遵循规则，冷酷地与游戏对手对决。,……我遵循規則，冷酷地與遊戲對手對決。,"... In accordo con le regole, devo combattere la mia rivale senza pietà.","... De acuerdo con las reglas, debo luchar contra mi rival despiadadamente."
,"However, that doesn't mean I need to hate Furudo Erika herself.","However, that doesn't mean I need to hate Erika herself. "," However, that doesn't mean I need to hate Erika herself.",しかし、古戸ヱリカ個人を憎まなければならないわけじゃない。,[=JP],"Но это не значит, что мне нужно ненавидеть саму Эрику.",Mas isso não significa que eu preciso odiar Furudo Erika.,但是，我并不是非得要去恨古户绘梨花这个个人。,但是，我並不是非得要去恨古戶繪梨花這個個人。,"Tuttavia, non significa che debba odiare la stessa Erika.","Sin embargo, esto no significa que tenga que odiar a Erika."
,....................................,......... ,..................,………………………………。,[=JP],[=OG],[=UP],[=JP],[=JP],......,...
, ......I will not {i:misplay} Beato's game.,...I won't {i:misunderstand} Beato's game. ,......I won't misunderstand Beato's game. ,……俺はベアトのゲームを、{i:誤らない}。,[=JP],......Я сделаю в игре Беато {i:правильный выбор}., ......Eu não irei me {i:equivocar} sobre o jogo da Beato.,……我不会{i:搞错}贝阿朵的游戏。,……我不會{i:搞錯}貝阿朵的遊戲。,... Non fraintenderò il gioco di Beato.,... No {f:5:malinterpretaré} el juego de Beato.
Ushiromiya Battler,"""Erika. You're free not to make the detective proclamation. So do what you want and fight me with just your {y:0:Human}{n:0:human} powers.""","""Erika, you're free to choose not to make a detective proclamation. In that case, go and fight just with your power as a Human."" ","""Erika. It's up to you whether you make the detective proclamation. In that case, go and fight just with your power as a human.""",「ヱリカ。探偵宣言を出さないのは、お前の勝手だ。だから、お前はお前の、ニンゲンとしての力だけで、勝手に戦え。」,「ヱリカ。探偵宣言を出さないのは、お前の勝手だ。だから、お前はお前の、ニンゲンとしての力だけで、勝手に戦え」,"""Эрика. Объявишь ты себя детективом или нет — решать тебе. Обходись только {y:0:Челове}{n:0:челове}ческими силами.""","""Erika. Você é livre para fazer a proclamação do detetive. Então faça o que quiser e lute contra mim com os seus poderes {y:0:Humanos}{n:0:humanos}.""",「绘梨花。不拿出侦探宣言，是你的自由。所以，你就去仅以你作为人类的力量，随你喜欢地战吧。」,「繪梨花。不拿出偵探宣言，是你的自由。所以，你就去僅以你作為人類的力量，隨你喜歡地戰吧。」,"""Erika. È una tua scelta fare o meno la proclamazione del detective. In quel caso, vai e combatti soltanto con le tue capacità umane.""","""Erika. Depende de ti si haces la proclamación del detective. Así que si quieres luchar solo con tu poder como {y:0:Humana}{n:0:humana}, hazlo."""
Furudo Erika,"""I've been prepared to do that from the beginning...!""","""I've been prepared to do that from the start...!"" ",[=UP],「最初からその覚悟ですっ…！」,[=JP],"""Я с самого начала была готова к этому!..""","""Eu estou preparada para isso desde o início...!""",「我从一开始，就有这个觉悟…！」,「我從一開始，就有這個覺悟…！」,"""Ero preparata a farlo fin dal principio...!""","""¡He estado preparada para hacer esto desde el principio!..."""
Ushiromiya Battler,"""However, you have talented people on your side. ......Dlanor, ......Gertrude, and Cornelia. You aren't alone. You have allies.""","""However, you have talented allies. ...Dlanor, ...Gertrude, and Cornelia. You aren't alone. You have allies."" ","""However, you have talented allies. ......Dlanor, ......Gertrude, and Cornelia. You aren't alone. You have allies.""",「しかし、お前には優秀な仲間がいる。……ドラノールに、……ガートルード、コーネリア。お前は一人じゃない。仲間がいる。」,「しかし、お前には優秀な仲間がいる。……ドラノールに、……ガートルード、コーネリア。お前は一人じゃない。仲間がいる」,"""Но у тебя талантливые помощники. ......Дланор...... Гертруда и Корнелия. Ты не одинока. У тебя есть союзники.""","""Mas você tem pessoas talentosas do seu lado. ......A Dlanor, ......a Gertrude e a Cornelia. Você não está sozinha. Tem aliadas.""",「不过，你有优秀的同伴。……德拉诺尔，……格德鲁特，柯内莉亚。你不是一个人。你有同伴。」,「不過，你有優秀的同伴。……德拉諾爾，……格德魯特，柯內莉亞。你不是一個人。你有同伴。」,"""Però hai dei compagni di talento. ... Dlanor... Gertrude, e Cornelia. Non sei sola. Hai degli alleati.""","""Sin embargo, tienes aliados talentosos... Dlanor... Gertrude y Cornelia. No estás sola. Tienes aliados."""
Furudo Erika,"""Except that they're unreliable, powerless, and useless pukespittle.""","""Yeah, but they're unreliable, powerless, and useless scum."" ","""Yeah, but they're unreliable, powerless, and useless scum.""",「頼りたくても何の力もない、ゲロカスの役立たずですがっ。」,「頼りたくても何の力もない、ゲロカスの役立たずですがっ」,"""Да, но они ненадёжные, бессильные и бесполезные ничтожества.""","""Exceto que elas não são confiáveis, impotentes e vômitos pútridos.""",「虽说是想依靠也是什么能力都没有的，一群没用的臭秽渣呢。」,「雖說是想依靠也是什麼能力都沒有的，一群沒用的臭穢渣呢。」,"""Sì, ma sono rifiuti inaffidabili, impotenti e inutili.""","""Sí, pero son poco fiables, impotentes y basura inútil."""
Ushiromiya Battler,"""Dlanor. ......Just like I was supported by {f:5:Virgilia} and Ronove in the past, Erika needs support as well. I know from repeated experience that playing for the {y:0:Human}{n:0:human} side is tough.""","""Dlanor, ...just like how I was supported by {f:5:Virgilia} and Ronove in the past, Erika needs support as well. I know from repeated experience that playing for the Human side is tough."" ","""Dlanor. ......Just like I was supported by Virgilia and Ronove in the past, Erika needs support as well. I know from repeated experience that playing for the human side is tough.""",「ドラノール。……かつての俺が、ワルギリアやロノウェに支えられたように、ヱリカにもまた、支えが要る。ニンゲン側が辛いことは、俺も何度も経験してよく知ってる。」,「ドラノール。……かつての俺が、ワルギリアやロノウェに支えられたように、ヱリカにもまた、支えが要る。ニンゲン側が辛いことは、俺も何度も経験してよく知ってる」,"""Дланор. ......Так же, как меня раньше поддерживали Ронове и {f:5:Вергилия}, Эрике тоже нужна поддержка. Я из повторяющегося опыта знаю, как трудно играть на стороне {y:0:Люд}{n:0:люд}ей.""","""Dlanor. ......Assim como eu tive o apoio da {f:5:Virgilia} e do Ronove no passado, a Erika também precisa de suporte. Minhas repetidas experiências me ensinaram que jogar pelo lado {y:0:Humano}{n:0:humano} é difícil.""",「德拉诺尔。……就像以前的我，被瓦尔基莉亚与罗诺威支撑着一般，绘梨花也需要他人支撑。我也有经历过好几次，所以很清楚人类方有多辛苦。」,「德拉諾爾。……就像以前的我，被瓦爾基莉亞與羅諾威支撐著一般，繪梨花也需要他人支撐。我也有經歷過好幾次，所以很清楚人類方有多辛苦。」,"""Dlanor. ... Proprio come io sono stato sostenuto da Virgilia e Ronove in passato, anche Erika ha bisogno di supporto. So per esperienza che giocare dalla parte degli umani è difficile.""","""Dlanor... Tal y como yo fui apoyado por {f:5:Virgilia} y Ronove en el pasado, Erika necesita apoyo también. Sé por experiencia propia que jugar en el lado {y:0:Humano}{n:0:humano} es duro."""
Dlanor,"""......{f:5:Yes}. I will assist her with all the power I {f:5:possess}.""","""...{f:5:Yes}. I will assist her with all the power I {f:5:possess}."" ","""......YES. I will assist her with all the power I POSSESS.""",「……ハイ。持てる力の限りで、補佐シマス。」,「……ハイ。持てる力の限りで、補佐シマス」,"""......{f:5:Да}. Я всеми силами буду помогать ей.""","""......{f:5:Sim}. Eu irei assisti‐la com todas as minhas {f:5:forças}.""",「……好的。我会尽我所能地辅佐的。」,「……好的。我會盡我所能地輔佐的。」,"""... SÌ. La assisterò con tutta la forza che HO.""","""... {f:5:Sí}. Le voy a ayudar con todo el poder que {f:5:poseo}."""
Gertrude,"""For your attention: we are in agreement.""","""Understood."" ","""Understood.""",「謹啓、了解するものなり。」,「謹啓、了解するものなり」,"""Поняла.""","""Senhoris, nós aquiescemos.""",「谨启，明白。」,「謹啟，明白。」,"""Ricevuto.""","""Hágase saber que estamos de acuerdo."""
Cornelia,"""For your attention: know that it is our job.""","""Know that it is our job."" ","""Know that it is our job.""",「謹啓、職務であると知り給え。」,「謹啓、職務であると知り給え」,"""Знайте, что это наша работа.""","""Senhoris, fiquem cientes de que este é o nosso trabalho.""",「谨启，须知此乃我等职务所在。」,「謹啟，須知此乃我等職務所在。」,"""Si sappia che quello è il nostro lavoro.""","""Hágase saber que es nuestro trabajo."""
Furudo Erika,"""Hmph. You can't even use the red truth!""","""Hmph. And you can't even use the red truth!"" ","""Hmph. And you can't even use the red truth!""",「ふんっ。赤き真実も使えないくせにっ！」,[=JP],"""Хмф. Вы даже не можете использовать красную правду!""","""Hmph. Vocês sequer podem usar a verdade vermelha!""",「哼。明明连红色真实都用不了！」,「哼。明明連紅色真實都用不了！」,"""Hmph. E voi non potete neanche usare la verità rossa!""","""Hmph. ¡Ni siquiera pueden usar la verdad roja!"""
Ushiromiya Battler,"""Erika. ......I will give power, not to you, but to your allies.""","""Erika, ...I will give power, not to you, but to your allies."" ",[=UP],「ヱリカ。……お前でなく、この仲間たちに、力を与える。」,「ヱリカ。……お前でなく、この仲間たちに、力を与える」,"""Эрика. ......Я дам силу, но не тебе, а твоим союзникам.""","""Erika. ......Eu concederei poder, não para você, mas para suas aliadas.""",「绘梨花。……不是给你，我赐予你同伴力量。」,「繪梨花。……不是給你，我賜予你同伴力量。」,"""Erika. ... Darò potere non a te, ma alle tue compagne.""","""Erika... Voy a darte poder, no a ti, sino a tus aliados."""
Furudo Erika,"""Huh?! Wh‐what do you think you're doing...?! I'd rather die than receive your pity!!""","""Huh?! Wh-What do you think you're doing...?! I'd rather die than receive your pity!!"" ","""Huh?! Wh, what do you think you're doing...?! I'd rather die than receive your pity!!""",「はぁッ？！　な、何の真似ですか…？！　お前の情けなんて死んでも受けませんッ！！」,[=JP],"""Э?! О... о чём вы говорите?! Да я лучше умру, чем приму вашу жалость!""","""Hã?! O‐O que acha que está fazendo...?! Eu prefiro morrer do que receber sua simpatia!!""",「哈啊？！你、你这是什么意思…？！你的同情，我死都不会接受！！」,「哈啊？！你、你這是什麼意思…？！你的同情，我死都不會接受！！」,"""Huh?! C-Cosa credi di fare...?! Preferisco morire piuttosto che ricevere la tua compassione!!""","""¡¿Eh?! ¡¿Q-Qué crees que estás haciendo?!... ¡¡Prefiero morir antes que recibir tu piedad!!"""
Ushiromiya Battler,"""For the trio of Dlanor, Gertrude, and Cornelia, ......Erika, I will allow you to use three rooms' worth of those duct tape seals.""","""Three people: Dlanor, Gertrude, and Cornelia. ...Erika, I'll let you use three rooms' worth of those packing tape seals."" ","""Three people: Dlanor, Gertrude, and Cornelia. ......Erika. I'll let you use three rooms' worth of those duct tape seals.""",「ドラノール、ガートルード、コーネリアで、 ３人。……ヱリカ。お前に、例のガムテープの封印を、３部屋分、許す。」,「ドラノール、ガートルード、コーネリアで、３人。……ヱリカ。お前に、例のガムテープの封印を、３部屋分、許す」,"""Троим: Дланор, Гертруде и Корнелии. ......Эрика. Я позволю вам использовать на три комнаты те печати из клейкой ленты.""","""Para o trio: Dlanor, Gertrude e Cornelia, ......Erika, eu permitirei que você use seus selos de fita kraft em três quartos.""",「德拉诺尔、格德鲁特、柯内莉亚，总共 3 人。……绘梨花。我同意，3 房间份的胶带封印。」,「德拉諾爾、格德魯特、柯內莉亞，總共 3 人。……繪梨花。我同意，3 房間份的膠帶封印。」,"""Tre persone: Dlanor, Gertrude, e Cornelia. ... Erika. Ti lascerò usare abbastanza sigilli di nastro adesivo per tre stanze.""","""Dlanor, Gertrude y Cornelia, ustedes son tres... Erika. Te dejaré usar cinta aislante para tres habitaciones."""
,"To fully seal one room, multiple seals are needed to cover all the doors and windows.","To fully seal one room, multiple seals would be needed to cover all the doors and windows. ",[=UP],１つの部屋を完全に封ずるには、扉に窓にと、複数の封印が必要になる。,[=JP],Для полного запечатывания дверей и окон одной комнаты нужно несколько печатей.,"Para selar um quarto, múltiplos selos são necessários para cobrir todas as portas e janelas.",要完全封印 1 个房间，需对门窗进行复数的封印。,要完全封印 1 個房間，需對門窗進行複數的封印。,"Per sigillare completamente una stanza, ci vogliono multipli sigilli per coprire tutte le porte e le finestre.","Para sellar totalmente una habitación, se necesitan muchos sellos para cubrir todas las puertas y ventanas."
,"If he had just said ""three seals"", she would only be able to fully seal up one room at best.","If he had said three seals, it would only have been possible to fully seal one room at best. "," If he had just said three seals, it would only be able to fully seal up one room at best.",３回分という言い方では、せいぜい１部屋くらいしか完全に封印できない。,[=JP],"Если бы он просто сказал 'три печати', они бы в лучшем случае смогли полностью запечатать одну комнату.","Se ele tivesse dito apenas ""três selos"", no máximo ela seria capaz de selar um quarto.",以 3 次这种讲法的话，那顶多只能完全封印 1 个房间。,以 3 次這種講法的話，那頂多只能完全封印 1 個房間。,"Se avesse detto soltanto tre sigilli, sarebbe bastato al massimo per sigillare completamente una stanza.","Si él hubiera dicho tres sellos, solo sería capaz de sellar completamente una habitación en el mejor de los casos."
,"So, Battler was generous and measured them by room instead of by seal...","So, Battler was generous and limited them by room instead of by seal... "," So, Battler was generous and measured them by room instead of by seal...",だから戦人は意地悪をせず、回数ではなく、部屋数で制限を与える…。,[=JP],"Поэтому Баттлер был щедр и мерил по комнатам, а не по печатям...","Por isso, Battler foi generoso e fez a medida baseada em quartos ao invés de selos...",所以战人不使坏，不是以次数，而是以房间数来进行限制…。,所以戰人不使壞，不是以次數，而是以房間數來進行限制…。,"Perciò, Battler fu generoso e lo misurò per stanza invece che per sigilli...",Así que Battler fue generoso y los midió por habitaciones en vez de por sello...
Dlanor,"""......Lord {f:5:Battler}......""","""...Lord {f:5:Battler}..."" ","""......Lord BATTLER......""",「……バトラ卿……。」,「……バトラ卿……」,"""......Лорд {f:5:Баттлер}......""","""......Lorde {f:5:Battler}......""",「……巴托拉卿……」,[=CN],"""... Lord BATTLER...""","""... Lord {f:5:Battler}..."""
Ushiromiya Battler,"""As the Game Master, I will also acknowledge that these seals have the same effect as the red truth. ......This way, you'll also be able to wield that red longsword in battles based around those seals. Right...?""","""As the Game Master, I also acknowledge that these seals have the same effect as the red truth. ...This way, you'll also be able to wield that red longsword in a fight surrounding those. Right...?"" ","""As the Game Master, I also acknowledge that these seals have the same effect as the red truth. ......This way, you'll also be able to wield that red longsword in a fight surrounding those. Right...?""",「この封印には、赤き真実と同じ効果があることを、俺もゲームマスターとして認める。……そうすれば、それを根拠とする戦いでは、お前もあの赤い太刀を振り回せるようになるはずだ。そうだな…？」,[=JP],"""Как Владелец игры, я тоже признаю, что эти печати равны красной правде. ......Так ты сможешь достать красный меч в сражениях, связанных с ними. Верно?..""","""Como Game Master, eu também reconhecerei que esses selos possuem o mesmo efeito que uma verdade vermelha. ......Dessa forma, você também será capaz de empunhar seu montante vermelho nas batalhas usando os selos como base. Certo...?""",「我也作为 GM 承认，这个封印与红色真实具有相同的效果。……这么一来，在以此为根据的论战中，你也理应将能挥舞那把红色战刀。没错吧…？」,「我也作為 GM 承認，這個封印與紅色真實具有相同的效果。……這麼一來，在以此為根據的論戰中，你也理應將能揮舞那把紅色戰刀。沒錯吧…？」,"""Come Game Master, riconosco anche che questi sigilli hanno lo stesso effetto della verità rossa. ... In questo modo, potrai impugnare quella spada lunga rossa anche in uno scontro che li riguarda. Giusto...?""","""Como el Game Master, también reconozco que estos sellos tienen el mismo efecto que la verdad roja... De esta manera, tú también serás capaz de manejar aquella larga espada roja en una lucha alrededor de aquellos sellos, ¿verdad?..."""
Dlanor,""".........{f:5:Yes}... .........But...are you {f:5:certain}?""","""...{f:5:Yes}... ...But...are you {f:5:certain}?"" ","""......YES... ......But...are you CERTAIN?""",「………ハイ…。………しかし、よろしいのデスカ。」,「………ハイ…。………しかし、よろしいのデスカ」,"""......{f:5:Да}... ......Но... вы {f:5:уверены}?""",""".........{f:5:Sim}... .........Mas...você tem {f:5:certeza}?""",「………没错…。………不过，这样好吗？」,「………沒錯…。………不過，這樣好嗎？」,"""... SÌ... però... ne è SICURO?""","""... {f:5:Sí}... Pero... ¿está {f:5:seguro}?"""
