Speaker,Steam (ST),Umineko Project (UP),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT)
,Obtain a quiet space for yourself alone. ...That should be enough to prepare a space to use magic. ,Obtain a quiet space for yourself alone.{n}......That should cover it for the preparation of a space to use magic.,静かな、自分だけの空間を得る。……魔法を使うための場の準備は、これで充分だろう。,静かな、自分だけの空間を得る。{n}……魔法を使うための場の準備は、これで充分だろう。,Разыщи тихое место для себя одной.{n}......Это должно хватить для подготовки пространства для применения магии.,Obtenha um espaço silencioso para ficar sozinha.{n}......Isto deve ser o bastante para preparar ou espaço para usar a magia.,去獲得靜靜的，只屬於自己的空間。{n}……使用魔法的場地，就此準備就緒了吧。,去获得静静的，只属于自己的空间。{n}……使用魔法的场地，就此准备就绪了吧。,Ottenere uno spazio tranquillo solo per te stessa. ... Questo dovrebbe essere abbastanza per preparare uno spazio dove usare la magia.,[=UP]
Ushiromiya Maria,"""......Next is the vessel. ...Right now, it's important for your bike to at least have training wheels...no, a chain."" ",""".........Next is the vessel. ...Right now, that's as important for you as a bicycle having training wheels—no, a chain.""",「………次に、依り代。…今の縁寿には自転車の補助輪、…いえ、チェーンくらい大事。」,「………次に、依り代。…今の縁寿には自転車の補助輪、…いえ、チェーンくらい大事」,""".........Далее идёт сосуд. ...Сейчас главное, чтобы у твоего велосипеда были тренировочные колесики... нет, цепочка.""",""".........A seguir, o receptáculo. ...Agora, é importante para você assim como rodinhas para uma bicicleta — não, uma corrente.""",「………其次，是依代。…這對現在的緣壽來說，如自行車的輔助輪、…不，如車鏈般重要。」,「………其次，是依代。…这对现在的缘寿来说，如自行车的辅助轮、…不，如车链般重要。」,"""... Poi c'è il medium. ... Ora, è importante per la tua bici avere almeno delle ruote di supporto... no, una catena.""",[=UP]
Ushiromiya Ange,"""......... ......This is... ...of course... impossible..."" ","""........................... .........These would............obviously...not be possible, right...""",「………………………。………これは、…………当然、無理よね…。」,「………………………。………これは、…………当然、無理よね…」,"""...........................Это... конечно же... невозможно...""","""........................... .........Isso............obviamente...não seria possível, né...?""",「………………………。………用這個，…………當然，是不行的吧…」,「………………………。………用这个，…………当然，是不行的吧…」,"""... Questo è... di certo, impossibile...""",[=UP]
,Ange rubbed her own head. ,Ange rubbed her own head.,縁寿は、自分の頭を撫でる。,[=JP],Энджи потёрла голову.,Ange esfregou sua cabeça.,緣壽摸了一下自己的頭。,缘寿摸了一下自己的头。,Ange si strofinò la testa.,[=UP]
,"...She wore hair accessories there, with pink gems attached. ",...She was wearing hair accessories with pink beads attached.,…そこには、ピンクの珠のついたヘアアクセサリーがあった。,[=JP],...В волосах у неё были украшения с прикреплёнными к ним розовыми шариками.,...Ela estava usando um acessório de cabelo com duas bolas rosas.,…她摸著的是件帶有粉紅色珠子的髮飾。,…她摸着的是件带有粉红色珠子的发饰。,"... C'erano degli accessori per capelli lì, con gioielli rosa attaccati.",[=UP]
,"They felt a little childish for Ange, but she never took them off, not even for a single day. ","They felt a little childish for Ange's style, but she had never taken them off for a single day.",縁寿のセンスにしては、少々幼過ぎるように感じるそれを、彼女は一日たりとも外したことはない。,[=JP],"Украшения эти были несколько детскими для изящной молодой девушки вроде неё, однако Энджи не снимала их ни единого дня.","Elas eram um pouco infantis para o estilo de Ange, mas ela nunca as tirou um dia sequer.",這個以緣壽的穿著品味而言略顯幼稚的髮飾，她一天都沒有拿下來過。,这个以缘寿的穿着品味而言略显幼稚的发饰，她一天都没有拿下来过。,"Sembravano molto infantile per lo stile di Ange, ma non li aveva mai tolti nemmeno per un singolo giorno.",[=UP]
Ushiromiya Maria,"""......Yeah. ......It really will be impossible for you now, Ange. ...If you'd practiced every single day since then, you might've gained the ability to summon with that by now."" ","""..................Yeah. .........That really is impossible for you right now, Ange. ...If you had practiced every single day since then, you might have become able to summon him by now.""",「………………うん。………今の縁寿にはとても無理。…あの日から、一日も休むことなく修行していたなら、あるいは今頃は、呼び出すことが出来たかもしれないね。」,「………………うん。………今の縁寿にはとても無理。…あの日から、一日も休むことなく修行していたなら、あるいは今頃は、呼び出すことが出来たかもしれないね」,"""............Да. .........Пока что это и впрямь тебе не по силам. ...Если бы ты тренировалась каждый день, начиная с того дня, у тебя бы достало сил призвать меня при таком раскладе.""","""..................Sim. .........É realmente impossível para você agora, Ange. ...Se você tivesse praticado todos os dias desde então, você poderia ser capaz de invocá‐la aquilo agora.""",「………………嗯。………以現在的緣壽來說，是沒希望的。…如果能從那天起，一天都沒休息過地進行修行的話，或許現在就能召喚出來了呢。」,「………………嗯。………以现在的缘寿来说，是没希望的。…如果能从那天起，一天都没休息过地进行修行的话，或许现在就能召唤出来了呢。」,"""... Sì. ... Questo è davvero impossibile per te adesso, Ange. ... Se ti fossi allenata ogni singolo giorno da quel giorno, saresti potuta diventare capace di evocare con quello a quest'ora.""",[=UP]
Ushiromiya Ange,"""......... If I were to start training now, how long would it take?"" ","""........................ If I were to start training now, how long would it take?""",「……………………。今から修行したら、どのくらい掛かるの？」,[=JP],"""...............Если бы я стала упражняться сейчас, сколько времени у меня уйдёт?""","""........................ Se eu começar a treinar agora, quanto tempo isso vai levar?""",「……………………。從現在開始修行的話，得花多少時間？」,「……………………。从现在开始修行的话，得花多少时间？」,"""... Se dovessi cominciare ad allenarmi adesso, quanto tempo mi prenderebbe?""",[=UP]
Ushiromiya Maria,"""......It's said that a year of magical training for a child is worth ten years for an old person. You need a lot of determination."" ",""".........It's said that a year of witch training as a child is worth ten in old age. You'll need a strong resolution.""",「………魔女の修行は、幼き日の１年が、老いの１０年と同じ価値があると言われてる。相当の覚悟がいるよ。」,「………魔女の修行は、幼き日の１年が、老いの１０年と同じ価値があると言われてる。相当の覚悟がいるよ」,""".........Говорят, что год магических упражнений для ребёнка равен десяти годам упражнений взрослого. Тут потребуется твёрдая решимость.""",""".........Dizem que um ano do treinamento de uma bruxa criança é equivalente a dez depois de velha. Você vai precisar de uma forte determinação.""",「………據說魔女的修行，年幼時的一年，有著與年老時的十年相同的價值。得需要相當大的覺悟喲。」,「………据说魔女的修行，年幼时的一年，有着与年老时的十年相同的价值。得需要相当大的觉悟哟。」,"""... Si dice che un anno di allenamento magico per un bambino vale dieci anni per una persona vecchia. Hai bisogno di una forte determinazione.""",[=UP]
Ushiromiya Ange,"""You mean like Ushiromiya Kinzo? ......So, just like the piano and the violin, getting a special education from a young age is huge when it comes to magic."" ","""You mean like Ushiromiya Kinzo? ............So private tutoring from a young age is important for piano, violin and magic.""",「それこそ、右代宮金蔵くらいに？　……………ピアノもバイオリンも魔法も、幼い頃からの英才教育が大事なのね。」,「それこそ、右代宮金蔵くらいに？　……………ピアノもバイオリンも魔法も、幼い頃からの英才教育が大事なのね」,"""Например, как у Уширомии Кинзо? ............Значит специальное образование с младых ногтей необходимо не только для фортепьяно и скрипки, но и для магии.""","""Assim como Ushiromiya Kinzo? ............Por isso aulas particulares desde cedo são importantes para aprender piano, violino e magia.""",「是要如右代宮金藏那樣嗎？……………鋼琴、小提琴還有魔法，都是從小去接受英才教育最要緊呢。」,「是要如右代宫金藏那样吗？……………钢琴、小提琴还有魔法，都是从小去接受英才教育最要紧呢。」,"""Dici come Ushiromiya Kinzo? ... Allora un'educazione speciale a una giovane età è importante per piano, violino e magia.""",[=UP]
Ushiromiya Maria,"""As you are now, your power has weakened since the time you were first able to use magic, Ange. ...Don't overdo it, ...and devote yourself to the basics."" ","""Your power has weakened since the time you were first able to use magic, Ange. ...Don't overdo it, and stick to the basics.""",「今の縁寿は、初めて魔法を使えた時よりも、その力が落ちている。…無理をしないで、基本に忠実に。」,「今の縁寿は、初めて魔法を使えた時よりも、その力が落ちている。…無理をしないで、基本に忠実に」,"""Поскольку по прошествии времени ты стала такой, какой являешься сейчас, твоя магическая сила ослабла по сравнению с тем временем, когда ты впервые смогла воспользоваться магией, Энджи. ...Не перестарайся и посвяти себя повторению основ.""","""Seu poder enfraqueceu desde a primeira vez que você foi capaz de usar magia, Ange. ...Não exagere, e se prenda ao básico.""",「現在的緣壽的魔力比第一次使用魔法時都要弱。…不要勉強，去照基本來。」,「现在的缘寿的魔力比第一次使用魔法时都要弱。…不要勉强，去照基本来。」,"""Come sei ora, il tuo potere si è indebolito da quando sei stata in grado di usare per la prima volta la magia, Ange. ... Non strafare, e concentrati sulle basi.""",[=UP]
,"After stubbornly rubbing those things on my head one more time, I gave up. ","After regretfully rubbing the things on my head one more time, I let it go.",私は未練がましくもう一度、頭のそれを撫でてから、諦める。,[=JP],"Упрямо потерев украшения у себя на голове ещё раз, я сдалась.","Após passar a mão arrependida nas coisas em minha cabeça, eu desisti.",我戀戀不捨地又摸了下頭上的髮飾，死了心。,我恋恋不舍地又摸了下头上的发饰，死了心。,"Dopo aver cocciutamente strofinato quelle cose sulla mia testa ancora una volta, mi arresi.",[=UP]
,Then I started fishing through the knapsack. ...Looking for anything that might make a good vessel. ,Then I started fishing through my knapsack.{n}...Looking for anything that might make a good vessel.,そして、ごそごそとナップザックの中身を漁る。…何か適当な、依り代になりそうなものはないか。,そして、ごそごそとナップザックの中身を漁る。{n}…何か適当な、依り代になりそうなものはないか。,"Затем я принялась рыться в рюкзаке.{n}...Я надеялась найти что‐нибудь, что может сойти за хороший сосуд.","Então, eu comecei a procurar coisas na minha mochila.{n}...Procurando por qualquer coisa que poderia ser um bom receptáculo.",然後，我咔嚓咔嚓地翻找起了背包中的東西。{n}…有沒有什麼，能拿來當依代的東西呢？,然后，我咔嚓咔嚓地翻找起了背包中的东西。{n}…有没有什么，能拿来当依代的东西呢？,Poi cominciai a pescare nello zaino. ... Cercando qualcosa che potesse essere un buon medium.,[=UP]
Ushiromiya Ange,"""? ...Ah......"" ","""? ...Ah......""", ,「？　あっ……」,"""? ...Ах......""","""? ...ah......""",「？……啊…………」,[=CHT],"""?... Ah...""",[=UP]
Ushiromiya Ange,"""......Shouldn't this be a perfect vessel?"" ","""............Wouldn't this be perfect for a vessel?""",「…………これなら、依り代にはぴったりじゃない？」,[=JP],""".........Не сгодится ли это?""","""............Isso não seria perfeito para um receptáculo?""",「…………這個當依代，不是正合適？」,「…………这个当依代，不是正合适？」,"""... Non dovrebbe essere un medium perfetto questo?""",[=UP]
Ushiromiya Maria,"""It's been a long time. ...Yes. With this, I think even you should be able to perform a summons as you are now. ...And they have no master now. It should be possible for you to become their new master, Ange."" ","""It's been so long since I saw that. ......Yeah. I think even as you are now, you should be able to summon that one. ...And she has no master now. It should be possible for you to become her new master, Ange.""",「懐かしい。……うん。それならば、今の縁寿でも召喚できると思うよ。…それには今、主がいない。縁寿が新しい主になるのも可能なはず。」,「懐かしい。……うん。それならば、今の縁寿でも召喚できると思うよ。…それには今、主がいない。縁寿が新しい主になるのも可能なはず」,"""Прошло немало времени. ......Да. Да, с помощью этого ты сможешь провести призыв даже будучи такой, какая сейчас. ...Вдобавок, у них сейчас нет господина. Для тебя вполне возможно стать их новой хозяйкой, Энджи.""","""Já faz tanto tempo que vi isso. ......Sim. Acredito que como você está agora, seja capaz de invocar isto. ...E ela não tem um mestre no momento. É possível que você se torne seu novo mestre, Ange.""",「好懷念呢。……嗯。我覺得，這個的話，即便是現在的緣壽，也能將之召喚出來哦。…而且她現在無主。緣壽理應有可能當上她的新主人哦。」,「好怀念呢。……嗯。我觉得，这个的话，即便是现在的缘寿，也能将之召唤出来哦。…而且她现在无主。缘寿理应有可能当上她的新主人哦。」,"""È passato un bel po' di tempo. ... Sì. Con questo, credo che anche tu saresti in grado di effettuare un'evocazione nello stato in cui sei. ... E loro non hanno più un padrone ora. Potrebbe essere possibile per te diventarne la nuova padrona, Ange.""",[=UP]
,"Among the things that looked like good vessels, I took the one I thought might possess the strongest magical power... and set it on the side table near the bed with a clatter. ","Among the things that looked like good vessels, I took the one I thought might possess the strongest magical power, and set it on the side table near the bed with a clunk.",依り代になりそうなものの中で、もっとも強い魔力を有するだろうと思うそれを、ゴトリと、ベッド脇のサイドテーブルに置く。,[=JP],"Среди вещей, из которых могли получиться хорошие сосуды, я выбрала тот, который, по моему мнению, был наделён самой большой магической силой, и со стуком положила его на приставной столик рядом с кроватью.","Dentre as coisas que eu procurei para servir de receptáculo, peguei uma na qual eu pensei que tivesse o poder mágico mais poderoso, e a coloquei no criado mudo ao lado da cama.",我將自我感覺能當依代之物中，具有最強魔力的那個東西，“砰”地放到了床邊的桌上。,我将自我感觉能当依代之物中，具有最强魔力的那个东西，“砰”地放到了床边的桌上。,"Tra le cose che sembravano essere un buon medium, presi quello che pensavo potesse avere il potere magico più forte, e lo misi sul lato del tavolo vicino al letto con un tintinnio.",[=UP]
,"It was...a shady-looking, stake-shaped weapon with an occult design inscribed on it. ",It was......a shady‐looking stake‐shaped weapon embellished with an occult design.,それは、……オカルト的な装飾を施された、物騒な杭状の武器。,[=JP],Этот предмет представлял собой... подозрительно выглядящее оружие в форме кола с оккультным рисунком на нём.,"Era......uma arma na forma de uma estaca, com uma aparência sombria, adornada com um design oculto.",那是一根，……施與了神秘學風格裝飾的，嚇人的樁狀武器。,那是一根，……施与了神秘学风格装饰的，吓人的桩状武器。,Era... un'arma dall'aspetto oscuro e a forma di pugnale con inciso un motivo occulto.,[=UP]
,"It was one of the ""Seven Stakes of Purgatory"", which the witch used to offer sacrifices. ","A stake of the ""Seven Stakes of Purgatory"", used by witches to offer sacrifices.",“煉獄の七杭”と呼ばれる、魔女が生贄を捧げるための杭だ。,[=JP],"Это был кинжал — один из семи кинжалов чистилища, которыми ведьма пользовалась для жертвоприношений.","Uma estaca das ""Sete Estacas do Purgatório"", usada por bruxas para oferecer sacrifícios.",此乃被稱為“煉獄七樁”的，為魔女獻上活祭所用的樁。,此乃被称为“炼狱七桩”的，为魔女献上活祭所用的桩。,"Era un pugnale dei ‘Sette Pugnali del Purgatorio’, che la strega aveva usato per compiere sacrifici.",[=UP]
,"When the police had been searching the family's possessions, they had collected a large amount of junk. After the investigation had finished, these had been politely returned to the Ushiromiya family. ","In the course of their search for evidence, the police had collected a large amount of junk.{n}After the investigation had finished, this had been faithfully returned to the Ushiromiya family.",警察は遺留品捜索の際、大量のガラクタを収集。それらは律儀にも捜査終了後、右代宮家に返却された。,警察は遺留品捜索の際、大量のガラクタを収集。{n}それらは律儀にも捜査終了後、右代宮家に返却された。,"Когда полиция проводила обыск среди принадлежащих семье вещей, они насобирали огромное количество предметов, к которым можно было применить эпитет ""мусор"".{n}По завершении расследования их вежливо вернули семье Уширомия.","Na busca por evidências, a polícia coletou uma grande quantidade de evidências sem valor. Depois que a investigação terminou, isso foi fielmente devolvido à família Ushiromiya.",警察在搜索遺物時，收集到了一大堆沒用的玩意兒。{n}在搜查結束後，警察守規矩地把這些東西還給了右代宮家。,警察在搜索遗物时，收集到了一大堆没用的玩意儿。{n}在搜查结束后，警察守规矩地把这些东西还给了右代宫家。,"Quando la polizia aveva ispezionato i possedimenti della famiglia, avevano raccolto un mucchio di paccottiglia. Dopo che l'investigazione era finita, queste erano state educatamente restituite alla famiglia Ushiromiya.",[=UP]
,"...Finding something that I'd seen in the pictures of Maria's diary, I took it home with me. ","......I found something there that I had seen in the illustrations in Maria's diary, and took it home with me.",……その中に、真里亞の日記に記されていた挿絵で見たことのあるものを見つけ、持ち帰ったのだ。,[=JP],"......Я нашла нечто, что видела на картинках в дневника Марии, и забрала с собой домой.","......Eu encontrei algo no meio de tudo que se parecia com as ilustrações no diário da Maria, e peguei para mim.",……在這之中，我發現了在真里亞日記中的插圖上見過之物，帶了回來。,……在这之中，我发现了在真里亚日记中的插图上见过之物，带了回来。,"... Trovai qualcosa che avevo visto nelle immagini del diario di Maria, e lo portai a casa con me.",[=UP]
Ushiromiya Maria,"""......Originally, there were Seven Stakes of Purgatory. ...How pitiful. Now, she's the only one left."" ",""".........Originally, the Seven Stakes of Purgatory were a seven‐piece set. ......Poor girl. She's the only one left now.""",「………煉獄の七杭は、元々、７本で一揃いだった。……気の毒にね。今はもう、彼女１本だけ。」,「………煉獄の七杭は、元々、７本で一揃いだった。……気の毒にね。今はもう、彼女１本だけ」,""".........Изначально кинжалов было семь. ......Какая жалость. Теперь остался лишь один.""",""".........Originalmente, as Sete Estacas do Purgatório eram um conjunto de sete peças. ......Coitada. Ela é a única que restou.""",「………煉獄七樁本為七根一套。……好可怜。現在，就只剩她一根了。」,「………炼狱七桩本为七根一套。……好可怜。现在，就只剩她一根了。」,"""... Originariamente, c'erano sette dei Sette Pugnali del Purgatorio. {n}Che peccato. Ora, questo è l'ultimo rimasto.""",[=UP]
,"Onee-chan smiled, looking lonely... ","Onee‐chan smiled, looking lonely...",お姉ちゃんは寂しそうに微笑む…。,[=JP],"Сестричка улыбнулась, но эта улыбка придала ей одинокий вид...","A onee‐chan sorriu, com uma aparência solitária...",姐姐露出了略帶寂寞的微笑…。,姐姐露出了略带寂寞的微笑…。,"Onee-chan sorrise, sembrando triste...",[=UP]
,I pulled another book out of the knapsack. ,I pulled another book out of the knapsack.,私はナップザックから、もう一冊の本を取り出す。,[=JP],Я извлекла другую книгу из рюкзака.,Eu puxei outro livro da minha mochila.,我從背包中又取出了一本書。,我从背包中又取出了一本书。,Tirai fuori un altro libro dallo zaino.,[=UP]
,"...This was also old-fashioned, and you could tell that it was an occult book just by looking. ","......This was another old‐fashioned, blatantly occult‐related book.",……これまた古めかしい、見るからにオカルト的な本。,[=JP],"......Она выглядела старой и из её облика можно было сделать вывод, что это оккультная книга.","......Era outro livro antigo, claramente relacionado ao ocultismo.",……這同樣是一本古色古香，一看就帶有神秘學色彩的書。,……这同样是一本古色古香，一看就带有神秘学色彩的书。,"... Anche questo aveva un aspetto antiquato, e avresti potuto dire che era un libro dell'occulto semplicemente guardandolo.",[=UP]
,But its contents were plain. It was one of Maria onee-chan's elaborate notebooks. ,"But this, too, was a book to be written in.{n}It was one of Maria onee‐chan's elaborate notebooks.",しかしこれも中身は無地のもの。真里亞お姉ちゃんの凝ったノートの内の一冊だ。,しかしこれも中身は無地のもの。{n}真里亞お姉ちゃんの凝ったノートの内の一冊だ。,Однако содержание её было незамысловатым.{n}Это была одна из диковинных тетрадей Марии онее‐чан.,Mas este também era um livro para ser escrito.{n}Era um dos elaborados cadernos da Maria onee‐chan.,不過，在封皮之下，也是普通的白紙。{n}這是真里亞姐姐那些精緻的筆記本中的一本。,不过，在封皮之下，也是普通的白纸。{n}这是真里亚姐姐那些精致的笔记本中的一本。,Ma i suoi contenuti erano modesti. Era uno degli elaborati taccuini di Maria Onee-chan.,[=UP]
,"This wasn't a diary. ...This was a grimoire, which she had written as a witch. ","This one was not a diary.{n}......It was a grimoire, which she had written as a witch.",こちらは日記ではない。……彼女が魔女として記した、魔導書。,こちらは日記ではない。{n}……彼女が魔女として記した、魔導書。,"Также это был не дневник,{n}а гримуар, написанный ею как ведьмой.","Este não era um diário.{n}......Era um grimório, que ela escreveu como uma bruxa.",這本並不是日記。{n}……而是她身為魔女，所寫下的魔導書。,这本并不是日记。{n}……而是她身为魔女，所写下的魔导书。,"Questo non era un diario. ... Questo era un grimorio, che lei aveva scritto come strega.",[=UP]
,The Seven Stakes of Purgatory are {f:5:Beatrice}'s furniture. Created by her and employed only for her sake. ,The Seven Stakes of Purgatory were {f:5:Beatrice}'s furniture.{n}Created by her and employed only for her sake.,煉獄の七杭は、ベアトリーチェの家具。彼女が生み出し、彼女のためだけに使役される。,煉獄の七杭は、ベアトリーチェの家具。{n}彼女が生み出し、彼女のためだけに使役される。,Семь кинжалов чистилища являлись мебелью {f:5:Беатриче}.{n}Они были созданы ею и взяты себе на службу.,As Sete Estacas do Purgatório eram mobílias da {f:5:Beatrice}.{n}Criadas por ela para servir apenas a si.,煉獄七樁是貝阿朵莉切的家具。{n}由她創造，僅會為她受使役。,炼狱七桩是贝阿朵莉切的家具。{n}由她创造，仅会为她受使役。,I Sette Pugnali del Purgatorio sono mobili di Beatrice. Creati da lei e usati solo per il suo interesse.,[=UP]
,"But since {f:5:Beatrice} is also a witch of Mariage Sorcière, they could be employed by {f:5:Maria}, a witch of the same alliance. ","But since {f:5:Beatrice} was a witch of Mariage Sorcière, they could also be employed by {f:5:Maria}, who was a witch of the same alliance.",でも、ベアトリーチェは、マリアージュ・ソルシエールの魔女でもあるから、同盟の魔女であるマリアにも使役できる。,[=JP],"Но поскольку {f:5:Беатриче} также являлась ведьмой Меридж Сорсьер, то они могли стать на службу {f:5:Марие}, тоже входящей в этот альянс.","Mas como {f:5:Beatrice} era uma bruxa da Mariage Sorcière, elas também poderiam servir à {f:5:Maria}, que era uma bruxa da mesma aliança.",不過，由於貝阿朵莉切是 Mariage Sorcière 的魔女，所以身為同盟魔女的瑪利亞也可使役她們辦事。,不过，由于贝阿朵莉切是 Mariage Sorcière 的魔女，所以身为同盟魔女的玛利亚也可使役她们办事。,"Ma dato che Beatrice è anche una strega della Mariage Sorciere, possono essere usati da MARIA, che è una strega della stessa alleanza.",[=UP]
,"For that reason, the method of summoning the Seven Stakes of Purgatory and how to handle them was written about in great detail in Maria onee-chan's grimoire... ","For that reason, the method of summoning the Seven Stakes of Purgatory and how to handle them was written about in great detail in Maria onee‐chan's grimoire...",その為、真里亞お姉ちゃんの魔導書に、煉獄の七杭たちの召喚方法や、その取り扱いなどが事細かに記されているのだ…。,[=JP],Поэтому метод призыва семи кинжалов чистилища и описание обращения с ними были подробно изложены в гримуаре Марии онее‐чан...,"Por causa disso, o método para a invocação das Sete Estacas do Purgatório e a forma como lidar com elas estava detalhadamente escrita no grimório da Maria onee‐chan...",因此，在真里亞姐姐的魔導書裡，詳盡記述著煉獄七樁的召喚方法，及如何對待她們的注意事項…。,因此，在真里亚姐姐的魔导书里，详尽记述着炼狱七桩的召唤方法，及如何对待她们的注意事项…。,"Per quella ragione, il metodo di come evocare i Sette Pugnali del Purgatorio e come gestirli era descritto con grande dettaglio nel grimorio di Maria Onee-chan...",[=UP]
,"And... ...As another person with their name registered in that alliance, I was also permitted to employ them. ","And...as another person with her name in the same alliance, I was also permitted to employ them.",そして。…同じ同盟に名を連ねる私にも、使役は許されているのだ。,[=JP],"И. ...Будучи особой, чьё имя числилось в упомянутом альянсе, мне тоже дозволялось призвать их себе на службу.","E...sendo alguém na qual seu nome faz parte da mesma aliança, também era permitido a mim o direito de empregá‐las.",另外。…名列同一同盟的我，也被允許使役她們。,另外。…名列同一同盟的我，也被允许使役她们。,"E... come altra persona ad avere il proprio nome nella stessa alleanza, anche a me era concesso ingaggiarli.",[=UP]
Ushiromiya Ange,"""......Which... ...of the Seven Sisters is this stake?"" ",""".........This stake is............which of the Seven Sisters?""",「………この杭は、…………七姉妹の誰？」,[=JP],""".........Этот кинжал... Какой из сестёр он является?""",""".........Esta estaca é............de qual das Sete Irmãs?""",「………這根樁是，…………七姐妹中的誰？」,「………这根桩是，…………七姐妹中的谁？」,"""... Questo pugnale... quale è delle Sette Sorelle?""",[=UP]
Ushiromiya Maria,"""Their characteristics are written about well in my grimoire. ...The Sisters of the Seven Stakes really hate it when you get their names wrong. Remember their names well before summoning them."" ","""Their characteristics are well described in my grimoire. ...The Sisters of the Seven Stakes really hate it when you get their names wrong. Remember their names well before summoning them.""",「真里亞の魔導書に、彼女らの特徴がよく記されてるよ。…七杭の姉妹は、名前を間違えられることをとても嫌う。召喚する前に、よく彼女らの名前を思い出して。」,「真里亞の魔導書に、彼女らの特徴がよく記されてるよ。…七杭の姉妹は、名前を間違えられることをとても嫌う。召喚する前に、よく彼女らの名前を思い出して」,"""Их характеристики подробно описываются в гримуаре Марии. ...Эти сёстры очень не любят, когда их имена путают. Поэтому хорошенько запомни их имена перед призывом.""","""Suas características estão todas descritas no grimório da Maria. ...As Sete Irmãs das Sete Estacas odeiam quando você erra os nomes delas. Grave bem seus nomes antes de invocá‐las.""",「在真里亞的魔導書中，有詳細記著她們的特徵喲。…七樁姐妹非常討厭被人叫錯名字。在召喚前，先好好想起她們的名字來。」,「在真里亚的魔导书中，有详细记着她们的特征哟。…七桩姐妹非常讨厌被人叫错名字。在召唤前，先好好想起她们的名字来。」,"""Le loro caratteristiche erano descritte molto bene nel grimorio di Maria. {n}Le Sorelle dei Sette Pugnali si arrabbiano davvero tanto se sbagli i loro nomi. Ricorda bene i loro nomi prima di evocarle.""",[=UP]
,A packed page told of the Seven Stakes of Purgatory. ...It described the Seven Sisters in great detail. ,A colossal number of pages telling of the Seven Stakes of Purgatory.{n}...They described the seven sisters in great detail.,煉獄の七杭のことを記した膨大なページ。…七人の姉妹のことを事細かに記述してある。,煉獄の七杭のことを記した膨大なページ。{n}…七人の姉妹のことを事細かに記述してある。,"Плотно исписанная страница, рассказывающая о семи кинжалах чистилища.{n}...На ней в подробностях описывались семеро сестёр.",Havia um colossal número de páginas contando sobre as Sete Estacas do Purgatório....Elas descreviam as sete irmãs de forma extremamente detalhada.,在記述著煉獄七樁的那部分紙頁中。{n}…詳盡記載著七位姐妹的事。,在记述着炼狱七桩的那部分纸页中。{n}…详尽记载着七位姐妹的事。,Una pagina piena che parlava dei Sette Pugnali del Purgatorio. ... Descriveva le sette sorelle nel minimo dettaglio.,[=UP]
,...Yes. I think I memorized almost this entire page once in the past. ,"......Yes. Quite a long time ago, I think I learned these pages almost by heart.",……そう。ずいぶん昔には、このページのことをほとんど丸暗記していたような気がする。,[=JP],"......Хорошо. Кажется, однажды в прошлом я запомнила всю страницу.","......Sim. Um bom tempo atrás, eu pensei ter aprendido sobre essas páginas quase que com o meu coração.",……對了。我好像曾在很久以前，幾乎把這些內容全都死記硬背了下來。,……对了。我好像曾在很久以前，几乎把这些内容全都死记硬背了下来。,... Sì. Credo di aver imparato quasi tutta la pagina in passato.,[=UP]
,"The more I read it, the more I start to remember... ","The more I read it, the more I start to remember...",読めば読むほどに、思い出されていく…。,[=JP],"И чем больше читаю, тем больше вспоминаю...","Quanto mais eu lia, mais eu começava a lembrar...",越是讀下去，就越是逐漸想起來了…。,越是读下去，就越是逐渐想起来了…。,"Più la leggo, più comincio a ricordare...",[=UP]
,"By the pictures and characteristics written on the grimoire, I could tell that the stake in my hand was ""Mammon's stake"". ","By the illustrations and identifying characteristics written in the grimoire, I could tell that the stake in my hand was the ""Stake of Mammon"".",魔導書に記された挿絵と特徴から、私の手元にある杭は、「マモンの杭」であることがわかる。,[=JP],"Исходя из картинок и характеристик, предоставленных гримуаром, я смогла выяснить, что кинжалом в моей руке был ""Кинжал Мамоны"".","Pelas ilustrações e identificando as características escritas no grimório, eu pude afirmar que a estaca em minha mão era a ""Estaca de Mammon"".",從魔導書上的插圖與寫下的特徵上看，在我手邊的那根樁，乃是「馬蒙之樁」。,从魔导书上的插图与写下的特征上看，在我手边的那根桩，乃是「马蒙之桩」。,"Dalle immagini e dalle descrizioni scritte nel grimorio, potevo dire che il pugnale che stava nella mia mano era il ‘pugnale di Mammon’.",[=UP]
,"In the past, I hadn't had any stakes, so I'd summoned them without any vessel. ","In the past, I had been summoning them without any vessel, because I never had any stakes.",かつての私は、杭を持ったことがないから、彼女らを依り代なしで呼び出していた。,[=JP],"В прошлом, не имея при себе ни одного из кинжалов, я призывала их без всякого сосуда.","No passado, eu as invoquei sem um receptáculo porque nunca tive suas estacas.",以前的我由於從未拿到過樁，所以是在無依代的情況下召喚出的她們。,以前的我由于从未拿到过桩，所以是在无依代的情况下召唤出的她们。,"In passato, dato che non avevo nessun pugnale, le avevo evocate senza medium.",[=UP]
