Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
Ushiromiya Battler,"""The key will tell you."" ","""The key will tell you.""",[=UP],「その鍵がいずれ、教えてくれるよ。」,「その鍵がいずれ、教えてくれるよ」,"""Ключ подскажет тебе.""","""A chave dirá a você.""",「這把鑰匙到時候會告訴你的。」,「这把钥匙到时候会告诉你的。」,"""La chiave te lo dirà."""
,"The large, gold key hung from Ange's neck. ","The large, gold key hung from Ange's neck.",[=UP],縁寿の首に掛かる、大きな金色の鍵。,[=JP],"С шеи Энджи свисал большой, золотой ключ.",A grande chave dourada pendurada no pescoço de Ange.,掛在緣壽脖子上的，很大的金色鑰匙。,挂在缘寿脖子上的，很大的金色钥匙。,La grande chiave d'oro penzolò dal collo di Ange.
,Her small hand held it tightly... ,Her small hand held it tightly......, Her small hand held it tightly......,それを、縁寿の小さな手が、ぎゅうっと握り締める……。,[=JP],Её маленькая рука крепко сжала его......,Sua mãozinha a segurou com força......,緣壽用自己的小手，緊緊地將它握住……。,缘寿用自己的小手，紧紧地将它握住……。,La sua piccola mano la teneva saldamente...
,"...At that moment, she noticed a book lying on the chapel's altar. ",".........At that moment, she noticed a book lying on the chapel's altar.","......At that moment, she noticed a book lying on the chapel's altar.",………その時、礼拝堂の祭壇の上に置かれた、一冊の本が目に入る。,[=JP],......В этот момент она заметила книгу на алтаре часовни.,".........Naquele momento, ela percebeu um livro descansando sobre o altar da capela.",………這時，放在禮拜堂的祭壇上的一本書，進入了視野。,………这时，放在礼拜堂的祭坛上的一本书，进入了视野。,"... In quel momento, notò un libro che si trovava sull'altare della cappella."
,"The book had a lock on it and was sealed, so that it could not be read without a key. ","The book had a lock on it, and was sealed so that it could not be read without a key."," The book had a lock on it, and was sealed so that it could not be read without a key.",その本は、自らに錠前を掛け、鍵がなければ読めないように封印されていた。,[=JP],"Книга была заперта, чтобы её нельзя было прочитать без ключа.",O livro tinha uma tranca e estava selado para que não pudesse ser lido sem a respectiva chave.,這本書上掛著一把鎖，沒有鑰匙打開的話就無法閱讀，書就這樣被封印著。,这本书上挂着一把锁，没有钥匙打开的话就无法阅读，书就这样被封印着。,"Il libro aveva un lucchetto su di esso, ed era sigillato così che non potesse essere letto senza una chiave."
,Ange looked between the key hanging at her chest and the book on the altar. ,Ange looked between the key hanging at her chest and the book on the altar., Ange looked between the key hanging at her chest and the book on the altar.,縁寿は、自分の胸元の鍵と、祭壇のその本を、じっと見比べる。,[=JP],"Энджи посмотрела сначала на ключ у неё на груди, а потом на книгу на алтаре.",Ange alternou seu olhar entre a chave em seu pescoço e o livro sobre o altar.,緣壽看了看自己胸前的鑰匙，又和祭壇上的書比了比。,缘寿看了看自己胸前的钥匙，又和祭坛上的书比了比。,Ange guardò alternativamente la chiave che pendeva sul suo petto e il libro sull'altare.
Ushiromiya Ange,"""......Will this key unlock that book?"" ",""".........Will this key unlock that book?""",[=UP],「………あの本は、この鍵で開くの？」,[=JP],""".........А этот ключ откроет ту книгу?""",""".........Esta chave abre aquele livro?""",「………那本書，用這把鑰匙打得開嗎？」,「………那本书，用这把钥匙打得开吗？」,"""... Questa chiave aprirà quel libro?"""
Ushiromiya Battler,"""Don't touch that book."" ","""Don't touch that.""",[=UP],「あの本は駄目だ。」,「あの本は駄目だ」,"""Не трогай её.""","""Não toque nele.""",「那一本不行。」,[=CHT],"""Non toccarlo."""
,"His sudden, forceful response made Ange flinch. ","His sudden, forceful response made Ange flinch.",[=UP],ぴしゃりと言われ、縁寿は少し面食らう。,[=JP],"От его неожиданного, резкого ответа Энджи вздрогнула.","De repente, a firme resposta dele fez com que Ange vacilasse.",被這樣斷然拒絕，緣壽有些不知所措。,被这样断然拒绝，缘寿有些不知所措。,La sua improvvisa ed energica risposta fece trasalire Ange.
,"Battler, realizing he had scared Ange, softened his expression. ","Battler, realizing he had scared Ange, softened his expression."," Battler, realizing he had scared Ange, softened his expression.",戦人は、縁寿を怖がらせてしまったことに気付き、表情を和らげて言う。,[=JP],"Баттлер, поняв, что напугал её, смягчил выражение.","Battler, ao perceber que havia assustado Ange, aliviou sua expressão.",戰人察覺到自己嚇著緣壽了，緩和了表情說道。,战人察觉到自己吓着缘寿了，缓和了表情说道。,"Battler, capendo di averla spaventata, addolcì la sua espressione."
Ushiromiya Battler,"""Come on, let's go. ...I'm inviting you to come back to October 4th, 1986."" ","""Come on, let's go. .........I'm inviting you to come back to October 4th, 1986.""","""Come on, let's go. ......I'm inviting you to come back to October 4th, 1986.""",「さぁ、行こう。………１９８６年１０月４日に、縁寿を招待するよ。」,「さぁ、行こう。………１９８６年１０月４日に、縁寿を招待するよ」,"""Ну же, пойдём. ......Я приглашаю тебя вернуться на 4 октября 1986 года.""","""Venha, vamos indo. .........Irei convidá‐la para a Rokkenjima de 1986.""",「來，走吧。………1986 年 10 月 4 日，我會招待緣壽去那一天。」,「来，走吧。………1986 年 10 月 4 日，我会招待缘寿去那一天。」,"""Avanti, andiamo. ... Ti sto invitando a tornare al 4 Ottobre, 1986."""
Ushiromiya Ange,"""Okay."" ","""Okay.""",[=UP],「うん。」,「うん」,"""Да.""","""Sim.""",「嗯。」,[=CHT],"""Ok."""
,"Battler held out his hand, and Ange gripped it tightly. ","Battler held out his hand, and Ange gripped it tightly.",[=UP],戦人が手を伸ばすと、縁寿は固くそれを握る。,[=JP],"Баттлер протянул руку, и Энджи крепко сжала её.",Battler esticou sua mão e Ange a agarrou com força.,戰人伸出了手，緣壽把那隻手緊緊握住。,战人伸出了手，缘寿把那只手紧紧握住。,"Battler porse la sua mano, e Ange la strinse saldamente."
,"Then, they started walking. ","Then, they started walking."," Then, they started walking.",そして二人は、歩き出す。,[=JP],Затем они пошли.,"Assim, eles começaram a andar.",然後兩人，邁出了腳步。,然后两人，迈出了脚步。,"Quindi, iniziarono a camminare."
,A brilliant light lay beyond the chapel's door. ,A brilliant light lay beyond the chapel's door., A brilliant light lay beyond the chapel's door.,礼拝堂の扉の向こうには、眩い光が。,[=JP],За дверью часовни было очень ярко.,Uma luz brilhante estendia‐se para além da porta da capela.,向著禮拜堂的門的對面的，那道炫目光芒。,向着礼拜堂的门的对面的，那道炫目光芒。,Una luce splendente si trovava dietro la porta della cappella.
,That blinding light peeked in through the cracks around the door. ,That blinding light peeked in through the cracks around the door., That blinding light peeked in through the cracks around the door.,目が潰れそうになるほどの光が、扉の隙間から鋭く入ってくる。,[=JP],Через щели вокруг двери просачивался ослепительный свет.,Essa luz cegante permeou através e ao redor da porta.,強烈得要將眼睛晃瞎一般的光，從門縫間射了進來。,强烈得要将眼睛晃瞎一般的光，从门缝间射了进来。,Quella luce accecante entrò dagli spiragli intorno alla porta.
,...The brother and sister began to walk through to the other side... ,......The brother and sister began to walk through to the other side......,[=UP],……その向こうに、二人は歩いていく……。,[=JP],......Брат и сестра направились к другой стороне......,......O irmão e sua irmã começaram a caminhar em direção ao outro lado......,……兩人向著那道光的方向，走了過去……。,……两人向着那道光的方向，走了过去……。,... Fratello e Sorella cominciarono a camminare verso l'altro lato...
Ushiromiya Battler,"{a:c: Welcome back, Ange. {n}This will be the last time.} ","{a:c:Welcome back, Ange.{n} And after this, that will be it.}","{a:c: Welcome back, Ange.{n} This will be the last time.}",{a:c:お帰り、縁寿。{n}そしてこれで最後なんだ。},[=JP],"{a:c: С возвращением, Энджи.{n} В последний раз}.","{a:c:Bem‐vinda de volta, Ange.{n} Este será o último.}",{a:c:歡迎回來，緣壽。{n}這就是最後了。},{a:c:欢迎回来，缘寿。{n}这就是最后了。},"{a:c: Bentornata, Ange. {n}Questa sarà l'ultima volta. }"
Ushiromiya Battler,{a:c: I'm opening this game board one last time...for you...} ,"{a:c:Just for you, I'll open this game board...{n}......one final time......}","{a:c: I'm opening this game board one last time......for you, Ange......}",{a:c:このゲーム盤を、縁寿のために、{n}……最後にもう一度だけ開く……。},[=JP],"{a:c: Я открываю эту игровую доску в последний раз{n}.........для тебя, Энджи......}","{a:c:Apenas para você, eu abrirei o tabuleiro...{n}......pela última vez......}",{a:c:這個遊戲盤，為了緣壽，{n}……將展開最後一次……。},{a:c:这个游戏盘，为了缘寿，{n}……将展开最后一次……。},"{a:c: Sto aprendo questa scacchiera un'ultima volta... per te, Ange... }"
