Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Turkish (TR)
,"""Then let's use that anger to fuel our learning. ...Changing anger into power is my magic. I've saved you from a bunch of tight spots with that power, letting you to succeed when you shouldn't have. As long as you have my magic, there's nothing you can't do."" ","""Then let's use that anger and learn from it. ......Changing anger into power is my magic. I've saved you from several predicaments with that power, and allowed you to achieve things that should have been impossible for you. As long as you have my magic, there's nothing you can't do.""","""Then let's use that anger and learn from it. ......Changing anger into power is my magic. I've saved you from several predicaments with that power, and allowed you to succeed where you shouldn't have succeeded. As long as you have my magic, there's nothing you can't do.""",「ならば、その怒りを勉強に費やしましょうよ。……怒りを力に換えるのが私の魔法。この力で、何度もあなたの窮地を救い、あなたは成せないはずのことを成し遂げてきた。私の魔法がある限り、あなたに出来ないことなど有りはしないわ。」,「ならば、その怒りを勉強に費やしましょうよ。……怒りを力に換えるのが私の魔法。この力で、何度もあなたの窮地を救い、あなたは成せないはずのことを成し遂げてきた。私の魔法がある限り、あなたに出来ないことなど有りはしないわ」,"""Тогда давай воспользуемся этой злостью и извлечём из неё урок. ......Моя магия заключается в преображении злости и гнева в силу. При помощи этой силы я выручила тебя в нескольких затруднительных ситуациях и позволила добиться успеха там, где ты не должна была его добиться. Пока с тобой будет моя магия — не будет ничего, что ты не могла бы сделать.""","""Então vamos usar essa raiva, aprender com ela. ......Transformar raiva em poder é a minha magia. Eu já salvei você de diversas dificuldades com esse poder, e também permiti que você alcançasse coisas que deveriam ser impossíveis para você. Enquanto tiver a minha magia, não há nada que você não possa fazer.""",「那麼，就把這憤怒花在學習上啊。……化憤怒為力量是我的魔法。這種力量多次幫助你擺脫了困境，讓你做成了原本無法做成之事。只要有我的魔法在，你就根本沒有做不到的事。」,「那么，就把这愤怒花在学习上啊。……化愤怒为力量是我的魔法。这种力量多次帮助你摆脱了困境，让你做成了原本无法做成之事。只要有我的魔法在，你就根本没有做不到的事。」,"""Allora usiamo quella rabbia e impariamo da quella. ... La mia magia è trasformare la collera in forza. Ti ho salvato da diverse situazioni difficili, e ti ho permesso di riuscire in quello in cui non avresti dovuto riuscire. Finché hai la mia magia, non c'è nulla che tu non possa fare.""","""O zaman bu öfkeyi kullanalım ve bundan faydalanalım. ......Öfkeyi güce dönüştürmek benim büyüm. Bu güçle seni birçok çıkmazdan kurtardım ve senin için imkansız olması gereken şeyleri başarmanı sağladım. Benim büyüme sahip olduğun sürece, başaramayacağın hiçbir şey yok."""
Ushiromiya Eva,"""...That's right. Anger has always been my driving force. I wonder when it was I forgot that..."" ","""......That's right. Anger has always been my driving force. I wonder when it was that I forgot that...""",[=UP],「……そうね。怒りはいつも私の原動力だったわ。いつからそれを忘れてしまったのかしら…。」,「……そうね。怒りはいつも私の原動力だったわ。いつからそれを忘れてしまったのかしら…」,"""......Точно. Злость всегда была моей движущей силой. Интересно, когда же я об этом забыла...""","""......Isso mesmo. A raiva sempre foi a força que me moveu. Eu me pergunto quando foi que me esqueci disso...?""",「……是呢。憤怒一直都是我的原動力。我是在什麼時候把這給忘了呢…」,「……是呢。愤怒一直都是我的原动力。我是在什么时候把这给忘了呢…」,"""... Già. La rabbia è sempre stata la forza che mi ha guidato. Mi chiedo quand'è che l'ho dimenticato...""","""......Bu doğru. Öfke her zaman beni harekete geçiren bir güç oldu. Acaba bunu ne zaman unuttum..."""
,"""If you can remember me again, that magic will become ours once more. Come on, let's turn that anger into power and study even harder, okay? I know we've still got a lot to learn."" ","""If you have remembered me again, that magic is ours once more. Come on, let's turn that anger into power, and endeavor in our studies even more, alright? I'm sure that we still have a lot more studying that we need to do.""","""If you can remember me again, that magic will become ours once more. Come on, let's turn that anger into power, and endeavor in our studies even more, alright? I'm sure that we still need to study a lot more.",「私を思い出せたなら、あの魔法の力は再び私たちのもの。さぁ、その怒りを力に換えて、もっともっと勉強に励みましょう？　きっと、私たちにはまだまだ勉強が足りないのよ。,「私を思い出せたなら、あの魔法の力は再び私たちのもの。さぁ、その怒りを力に換えて、もっともっと勉強に励みましょう？　きっと、私たちにはまだまだ勉強が足りないのよ」,"""Если вновь вспомнишь меня, эта магия снова станет нашей. Ну же, давай превратим эту злость в силу и приложим ещё больше сил в обучении, ладно? Уверена, нам нужно будет научиться ещё много чему.""","""Se você se lembrar de mim novamente, a magia mais uma vez será sua. Vamos, vamos transformar essa raiva em poder, e então vamos nos empenhar em nossos estudos ainda mais, o que acha? Eu tenho certeza que ainda tem muita coisa que precisamos estudar.""",「既然把我想起來了，那這魔法之力就再度成為了我們的東西。來，將憤怒化為力量，更加更加地勤奮學習吧？我們一定還學得遠遠不夠喲。」,「既然把我想起来了，那这魔法之力就再度成为了我们的东西。来，将愤怒化为力量，更加更加地勤奋学习吧？我们一定还学得远远不够哟。」,"""Se puoi ricordarmi ancora, quella magia diventerà ancora una vota nostra. {n}Su, trasformiamo quell'impeto in forza, e gli sforzi nei nostri studi, ancora di più, va bene? Sono sicura che abbiamo bisogno di studiare ancora di più.","""Eğer beni tekrar hatırladıysan, bu büyü bir kez daha bizim demektir. Hadi, bu öfkeyi güce dönüştürelim ve yaptığımız çalışmalara daha fazla gayret gösterelim, tamam mı? Daha yapmamız gereken çok şey olduğuna eminim."""
,"""Let's go to college, study more and more, get excellent grades, and drive Krauss into a corner. ","""Let's go to college, study more and more, get excellent grades, and drive Krauss into a corner."""," Let's go to college, study more and more, get excellent grades, and drive Krauss into a corner. ",大学院に進んで、もっといっぱい勉強して、優れた成績を出して、蔵臼を追い詰めてやりましょう。,「大学院に進んで、もっといっぱい勉強して、優れた成績を出して、蔵臼を追い詰めてやりましょう」,"""Давай поступим в колледж, будем ещё больше учиться, получать великолепные оценки и загоним Краусса в угол.""","""Vamos para a universidade, estudar mais e mais, tirar excelentes notas e encurralar o Krauss.""",「進入研究生院，再去學好多好多東西，拿出優秀的成績，來刺激藏臼。」,「进入研究生院，再去学好多好多东西，拿出优秀的成绩，来刺激藏臼。」,"Andiamo alle superiori, studiamo ancora e ancora, e spingiamo Krauss in un angolo.","""Üniversiteye gidelim, daha çok çalışalım, mükemmel notlar alalım ve Krauss'u köşeye sıkıştıralım."""
,"That guy acts like we're nothing, but I'm sure he feels pretty well cornered in the inside. If only he'd just learn his place and die. If he did, we could become the Head. Rudolf won't take the job. That kid can't go against us."" ","""That guy makes a face as though we're nothing, but I'm sure he feels pretty well cornered in his heart. If only he would just learn his place and die. If he did, we could become the head. Rudolf will be nice enough to decline. That kid can't go against us.""","That guy makes a face as though we're nothing, but I'm sure he feels pretty well cornered in his heart. If only he would just learn his place and die. If he did, we could become the head. Rudolf would just refuse. That kid can't go against us.""",あいつ、何でもなさそうな顔をしてるけど、きっと心は相当追い詰められてるわ。早く身の程を思い知って死んじゃえばいいのに。そうすれば、私たちが当主になれる。留弗夫は辞退してくれるわ。あの子は私には逆らえないもの。」,「あいつ、何でもなさそうな顔をしてるけど、きっと心は相当追い詰められてるわ。早く身の程を思い知って死んじゃえばいいのに。そうすれば、私たちが当主になれる。留弗夫は辞退してくれるわ。あの子は私には逆らえないもの」,"""Этот парень вечно делает такое лицо, словно мы ничто, но уверена, в глубине души он чувствует себя загнанным в угол. Если бы он только узнал своё место, то сдох бы. Случись это — и мы можем стать главой. А Рудольф просто откажется. Этот мальчишка не может пойти против нас.""","""Aquele cara nos olha como se não fôssemos nada, mas eu tenho certeza que, no fundo da sua alma, ele está bem preocupado. Se ele apenas aprendesse qual é o seu lugar e morresse. Se ele fizesse isso, nós nos tornaríamos a chefe. O Rudolf seria gentil o bastante para recusar. Aquela criança não consegue ir contra nós.""",「那傢伙，別看他擺出副啥事沒有的臉，內心一定已經被逼上了絕路。快點明白自己是塊什麼料，去死好了。這樣一來，我們就能當上當主。留弗夫是會自己推辭的。那孩子是不會反抗我的。」,「那家伙，别看他摆出副啥事没有的脸，内心一定已经被逼上了绝路。快点明白自己是块什么料，去死好了。这样一来，我们就能当上当主。留弗夫是会自己推辞的。那孩子是不会反抗我的。」,"Quello là fa un'espressione come per dire che non siamo nulla, ma sono sicura che si senta all'angolo nel suo cuore. Se solo capisse la sua posizione e morisse. Se lo facesse, potremmo essere noi il capo. Rudolf si rifiuterebbe e basta. {n}Quel ragazzo non può andare contro di noi.""","""Herif sanki biz bir hiçmişiz gibi yüzünü buruşturuyor ama eminim kalbinde çok iyi köşeye sıkışmış hissediyordur. Keşke haddini bilse ve ölseydi. Eğer ölseydi, reis biz olurduk. Rudolf reddetme nezaketini gösterirdi. O çocuk bize karşı gelemez."""
Ushiromiya Eva,"""......Stop that. ...No matter how much more I study, Father still won't accept me."" ",""".........Stop that. ...Even if I study more, Father still won't accept me.""",[=UP],「………よして。…もう、これ以上、勉強しても、お父様は私を認めてくれないのよ。」,「………よして。…もう、これ以上、勉強しても、お父様は私を認めてくれないのよ」,""".........Перестань. ...Даже если я буду учиться всё больше, отец всё равно не примет меня.""",""".........Pare com isso. ...Mesmo que eu estude mais, o pai nunca vai me aceitar.""",「………好了啦。…再怎麼去學習，爸也不會認可我的。」,「………好了啦。…再怎么去学习，爸也不会认可我的。」,"""... Fermati. ... Anche se studio di più, mio Padre non mi accetterà.""",""".........Kes şunu. ...Daha fazla çalışsam bile, babam beni kabul etmeyecek."""
,"""Why not...?"" ","""Why...?""",[=UP],「どうして…？」,[=JP],"""Почему?..""","""Por quê...?""",「為什麼…？」,「为什么…？」,"""Perché...?""","""Neden...?"""
Ushiromiya Eva,"""Father told me to be womanly... Because I'm a woman, no matter how hard I tried, Father wouldn't have passed the Headship on to me, even if I had been born before Nii-san... ","""Father is telling me to be womanly... No matter how hard I try, as long as I'm a woman, Father will never pass on the headship to me... even if I'd been born before Nii‐san...""","""Father told me to be womanly... No matter how hard I try, as long as I'm a woman, even if I had been born before Nii-san, Father wouldn't pass on the headship to me...",「お父様は、私に女らしくしろと言っているのよ…。私がどれだけ頑張ろうと、女である限り、例え私が兄さんより先に生まれていたとしても、私に当主を譲ることはないのよ…。,「お父様は、私に女らしくしろと言っているのよ…。私がどれだけ頑張ろうと、女である限り、例え私が兄さんより先に生まれていたとしても、私に当主を譲ることはないのよ…」,"""Отец сказал мне быть женственной... Как бы я ни старалась, пока я остаюсь женщиной, даже родись я перед нии‐саном, отец не передаст главенство мне...""","""Ele está me dizendo para ser mais feminina... Não importa o quanto eu tente, enquanto eu for mulher, ele nunca vai passar a liderança para mim... mesmo se eu tivesse nascido antes do nii‐san...""",「爸說了，叫我像個女人樣…。不管怎麼努力，只要我還身為女人，即使我先於哥出生，也不會把當主讓給我…」,「爸说了，叫我像个女人样…。不管怎么努力，只要我还身为女人，即使我先于哥出生，也不会把当主让给我…」,"""Papà mi ha detto di essere una donna... per quanto provi duramente, finché sarò una donna, anche se fossi nata prima di Nii-san, mio Padre non passerebbe a me il comando...","""Babam bana kadınsı olmamı söylüyor... Ne kadar çabalarsam çabalayayım, kadın olduğum için babam reisliği asla bana devretmeyecek... Nii-san'dan önce doğmuş olsaydım bile..."""
Ushiromiya Eva,"No matter how much effort I put in, ...I can't become anything more than a woman. I won't be acknowledged. Nii-san doesn't try at all, but I can't surpass him. He'll look down on me forever..."" ","""No matter how much effort I put in, ......I can't become anything more than a woman. I won't be accepted. I can't surpass Nii‐san, who doesn't try at all. I will always be looked down upon..."""," No matter how much effort I put in, ......I can't become anything more than a woman. I won't be accepted. I can't surpass Nii-san, who doesn't try at all. I will always be looked down upon...""",私がどれだけ努力を重ねようとも、……私は女以上の何者にもなれない。認められない。何の努力もしない兄さんを、超えられない。永遠に見下され続ける…。」,「私がどれだけ努力を重ねようとも、……私は女以上の何者にもなれない。認められない。何の努力もしない兄さんを、超えられない。永遠に見下され続ける…」,"""Сколько бы сил я ни прилагала... я не могу стать ни чем иным, кроме как женщиной. Меня не примут. Я не могу превзойти нии‐сана, который вообще не старается. На меня вечно будут смотреть свысока...""","""Não importa quanto esforço eu coloque, ......não posso ser nada mais do que uma mulher. Eu não serei aceita. Eu não conseguirei superar o nii‐san, que sequer tenta. Eu sempre serei menosprezada...""",「我不管積累多少努力，……都不可能成為並非女人的別的誰。不會獲得認可。超不過，沒有付出任何努力的哥哥。永遠被人瞧不起…」,「我不管积累多少努力，……都不可能成为并非女人的别的谁。不会获得认可。超不过，没有付出任何努力的哥哥。永远被人瞧不起…」,"Per quanti sforzi faccia... non posso diventare che una donna. Non sarò accettata. Non posso sorpassare Nii-san, che non prova per niente. Sarò guardata con disprezzo...""","""Ne kadar çaba gösterirsem göstereyim, ......bir kadından fazlası olamam. Kabul edilmeyeceğim. Hiç çaba göstermeyen Nii-san'ı geçemem. Her zaman hor görüleceğim..."""
,"""...Father and Krauss are the worst kind of male supremacists. If only they'd just die."" ","""...Father and Krauss are the worst kind of male supremacists. I wish they'd just fucking die already.""","""...Father and Krauss are the worst kind of male supremacists. If only they'd just die.""",「…お父様も蔵臼も、最低の男尊主義者だわ。早く死んじゃえばいいのに。」,「…お父様も蔵臼も、最低の男尊主義者だわ。早く死んじゃえばいいのに」,"""...Отец и Краусс — худшие из шовинистов. Вот бы они сдохли.""","""...O pai e o Krauss são os piores tipos de supremacistas masculinos. Eu queria que eles morressem bem {i:devagar}.""",「…爸也好藏臼也好，都是最差勁的男權主義者。都快去死掉，就好了。」,「…爸也好藏臼也好，都是最差劲的男权主义者。都快去死掉，就好了。」,"""... Mio Padre e Krauss sono il peggior tipo di uomini dominanti. {n}Se solo morissero.""","""...Babam ve Krauss erkek üstünlükçülerinin en kötüleri. Keşke ölüp gitseler."""
,...She cursed them for my sake. ,......She would curse in my place.,......She cursed them for my sake.,……彼女は、私の代わりに悪態を付く。,[=JP],......Она поносила их ради меня.,......Ela os amaldiçoou no meu lugar.,……她，代我罵出了髒話。,……她，代我骂出了脏话。,... Li maledisse per il mio bene.,......Benim yerime de küfrederdi.
,"Words that I couldn't say so easily, ...she said for me. ","Words that I couldn't say carelessly, ...she would say for me."," Words that I couldn't say carelessly, ...she said for me.",私には滅多なことでは口にできない言葉を、…彼女が私に代わって口にしてくれる。,[=JP],"Слова, которые я не могла произнести по неосторожности... она произносила их за меня.",Palavras que eu não conseguiria dizer de forma tão descuidada... ela as disse por mim.,代替我將，平常絕不會輕易說出口的話，罵了出來…。,代替我将，平常绝不会轻易说出口的话，骂了出来…。,Le parole che io non potevo dire con noncuranza... le disse per me.,"Benim düşünmeden söyleyemeyeceğim sözleri, ...o benim için söylerdi."
,"Even though I understand that she's just another part of myself inside of me, ...I feel like she's the only ally I have who can sympathize with me. ","...Even though I understood that she was just another part of myself inside of me, ...I felt like she was the only ally I had who would sympathize with me."," Even though I understood that she was just another part of myself inside of me, ...I felt like she was the only ally I had who could sympathize with me.",…内なるもうひとりの自分であるとわかっていても、…私にとっては、唯一同情してくれる味方なのだ。,[=JP],"И хотя я понимала, что она была лишь частью меня во мне... Мне казалось, что она была единственной союзницей, способной посочувствовать мне.","...Mesmo eu entendo que ela era apenas uma parte de mim que estava na minha consciência, ...eu senti como se ela fosse a minha única aliada que simpatizava comigo.",…儘管明白，她是我內心之中的另一個我，…對我來說，她也是唯一同情我的好伙伴。,…尽管明白，她是我内心之中的另一个我，…对我来说，她也是唯一同情我的好伙伴。,Anche se capivo che era solo un'altra parte di me stessa dentro di me... mi sembrava essere l'unica alleata che avevo che poteva simpatizzare con me.,"...Onun benim içimdeki başka bir parçam olduğunu anlamış olsam da, ...bana sempati gösterecek tek müttefikimin o olduğunu hissediyordum."
,"However, while sympathy might do a lot to calm my heart, it won't do anything to improve my current situation. ...In the end, she can only console me for however long it takes me to be dejected by reality...before I finally accept it. ","However, while sympathy might calm my heart somewhat, it wouldn't do anything to improve my current situation. ......In the end, she could only console me when I was dejected by reality, and for the amount of time I needed to accept it."," However, while sympathy could calm my heart significantly, it wouldn't do anything to improve my current situation. ......In the end, she could only console me when I was dejected by reality, and when I needed to accept it.",だが、同情は心を幾分か楽にしてくれるかもしれないが、現状を何も改善してはくれない。……結局、現実に落胆し、それを受け容れるのに必要な時間分だけ、心を慰めてくれるだけなのだ。,[=JP],"Однако хоть сочувствие и могло значительно успокоить моё сердце, ему было не под силу сделать нечто большее в сложившейся ситуации. ......В конечном итоге, она могла лишь утешать меня, когда я была подавлена и угнетена реальностью и должна была смириться с ней.","Entretanto, enquanto essa simpatia acalmava meu coração de alguma forma, isso não iria melhorar em nada a minha situação atual. ......No fim, ela só podia me consolar quando eu fui rejeitada pela sociedade, e também pelo tempo que eu precisei para aceitar isso.",不過，同情雖或許會讓心裡稍微好受些，但對現狀卻不會有任何改善。……結果，這就僅僅是在接受無可奈何的現實所必需的那段時間中，安慰一下心靈而已。,不过，同情虽或许会让心里稍微好受些，但对现状却不会有任何改善。……结果，这就仅仅是在接受无可奈何的现实所必需的那段时间中，安慰一下心灵而已。,"Però, anche se la comprensione poteva calmare molto il mio cuore, non migliorava la mia situazione. ... Alla fine, mi poteva solo consolare quando ero abbattuta dalla realtà, e quando dovevo accettarlo.","Yine de, sempati kalbimi biraz sakinleştirse de, mevcut durumumu iyileştirmek adına hiçbir şey yapamazdı. ......Sonuç olarak, beni sadece gerçekler karşısında kederlendiğimde ve bunu kabullenmem için gereken süre boyunca teselli edebilirdi."
Ushiromiya Eva,"""...Thank you. You've done enough. ...Now that it's come to this, I'll become such a good lady that it'll shock even Father... I'll find an excellent man that Nii-san can't even compare to..."" ","""......Thank you. That's enough, now. ...Now that it's come to this, I'll become such a good lady that I'll surprise Father... I'll find an excellent man that Nii‐san can't even be compared with—""","""......Thank you. That's good enough. ...Now that it's come to this, I'll become such a good lady that I'll surprise Father... I'll find an excellent man that Nii-san can't even be compared with...""",「……ありがとう。もう結構よ。…こうとなったら、お父様が驚くような淑女になってやるわ…。兄さんなんかとは比べ物にならない、立派な男を捜して…、」,[=JP],"""......Спасибо. Этого вполне хватит. ...Раз так сложилось, я стану столь замечательной леди, что удивлю даже отца... И я найду себе мужа, которому нии‐сан в подмётки не годится...""","""......Obrigada. Já é o bastante. ...Agora que chegou a isso, eu irei me tornar uma esplêndida dama que vai surpreender o pai... Eu irei encontrar um excelente homem, ao qual o nii‐san não vai ser capaz de se comparar—""",「……謝謝。已經夠了。…事已至此，那我就去成為讓爸大吃一驚的淑女…。去找個，哥根本比不上的傑出男性…，」,「……谢谢。已经够了。…事已至此，那我就去成为让爸大吃一惊的淑女…。去找个，哥根本比不上的杰出男性…，」,"""... Grazie. Hai fatto abbastanza. ... Ora che siamo arrivate a questo, diventerò una lady talmente elegante da sorprendere mio Padre... troverò un uomo eccellente, con il quale Nii-san non può neanche essere comparato...""","""......Teşekkür ederim. Bu kadarı yeterli. ...İş bu noktaya geldiğine göre, o kadar iyi bir hanımefendi olacağım ki, babamı şaşırtacağım... Nii-san'ın bile kıyaslanamayacağı mükemmel bir adam bulacağım—"""
,"""You can't do that."" ","""No, that's no good.""","""You can't do that.""",「駄目、そんなの。」,「駄目、そんなの」,"""Ты не можешь так поступить.""","""Não, isso não é bom.""",「這可不行。」,「这可不行。」,"""Non puoi farlo.""","""Olmaz, bu iyi değil."""
Ushiromiya Eva,"""............"" ","""............""",[=UP],「…………。」,「…………」,[=UP],[=UP],[=JPC],[=JPC],"""...""",[=UP]
,"""She"" rejected my timid thoughts. ","""She"" rejected my timid thoughts.",'She' rejected my timid thoughts.,“彼女”は、私のいじけた考えを一蹴する。,[=JP],"""Она"" отвергла мои робкие мысли.","""Ela"" rejeitou meus tímidos pensamentos.",“她”，一腳踢散了我懦弱的想法。,“她”，一脚踢散了我懦弱的想法。,‘Lei’ rifiutò i miei timidi pensieri.,"""O"" benim bu ürkek düşüncelerimi reddetti."
,"...I understand. ...Because ""she"" is me, I understand. ","...I know why.{n}......Because ""she"" is me, I know why.","...I understand. ......Because 'she' is me, I understand.",…わかっているのだ。……“彼女”は私だからこそ、わかっているのだ。,…わかっているのだ。{n}……“彼女”は私だからこそ、わかっているのだ。,"...Я понимаю.{n}......Поскольку ""она"" — это я, я понимаю.","...Eu sei o motivo.{n}......Porque ""ela"" sou eu, eu sei o motivo.",…她明白我的心思。{n}……正因為“她”就是我，所以明白。,…她明白我的心思。{n}……正因为“她”就是我，所以明白。,"... Capisco. ... Poiché ‘lei’ è me, lo capisco.","...Nedenini biliyorum.{n}......Nedenini biliyorum, çünkü ""o"" benim."
,"""All Father said was that he won't let a woman succeed the Headship ""now"". But even that's just a rule Father made up. Since he made it, he can get rid of it."" ","""Father says, or at least {i:right now} he says, that he won't let a woman succeed the head. But that's never been anything more than a rule that Father decided on. Since Father decided on it, he can abolish it.""","""Father said that he won't let a woman succeed the head 'now'. But that's never been anything more than a rule that Father decided on. Since Father decided on it, he can reject it.",「お父様は、少なくとも“今”は、女に当主を継がせないと言っている。でも、それすらも所詮はお父様が決めたルールでしかないの。お父様が決めた以上、それを破棄出来るのもお父様。,「お父様は、少なくとも“今”は、女に当主を継がせないと言っている。でも、それすらも所詮はお父様が決めたルールでしかないの。お父様が決めた以上、それを破棄出来るのもお父様」,"""Отец сказал, что не позволит женщине наследовать звание главы {i:на данный момент}. Но это не более, чем правило, установленное им самим. Раз он его сам установил, может сам и снять.""","""O pai dizia, ou ao menos {i:agora} ele diz, que não vai permitir que uma mulher assuma a liderança da família. Mas isso nunca foi mais do que uma regra que ele mesmo decidiu. Já que foi ele quem decidiu assim, ele também pode abolir tal regra.""",「爸，起碼在“現在”，是說著女人不能繼承當主。但是，這歸根結底不就是爸定的規矩嗎？既然是爸定的，那當然也能由爸廢除。」,「爸，起码在“现在”，是说着女人不能继承当主。但是，这归根结底不就是爸定的规矩吗？既然是爸定的，那当然也能由爸废除。」,"""Papà ha detto che non accetterà che una donna succeda al capo ‘ora’. Ma quella non è altro che una regola che nostro Padre ha deciso. Poiché l'ha decisa lui, lui può rifiutarla.","""Babam bir kadının başa geçmesine izin vermeyeceğini söylüyor, ya da en azından {i:şu anda} öyle söylüyor. Ama bu hiçbir zaman babamın karar verdiği bir kuraldan öte bir şey olmadı. Babam buna karar verdiğine göre, kaldıradabilir."""
,"""......Human feelings can change far more often than the number of sand grains on a beach. Krauss is such a stupid man that Father's eventually gonna realize it, even if we don't prove it for him. ",""".........People's feelings can change many more times than there are grains of sand on a beach. Even if we don't prove that Krauss is a stupid man, Father will eventually realize it.""",".........People's feelings can change many more times than there are grains of sand on a beach. Even if we don't prove that Krauss is a stupid man, Father will eventually realize it.",………人の気持ちなど、浜の真砂が尽きるより遥かに早く変わるわ。蔵臼が愚鈍な男であることは、私たちが立証しなくても、やがてお父様も理解する。,「………人の気持ちなど、浜の真砂が尽きるより遥かに早く変わるわ。蔵臼が愚鈍な男であることは、私たちが立証しなくても、やがてお父様も理解する」,""".........Чувства людей могут измениться больше раз, чем число песчинок на морском берегу. Если мы даже не докажем, что Краусс глуп, отец со временем сам это поймёт.""",""".........Os sentimentos das pessoas podem mudar tantas vezes, mais do que os grãos de areia de uma praia. Mesmo se não provarmos que o Krauss é um homem estúpido, ele eventualmente vai perceber isso.""",「………人改主意，要遠比數盡海邊細沙快得多。不用我們立證，爸也終究會明白，藏臼只是個愚笨的男人。」,「………人改主意，要远比数尽海边细沙快得多。不用我们立证，爸也终究会明白，藏臼只是个愚笨的男人。」,"... I sentimenti delle persone possono cambiare molto di più rispetto al numero dei granelli di sabbia sulla spiaggia. Anche se non dimostreremo che Krauss è un uomo stupido, nostro Padre un giorno se ne accorgerà.",""".........İnsanların duyguları, bir kumsaldaki kum tanelerinden çok daha fazla kez değişebilir. Krauss'un aptal bir adam olduğunu kanıtlayamasak bile, babam eninde sonunda bunun farkına varacak."""
,"...When that happens, the wall that separates man from woman will be demolished by Father himself, who set it up in the first place. That day will surely come."" ","""...At that time, the ridiculous wall that separates man from woman will be demolished by Father, who set it up in the first place. That day will surely come."""," ...At that time, the wall that separates man from woman will be demolished by Father, who set it up in the first place. That day will surely come.""",…その時、男女の境の下らない垣根は、それを設けたお父様によって取り払われるの。その日は必ず来るわ。」,「…その時、男女の境の下らない垣根は、それを設けたお父様によって取り払われるの。その日は必ず来るわ」,"""...К тому времени стена, разделявшая мужчин и женщин, будет сломлена отцом, самим же её и воздвигшим. Такой день непременно наступит.""","""...Neste momento, a ridícula parede que separa os homens das mulheres vai ser demolida pelo pai, que foi quem a ergueu. Este dia certamente está para chegar.""",「…到那時，這面爸建在男女分界線上的無聊的圍牆，就會由爸親手為我們拆除。這一天必定會到來。」,「…到那时，这面爸建在男女分界线上的无聊的围墙，就会由爸亲手为我们拆除。这一天必定会到来。」,"... A quel punto, il muro che separa l'uomo dalla donna sarà demolito proprio da lui, che l'ha costruito. Quel giorno verrà sicuramente.""","""...İşte o zaman, erkekle kadını birbirinden ayıran saçma duvar, onu ilk başta inşa eden Babam tarafından yıkılacak. O gün mutlaka gelecek."""
Ushiromiya Eva,"""...How can you be so sure?"" ","""......How can you say surely?""",[=UP],「……どうして必ずなんて言えるのよ？」,[=JP],"""......Как ты можешь говорить такое столь уверенно?""","""......Como você pode dizer isso com tanta certeza?""",「……為什麼能說一定？」,「……为什么能说一定？」,"""... Come puoi dirlo in modo sicuro?""","""......Nasıl mutlaka diyebiliyorsun?"""
,"""Because that's my...magic."" ","""Because that is my...magic.""","""That is my, ...magic.""",「それが私の、魔法だから。」,「それが私の、魔法だから」,"""Такова моя... магия.""","""Porque essa é a minha...magia.""",「因為，這是我的魔法。」,「因为，这是我的魔法。」,"""Questa è la mia... magia.""","""Çünkü bu benim...büyüm."""
Ushiromiya Eva,"""........."" ",""".....................""","""...............""",「…………………。」,「…………………」,[=OG],[=UP],[=JPC],[=JPC],"""...""",[=UP]
,"""If you just believe, this magic will surely summon a miracle. ...The basis of my magic is nothing more than your believing heart."" ","""If you'll just believe, this magic will surely create a miracle. ......The basis of my magic is nothing more than your believing heart.""",[=UP],「あなたが信じてくれさえすれば、この魔法は必ず奇跡を呼ぶの。……私の魔法の源は、あなたの信じる心だけ。」,「あなたが信じてくれさえすれば、この魔法は必ず奇跡を呼ぶの。……私の魔法の源は、あなたの信じる心だけ」,"""Если ты всего лишь поверишь, эта магия непременно создаст чудо. ......Основа моей магии — не более чем вера в твоём сердце.""","""Se você acreditar, essa magia certamente será capaz de criar um milagre.{n}......A base da minha magia não é nada mais do que a fé em seu coração.""",「只要你相信，這魔法就必定會喚來奇跡。……我的魔法僅源自，你的相信之心。」,「只要你相信，这魔法就必定会唤来奇迹。……我的魔法仅源自，你的相信之心。」,"""Se ci credi, questa magia creerà sicuramente un miracolo. ... La base della mia magia non è altro che il tuo cuore, che crede in me.""","""Eğer sadece inanırsan, bu büyü kesinlikle bir mucize yaratacaktır. ......Büyümün temeli senin inanan yüreğinden başka bir şey değil."""
Ushiromiya Eva,"""............"" ","""...........................""",""".....................""",「………………………。」,「………………………」,[=OG],[=UP],[=JPC],[=JPC],"""...""",[=UP]
