Speaker,Vietnamese (VI)
,"...Thế nhưng, Shannon lại thể hiện một bộ mặt luống cuống đáng xấu hổ, khiến nét mặt Natsuhi và không khí trong phòng càng trở nên nặng nề."
,"Tới lúc này, tiếng cười khúc khích của Eva đã đủ to để ai cũng nghe thấy."
Ushiromiya Eva,"""Cái gì đây hửửử? Shannon à, cô còn không biết mình đang rót cái gì cho tụi tôi sao? Này nhé, không được rót cái thứ đáng ngờ như vậy để đãi khách đâu đó. Đã thế thì phải có thìa bạc để kiểm tra trước nữa chứ."""
Shannon,""".........Con, ...con xin lỗi...... Con sẽ đi lấy ngay–"""
Ushiromiya Eva,"""Cô Shannon này? Cô có biết thìa bạc dùng để làm gì không? Hoặc tại sao thìa phải làm bằng bạc không? Cô có biết không?"""
Shannon,"""...............không............ưm......"""
,"Eva nhìn Shannon đang dọn bàn, nụ cười ranh mãnh hiện trên khuôn mặt."
,"...Nếu tách riêng ra, nụ cười đó có thể gọi là duyên dáng, tinh nghịch."
,Nhưng lời nói của cô ả lại sắc bén như dao cạo vậy.
,Shannon cố gắng tránh ánh mắt Eva đang nhìn chằm chằm vào mình.
,"Nhận ra Shannon đang lúng túng, Rosa nhanh chóng cứu nguy."
Ushiromiya Rosa,"""Người ta nói bạc sẽ xỉn màu nếu chạm phải độc đó. ...*cười khúc khích*, học được điều mới rồi nè, phải không cô Shannon?"""
,Thứ trà đãi khách ấy đã bị xem là không thể uống được nếu chưa được thử độc.
,"Trong mắt Natsuhi, đó là sự sỉ nhục đối với cả trà...và bản thân bà vì đã chịu trách nhiệm phục vụ nó."
,Rudolf bật cười rồi vỗ vai Eva.
Ushiromiya Rudolf,"""Haha, không cần đồ đạc bằng bạc gì đâu. Chỉ cần để cái miệng lưỡi rắn độc của chị liếm cho một phát là bạc nào cũng thành ra đen sì luôn rồi."""
Ushiromiya Hideyoshi,"""Wahahahaha! Ngày nào anh cũng được nghe những lời nói từ cái miệng đó, nên chắc giờ anh cũng kháng độc luôn rồi! Eva à, em có nói nặng lời với anh thì cũng chẳng sao, nhưng hãy nhẹ tay với những người khác hơn chút! Wahahahaha!"""
Ushiromiya Eva,"""Ôi, sao mà ác thế. Em chỉ cung cấp một chút kiến thức về trà cho cô Shannon thôi mà, đúng không? *cười khúc khích*."""
,"Mọi người đều cười theo tiếng cười lớn của Hideyoshi, dù hơi gượng gạo."
,"Chỉ còn mỗi Natsuhi là không cười, nhưng ít nhất là, cuộc trò chuyện trong phòng khách lúc này có thể bị hiểu nhầm là thân thiện và vui vẻ."
,"Khi Shannon cuối cùng cũng dọn xong bàn trà và chuẩn bị rời đi, Kyrie khẽ xin lỗi vì không thể giúp gì cho cô."
,...Shannon cúi đầu nhẹ rồi vội vã rút lui......
,"Cô cúi mặt, đẩy xe trà dọc hành lang..."
,Bầu không khí u sầu xung quanh cô cho thấy rõ ràng cô vừa bị bắt nạt.
Kanon,"""......Đừng buồn. Chị không làm gì sai cả, chị à."""
Shannon,"""...............Em đã chứng kiến rồi à."""
Kanon,"""Đó là bổn phận của em."""
Shannon,"""........................"""
Kanon,"""Phu nhân và bà Eva đều thật đáng bị đày xuống địa ngục. ......Nhưng tệ hơn nữa là cái gã hèn nhát đó."""
,Kanon đưa ánh nhìn đầy căm ghét về phía đối diện với phòng khách.
,Trà bị chậm trễ là vì một vài sự cố trong bếp.
,"Và sự cố ấy không phải lỗi của Shannon.{n}Thực tế là, mọi thứ đều do Gohda mà ra."
,"Ngay từ đầu, một kẻ thích phô trương như Gohda thì sẽ không đời nào chịu giao lại một công việc hào nhoáng như mang trà ra đãi khách."
,"Tuy nhiên, do hắn phải pha trà lại từ đầu, cho nên việc mang ra mới bị chậm trễ."
,"Nhận ra nếu mình là người mang trà ra thì cũng chẳng được lợi lộc gì, hắn đã đẩy việc đó cho Shannon, lúc bấy giờ chỉ đang đi ngang qua bếp."
,"......Có thể gọi đó là khôn ngoan, và cũng không lạ gì nếu gọi đó là hèn nhát."
Shannon,"""......Không sao đâu, Kanon à, cảm ơn em. ...Chị thật sự không giận đâu..."""
Kanon,"""................................."""
,Sự im lặng của Kanon cho thấy rõ ràng rằng những lời của Shannon không xuất phát từ trái tim cô.
Shannon,"""............Cảm ơn em. Chỉ cần em hiểu cho thì cũng đã giúp chị thấy dễ chịu hơn một chút rồi."""
Kanon,"""......Chị giấu mọi thứ trong lòng nhiều quá. ......Hãy nhẹ nhàng với bản thân hơn đi."""
Shannon,"""Ừ. ......Cảm ơn em."""
,Bỗng cả hai cảm nhận được có người xuất hiện ở phía sau. Họ quay đầu lại.
,"Một người đàn ông lớn tuổi đang đứng đó.{n}Đó là Genji, người quản gia."
Ronoue Genji,"""..................Các cô cậu đang làm gì ở đây thế? ...Shannon, mau quay lại bếp đi."""
Shannon,"""V-vâng. ......Xin phép đi trước ạ......"""
Kanon,"""................................."""
,Shannon cúi đầu kính cẩn và đẩy xe rời đi.
,"Tuy nhiên, Kanon lặng lẽ nhìn Genji, ánh mắt mang theo điều gì đó không thể nói ra bằng lời."
Ronoue Genji,"""...............Có chuyện gì sao? Có chuyện vừa gì xảy ra à...?"""
Kanon,"""...Sha‐......Shannon không làm gì sai, nhưng mấy người đó–"""
Shannon,"""Dừng lại đi mà Kanon..."""
Shannon,"""......Xin phép ạ. Tôi sẽ quay lại làm việc ngay. Kanon à, em cũng quay về làm việc đi. ......Nhé."""
Kanon,"""............Nếu chị đã nói vậy..."""
Ronoue Genji,""".................. ...Nếu không có gì nữa, thì đi đi."""
Kanon,"""......Vâng. ......Xin phép."""
,"Từ trong bóng tối phía hành lang, một bà lão mặc tạp dề dõi theo bọn họ. Đó là bà Kumasawa..."
Kumasawa Chiyo,"......Thật đau lòng cho cô Shannon và cậu Kanon...{n}Không có lý do gì để hai người họ bị đối xử như vậy cả.{n} ...Nhưng, thật không thể phủ nhận rằng họ đã bị anh Gohda ghét bỏ rồi..."
Kumasawa Chiyo,"Trước khi vào làm cho nhà chính Ushiromiya, mình nghe nói anh ta từng làm ở một khách sạn nổi tiếng nào đó."
Kumasawa Chiyo,"Mình thầm nghĩ, tác phong làm việc ở đó thật đáng nể."
Kumasawa Chiyo,Chỉ có điều...anh Gohda là người hầu mới nhất ở đây.{n}...Chắc hẳn anh ấy có một thứ lòng kiêu hãnh được tích lũy từ công việc trước.
Kumasawa Chiyo,"Vì tuy cô Shannon và cậu Kanon là ""tiền bối"" của anh ta trong dinh thự này, nhưng họ lại non nớt về kinh nghiệm và vốn sống, cho nên anh ta cứ bắt nạt họ bất cứ lúc nào có thể..."
Kumasawa Chiyo,"Và, ...dù thật đáng buồn, họ cũng bị phu nhân Natsuhi ghét bỏ nữa..."
Kumasawa Chiyo,"Dĩ nhiên, xét về kinh nghiệm, phu nhân đã là người nhà từ lâu."
Kumasawa Chiyo,Tuy nhiên.........tôi cũng phải đồng cảm với phu nhân trong chuyện này.
Kumasawa Chiyo,...Ngài chủ nhân thật là một người tàn nhẫn...
Kumasawa Chiyo,Tại sao ông ấy lại không nhận ra rằng một phút tùy hứng của mình đã gieo vào lòng phu nhân thứ mặc cảm như vậy...
Kumasawa Chiyo,"......Tận đáy lòng, ngay cả phu nhân cũng biết mình không nên đối xử quá đáng với hai người họ..."
Kumasawa Chiyo,...Nhưng con tim có lý lẽ riêng mà lý trí không hiểu được...
Kumasawa Chiyo,"Chà, thật đau lòng quá..."
Kumasawa Chiyo,Mình cũng chẳng thể làm gì ngoài dõi theo bọn họ trong bóng tối......
